s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2001-08-22;998438400000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;22.33;37.6;29.07;37.59;99.99;CAIR
2001-08-23;998524800000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;22.43;37.01;29.2;37.0;99.99;CAIR
2001-08-24;998611200000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;22.52;36.43;29.32;36.42;99.99;CAIR
2001-08-27;998870400000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;22.62;35.86;29.44;35.85;99.99;CAIR
2001-08-28;998956800000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;22.71;35.31;29.56;35.3;99.99;CAIR
2001-08-29;999043200000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;22.8;34.77;29.68;34.76;99.99;CAIR
2001-08-30;999129600000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;22.89;34.23;29.8;34.22;99.99;CAIR
2001-08-31;999216000000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;22.98;33.71;29.92;33.7;99.99;CAIR
2001-09-03;999475200000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;23.07;33.2;30.03;33.19;99.99;CAIR
2001-09-04;999561600000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;23.16;32.7;30.14;32.69;99.99;CAIR
2001-09-05;999648000000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;23.24;32.21;30.26;32.2;99.99;CAIR
2001-09-06;999734400000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;23.33;31.73;30.37;31.72;99.99;CAIR
2001-09-07;999820800000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;23.41;31.26;30.48;31.25;99.99;CAIR
2001-09-10;1000080000000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;23.49;30.8;30.58;30.79;99.99;CAIR
2001-09-11;1000166400000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;23.58;30.35;30.69;30.34;99.99;CAIR
2001-09-12;1000252800000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;23.66;29.9;30.79;29.89;99.99;ESTAVEL
2001-09-13;1000339200000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;23.74;29.47;30.9;29.46;99.99;ESTAVEL
2001-09-14;1000425600000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;23.81;29.04;31.0;29.03;99.99;ESTAVEL
2001-09-17;1000684800000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;23.89;28.62;31.1;28.61;99.99;ESTAVEL
2001-09-18;1000771200000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;23.97;28.21;31.2;28.2;99.99;ESTAVEL
2001-09-19;1000857600000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;24.04;27.81;31.3;27.8;99.99;ESTAVEL
2001-09-20;1000944000000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;24.12;27.41;31.4;27.4;99.99;ESTAVEL
2001-09-21;1001030400000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;24.19;27.02;31.49;27.01;99.99;ESTAVEL
2001-09-24;1001289600000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;24.27;26.64;31.59;26.63;99.99;ESTAVEL
2001-09-25;1001376000000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;24.34;26.26;31.68;26.26;99.99;ESTAVEL
2001-09-26;1001462400000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;24.41;25.9;31.77;25.89;99.99;ESTAVEL
2001-09-27;1001548800000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;24.48;25.54;31.87;25.53;99.99;ESTAVEL
2001-09-28;1001635200000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;24.55;25.18;31.96;25.17;99.99;ESTAVEL
2001-10-01;1001894400000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;24.62;24.83;32.04;24.83;99.99;ESTAVEL
2001-10-02;1001980800000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;24.68;24.49;32.13;24.48;99.99;ESTAVEL
2001-10-03;1002067200000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;24.75;24.15;32.22;24.15;99.99;ESTAVEL
2001-10-04;1002153600000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;24.82;23.82;32.31;23.82;99.99;ESTAVEL
2001-10-05;1002240000000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;24.88;23.5;32.39;23.49;99.99;ESTAVEL
2001-10-08;1002499200000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;24.95;23.18;32.47;23.17;99.99;ESTAVEL
2001-10-09;1002585600000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;25.01;22.87;32.56;22.86;99.99;ESTAVEL
2001-10-10;1002672000000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;25.07;22.56;32.64;22.55;99.99;ESTAVEL
2001-10-11;1002758400000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;25.14;22.26;32.72;22.25;99.99;ESTAVEL
2001-10-12;1002844800000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;25.2;21.96;32.8;21.95;99.99;ESTAVEL
2001-10-15;1003104000000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;25.26;21.66;32.88;21.66;99.99;ESTAVEL
2001-10-16;1003190400000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;25.32;21.38;32.96;21.37;99.99;ESTAVEL
2001-10-17;1003276800000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;25.38;21.09;33.03;21.09;99.99;ESTAVEL
2001-10-18;1003363200000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;25.44;20.81;33.11;20.81;99.99;ESTAVEL
2001-10-19;1003449600000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;25.49;20.54;33.19;20.54;99.99;ESTAVEL
2001-10-22;1003708800000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;25.55;20.27;33.26;20.27;99.99;ESTAVEL
2001-10-23;1003795200000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;25.61;20.01;33.33;20.0;99.99;ESTAVEL
2001-10-24;1003881600000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;25.66;19.74;33.41;19.74;99.99;ESTAVEL
2001-10-25;1003968000000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;25.72;19.49;33.48;19.48;99.99;ESTAVEL
2001-10-26;1004054400000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;25.77;19.24;33.55;19.23;99.99;ESTAVEL
2001-10-29;1004313600000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;25.83;18.99;33.62;18.98;99.99;ESTAVEL
2001-10-30;1004400000000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;25.88;18.74;33.69;18.74;99.99;ESTAVEL
2001-10-31;1004486400000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;25.93;18.5;33.76;18.5;99.99;ESTAVEL
2001-11-01;1004572800000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;25.98;18.26;33.82;18.26;99.99;ESTAVEL
2001-11-02;1004659200000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;26.04;18.03;33.89;18.03;99.99;ESTAVEL
2001-11-05;1004918400000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;26.09;17.8;33.96;17.8;99.99;ESTAVEL
2001-11-06;1005004800000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;26.14;17.58;34.02;17.57;99.99;ESTAVEL
2001-11-07;1005091200000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;26.19;17.35;34.09;17.35;99.99;ESTAVEL
2001-11-08;1005177600000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;26.23;17.13;34.15;17.13;99.99;ESTAVEL
2001-11-09;1005264000000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;26.28;16.92;34.21;16.91;99.99;ESTAVEL
2001-11-12;1005523200000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;26.33;16.71;34.28;16.7;99.99;ESTAVEL
2001-11-13;1005609600000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;26.38;16.5;34.34;16.49;99.99;ESTAVEL
2001-11-14;1005696000000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;26.43;16.29;34.4;16.29;99.99;ESTAVEL
2001-11-15;1005782400000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;26.47;16.09;34.46;16.08;99.99;ESTAVEL
2001-11-16;1005868800000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;26.52;15.89;34.52;15.88;99.99;ESTAVEL
2001-11-19;1006128000000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;26.56;15.69;34.58;15.69;99.99;ESTAVEL
2001-11-20;1006214400000;MNDL3.SA;40.0;40.0;40.0;40.0;30.73;0;stock;26.61;15.5;34.63;15.49;99.99;ESTAVEL
