s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2023-11-10;1699574400000;NCRI11.SA;8.94;8.94;8.67;8.84;8.84;19;fii;8.78;0.73;9.05;-2.29;49.94;ESTAVEL
2023-11-13;1699833600000;NCRI11.SA;9.02;9.02;8.62;8.8;8.8;122;fii;8.78;0.27;9.04;-2.7;48.83;ESTAVEL
2023-11-14;1699920000000;NCRI11.SA;8.81;8.92;8.6;8.8;8.8;118;fii;8.78;0.26;9.04;-2.67;48.83;ESTAVEL
2023-11-16;1700092800000;NCRI11.SA;8.98;8.98;8.62;8.82;8.82;50;fii;8.78;0.49;9.04;-2.42;49.48;ESTAVEL
2023-11-17;1700179200000;NCRI11.SA;8.75;8.83;8.67;8.83;8.83;78;fii;8.78;0.59;9.04;-2.29;49.82;ESTAVEL
2023-11-20;1700438400000;NCRI11.SA;8.9;8.9;8.65;8.65;8.65;199;fii;8.78;-1.44;9.03;-4.23;44.02;ESTAVEL
2023-11-21;1700524800000;NCRI11.SA;8.8;8.8;8.65;8.69;8.69;165;fii;8.78;-0.97;9.03;-3.75;45.54;ESTAVEL
2023-11-22;1700611200000;NCRI11.SA;8.69;8.77;8.51;8.76;8.76;286;fii;8.78;-0.17;9.03;-2.94;48.19;ESTAVEL
2023-11-23;1700697600000;NCRI11.SA;8.77;8.77;8.52;8.63;8.63;352;fii;8.77;-1.64;9.02;-4.33;43.92;ESTAVEL
2023-11-24;1700784000000;NCRI11.SA;8.77;8.77;8.45;8.46;8.46;540;fii;8.77;-3.53;9.01;-6.15;39.05;ESTAVEL
2023-11-27;1701043200000;NCRI11.SA;8.62;8.62;8.45;8.55;8.55;201;fii;8.77;-2.48;9.01;-5.09;42.67;ESTAVEL
2023-11-28;1701129600000;NCRI11.SA;8.55;8.56;8.49;8.56;8.56;37;fii;8.77;-2.34;9.0;-4.93;43.08;ESTAVEL
2023-11-29;1701216000000;NCRI11.SA;8.56;8.56;8.41;8.55;8.55;75;fii;8.76;-2.43;9.0;-4.99;42.75;ESTAVEL
2023-11-30;1701302400000;NCRI11.SA;8.55;8.55;8.42;8.42;8.42;59;fii;8.76;-3.87;8.99;-6.36;38.66;ESTAVEL
