s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2021-04-19;1618790400000;NEWU11.SA;38.5;38.5;37.0;38.5;37.48;2759;fii;41.2;-9.02;42.32;-9.02;41.49;ESTAVEL
2021-04-20;1618876800000;NEWU11.SA;38.5;39.95;38.5;39.95;38.89;29;fii;41.17;-5.54;42.29;-5.54;55.69;ESTAVEL
2021-04-22;1619049600000;NEWU11.SA;39.95;39.99;38.54;38.54;37.52;20;fii;41.13;-8.77;42.25;-8.78;44.41;ESTAVEL
2021-04-23;1619136000000;NEWU11.SA;38.53;39.99;35.05;39.99;38.93;72;fii;41.1;-5.29;42.22;-5.29;54.6;ESTAVEL
2021-04-26;1619395200000;NEWU11.SA;40.0;40.0;35.51;39.99;38.93;3;fii;41.08;-5.23;42.2;-5.23;54.6;ESTAVEL
2021-04-27;1619481600000;NEWU11.SA;39.98;39.98;35.19;38.95;37.92;59;fii;41.04;-7.61;42.16;-7.61;47.39;ESTAVEL
2021-04-28;1619568000000;NEWU11.SA;38.95;38.95;36.02;38.45;37.43;10;fii;41.0;-8.71;42.12;-8.71;44.32;ESTAVEL
2021-04-29;1619654400000;NEWU11.SA;38.45;38.45;36.0;38.38;37.36;174;fii;40.96;-8.79;42.07;-8.78;43.89;ESTAVEL
2021-04-30;1619740800000;NEWU11.SA;36.53;38.19;36.0;38.0;36.99;1795;fii;40.91;-9.59;42.03;-9.58;41.56;ESTAVEL
2021-05-03;1620000000000;NEWU11.SA;36.51;38.5;36.5;38.5;37.48;20;fii;40.88;-8.31;41.99;-8.31;45.67;ESTAVEL
2021-05-04;1620086400000;NEWU11.SA;38.5;40.0;36.5;40.0;38.94;140;fii;40.85;-4.68;41.97;-4.68;55.67;ESTAVEL
2021-05-05;1620172800000;NEWU11.SA;36.54;39.99;36.54;39.9;38.84;22;fii;40.83;-4.88;41.94;-4.87;54.93;ESTAVEL
2021-05-06;1620259200000;NEWU11.SA;36.71;39.99;36.52;39.98;38.92;31;fii;40.81;-4.63;41.92;-4.63;55.44;ESTAVEL
2021-05-07;1620345600000;NEWU11.SA;39.97;39.97;36.51;36.51;35.54;101;fii;40.75;-12.78;41.86;-12.78;36.49;ESTAVEL
2021-05-10;1620604800000;NEWU11.SA;36.95;39.9;36.51;39.9;38.84;10;fii;40.73;-4.64;41.84;-4.63;53.28;ESTAVEL
2021-05-11;1620691200000;NEWU11.SA;39.92;39.92;36.52;36.68;35.71;484;fii;40.67;-12.2;41.78;-12.2;41.95;ESTAVEL
2021-05-12;1620777600000;NEWU11.SA;36.53;39.64;36.53;36.6;35.63;78;fii;40.62;-12.27;41.72;-12.27;41.71;ESTAVEL
2021-05-13;1620864000000;NEWU11.SA;38.94;38.94;36.5;36.51;35.54;450;fii;40.56;-12.37;41.66;-12.37;41.42;ESTAVEL
2021-05-14;1620950400000;NEWU11.SA;36.5;38.18;36.5;37.98;36.97;16;fii;40.52;-8.76;41.62;-8.75;47.68;ESTAVEL
2021-05-17;1621209600000;NEWU11.SA;36.51;39.5;36.5;36.5;35.53;306;fii;40.46;-12.19;41.56;-12.18;42.73;ESTAVEL
2021-05-18;1621296000000;NEWU11.SA;36.94;36.94;36.0;36.0;35.05;335;fii;40.4;-13.25;41.5;-13.26;41.19;ESTAVEL
2021-05-19;1621382400000;NEWU11.SA;36.0;36.0;36.0;36.0;35.05;0;fii;40.34;-13.12;41.44;-13.13;41.19;ESTAVEL
2021-05-20;1621468800000;NEWU11.SA;36.01;38.29;36.01;38.29;37.28;6;fii;40.31;-7.51;41.4;-7.52;50.74;ESTAVEL
2021-05-21;1621555200000;NEWU11.SA;36.01;36.05;36.01;36.05;35.09;12;fii;40.25;-12.82;41.34;-12.81;43.3;ESTAVEL
2021-05-24;1621814400000;NEWU11.SA;36.06;36.35;36.06;36.35;35.39;10;fii;40.2;-11.95;41.29;-11.96;44.5;ESTAVEL
2021-05-25;1621900800000;NEWU11.SA;36.34;36.99;36.0;36.99;36.01;81;fii;40.15;-10.31;41.24;-10.31;47.0;ESTAVEL
2021-05-26;1621987200000;NEWU11.SA;36.7;38.38;36.12;36.12;35.16;124;fii;40.09;-12.3;41.18;-12.3;44.07;ESTAVEL
2021-05-27;1622073600000;NEWU11.SA;36.55;37.99;36.01;36.03;35.08;12;fii;40.04;-12.38;41.13;-12.39;43.8;ESTAVEL
2021-05-28;1622160000000;NEWU11.SA;36.01;37.8;36.01;36.02;35.07;34;fii;39.98;-12.29;41.07;-12.3;43.76;ESTAVEL
2021-05-31;1622419200000;NEWU11.SA;36.0;37.6;36.0;37.4;36.41;299;fii;39.94;-8.84;41.03;-8.85;49.86;ESTAVEL
2021-06-01;1622505600000;NEWU11.SA;37.85;37.85;37.84;37.84;36.84;2;fii;39.91;-7.69;40.99;-7.7;51.67;ESTAVEL
2021-06-02;1622592000000;NEWU11.SA;37.75;37.75;36.02;36.48;35.51;90;fii;39.86;-10.91;40.94;-10.9;46.12;ESTAVEL
2021-06-04;1622764800000;NEWU11.SA;36.01;36.41;36.0;36.41;35.44;513;fii;39.81;-10.98;40.89;-10.97;45.84;ESTAVEL
2021-06-07;1623024000000;NEWU11.SA;36.85;36.85;36.0;36.0;35.05;840;fii;39.76;-11.84;40.84;-11.85;44.24;ESTAVEL
2021-06-08;1623110400000;NEWU11.SA;36.45;36.87;36.43;36.83;35.85;6;fii;39.72;-9.73;40.8;-9.72;48.24;ESTAVEL
2021-06-09;1623196800000;NEWU11.SA;36.8;36.8;36.36;36.8;35.82;27;fii;39.67;-9.71;40.75;-9.7;48.1;ESTAVEL
2021-06-10;1623283200000;NEWU11.SA;36.86;36.86;36.83;36.83;35.85;2;fii;39.63;-9.54;40.71;-9.53;48.26;ESTAVEL
2021-06-11;1623369600000;NEWU11.SA;36.11;36.11;36.0;36.0;35.05;155;fii;39.58;-11.45;40.66;-11.46;44.31;ESTAVEL
2021-06-14;1623628800000;NEWU11.SA;36.2;36.2;36.19;36.19;35.23;13;fii;39.53;-10.88;40.61;-10.88;45.39;ESTAVEL
2021-06-15;1623715200000;NEWU11.SA;36.15;36.15;36.0;36.0;35.05;2251;fii;39.48;-11.23;40.56;-11.24;44.46;ESTAVEL
2021-06-16;1623801600000;NEWU11.SA;36.0;36.11;36.0;36.01;35.06;131;fii;39.44;-11.09;40.51;-11.11;44.53;ESTAVEL
2021-06-17;1623888000000;NEWU11.SA;36.05;36.3;36.0;36.3;35.34;641;fii;39.39;-10.28;40.46;-10.29;46.51;ESTAVEL
2021-06-18;1623974400000;NEWU11.SA;36.48;36.99;36.48;36.98;36.0;113;fii;39.35;-8.52;40.42;-8.52;50.95;ESTAVEL
2021-06-21;1624233600000;NEWU11.SA;36.31;36.31;36.31;36.31;35.35;38;fii;39.31;-10.07;40.38;-10.08;46.83;ESTAVEL
2021-06-22;1624320000000;NEWU11.SA;36.31;36.45;36.02;36.45;35.48;47;fii;39.27;-9.65;40.34;-9.64;47.74;ESTAVEL
2021-06-23;1624406400000;NEWU11.SA;36.45;36.45;36.0;36.4;35.44;138;fii;39.23;-9.65;40.29;-9.66;47.47;ESTAVEL
2021-06-24;1624492800000;NEWU11.SA;36.0;36.43;36.0;36.43;35.46;84;fii;39.19;-9.51;40.25;-9.5;47.63;ESTAVEL
2021-06-25;1624579200000;NEWU11.SA;36.0;36.34;35.25;36.34;35.38;145;fii;39.14;-9.62;40.21;-9.62;47.01;ESTAVEL
2021-06-28;1624838400000;NEWU11.SA;36.43;36.44;35.27;35.27;34.34;20;fii;39.09;-12.16;40.16;-12.17;39.83;ESTAVEL
