s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2008-08-22;1219363200000;NEXP3.SA;3594.99;3792.81;3594.99;3690.09;2551.74;171;stock;3504.81;-27.19;5068.33;-27.19;28.85;SUBIR
2008-08-25;1219622400000;NEXP3.SA;3792.81;3792.81;3633.03;3633.03;2512.28;560;stock;3493.41;-28.09;5051.84;-28.09;27.59;SUBIR
2008-08-26;1219708800000;NEXP3.SA;3633.03;3671.07;3556.95;3633.03;2512.28;391;stock;3482.16;-27.85;5035.57;-27.85;27.59;SUBIR
2008-08-27;1219795200000;NEXP3.SA;3728.13;3728.13;3575.97;3614.01;2499.13;235;stock;3470.89;-28.0;5019.28;-28.0;27.14;SUBIR
2008-08-28;1219881600000;NEXP3.SA;3614.01;3652.05;3461.84;3568.36;2467.56;1350;stock;3459.42;-28.67;5002.69;-28.67;26.02;SUBIR
2008-08-29;1219968000000;NEXP3.SA;3610.2;3804.22;3583.57;3804.22;2630.66;69;stock;3449.95;-23.75;4989.0;-23.75;39.76;ESTAVEL
2008-09-01;1220227200000;NEXP3.SA;3709.11;3804.22;3671.07;3804.22;2630.66;478;stock;3440.61;-23.54;4975.49;-23.54;39.76;ESTAVEL
2008-09-02;1220313600000;NEXP3.SA;3804.22;3823.24;3682.48;3682.48;2546.48;465;stock;3430.43;-25.77;4960.77;-25.77;35.79;ESTAVEL
2008-09-03;1220400000000;NEXP3.SA;3690.09;3766.18;3633.03;3633.03;2512.28;88;stock;3419.99;-26.54;4945.67;-26.54;34.28;ESTAVEL
2008-09-04;1220486400000;NEXP3.SA;3804.22;3804.22;3461.84;3614.01;2499.13;466;stock;3409.53;-26.7;4930.55;-26.7;33.7;ESTAVEL
2008-09-05;1220572800000;NEXP3.SA;3610.2;3610.2;3328.69;3404.78;2354.44;282;stock;3397.57;-30.7;4913.25;-30.7;28.03;SUBIR
