s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2011-06-24;1308873600000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.93;2.53;2.93;2.53;72.6;CAIR
2011-06-27;1309132800000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.93;2.5;2.93;2.5;72.6;CAIR
2011-06-28;1309219200000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.93;2.47;2.93;2.47;72.6;CAIR
2011-06-29;1309305600000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.93;2.44;2.93;2.44;72.6;CAIR
2011-06-30;1309392000000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.93;2.41;2.93;2.41;72.6;CAIR
2011-07-01;1309478400000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.93;2.38;2.93;2.38;72.6;CAIR
2011-07-04;1309737600000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.93;2.35;2.93;2.35;72.6;CAIR
2011-07-05;1309824000000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.93;2.33;2.93;2.33;72.6;CAIR
2011-07-06;1309910400000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.93;2.3;2.93;2.3;72.6;CAIR
2011-07-07;1309996800000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.93;2.27;2.93;2.27;72.6;CAIR
2011-07-08;1310083200000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.93;2.25;2.93;2.25;72.6;CAIR
2011-07-11;1310342400000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.93;2.22;2.93;2.22;72.6;CAIR
2011-07-12;1310428800000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.94;2.19;2.94;2.19;72.6;CAIR
2011-07-13;1310515200000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;100;stock;2.94;2.17;2.94;2.17;72.6;CAIR
2011-07-14;1310601600000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.94;2.14;2.94;2.14;72.6;CAIR
2011-07-15;1310688000000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.94;2.12;2.94;2.12;72.6;CAIR
2011-07-18;1310947200000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.94;2.1;2.94;2.1;72.6;CAIR
2011-07-19;1311033600000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.94;2.07;2.94;2.07;72.6;CAIR
2011-07-20;1311120000000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.94;2.05;2.94;2.05;72.6;CAIR
2011-07-21;1311206400000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.94;2.02;2.94;2.02;72.6;CAIR
2011-07-22;1311292800000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.94;2.0;2.94;2.0;72.6;CAIR
2011-07-25;1311552000000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.94;1.98;2.94;1.98;72.6;CAIR
2011-07-26;1311638400000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.94;1.96;2.94;1.96;72.6;CAIR
2011-07-27;1311724800000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.94;1.93;2.94;1.93;72.6;CAIR
2011-07-28;1311811200000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.94;1.91;2.94;1.91;72.6;CAIR
2011-07-29;1311897600000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.94;1.89;2.94;1.89;72.6;CAIR
2011-08-01;1312156800000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.94;1.87;2.94;1.87;72.6;CAIR
2011-08-02;1312243200000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.95;1.85;2.95;1.85;72.6;CAIR
2011-08-03;1312329600000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.95;1.83;2.95;1.83;72.6;CAIR
2011-08-04;1312416000000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;100;stock;2.95;1.81;2.95;1.81;72.6;CAIR
2011-08-05;1312502400000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.95;1.79;2.95;1.79;72.6;CAIR
2011-08-08;1312761600000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.95;1.77;2.95;1.77;72.6;CAIR
2011-08-09;1312848000000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.95;1.75;2.95;1.75;72.6;CAIR
2011-08-10;1312934400000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.95;1.73;2.95;1.73;72.6;CAIR
2011-08-11;1313020800000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.95;1.71;2.95;1.71;72.6;CAIR
2011-08-12;1313107200000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.95;1.69;2.95;1.69;72.6;CAIR
2011-08-15;1313366400000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.95;1.67;2.95;1.67;72.6;CAIR
2011-08-16;1313452800000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.95;1.65;2.95;1.65;72.6;CAIR
2011-08-17;1313539200000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.95;1.63;2.95;1.63;72.6;CAIR
2011-08-18;1313625600000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.95;1.61;2.95;1.61;72.6;CAIR
2011-08-19;1313712000000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.95;1.6;2.95;1.6;72.6;CAIR
2011-08-22;1313971200000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.95;1.58;2.95;1.58;72.6;CAIR
2011-08-23;1314057600000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.95;1.56;2.95;1.56;72.6;CAIR
2011-08-24;1314144000000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.95;1.54;2.95;1.54;72.6;CAIR
2011-08-25;1314230400000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.95;1.53;2.95;1.53;72.6;CAIR
2011-08-26;1314316800000;NUTR3.SA;3.0;3.0;3.0;3.0;3.0;0;stock;2.96;1.51;2.96;1.51;72.6;CAIR
