s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2019-02-08;1549584000000;NVHO11.SA;28.29;29.0;28.29;29.0;25.11;52;fii;23.31;7.71;26.92;7.73;48.43;ESTAVEL
2019-02-11;1549843200000;NVHO11.SA;29.49;29.49;29.0;29.25;25.33;62;fii;23.34;8.55;26.95;8.55;49.5;ESTAVEL
2019-02-12;1549929600000;NVHO11.SA;29.0;29.45;28.14;29.33;25.4;137;fii;23.36;8.74;26.97;8.74;49.85;ESTAVEL
2019-02-13;1550016000000;NVHO11.SA;26.2;29.3;26.2;29.3;25.37;9;fii;23.38;8.5;27.0;8.52;49.69;ESTAVEL
2019-02-14;1550102400000;NVHO11.SA;29.25;29.5;27.35;29.5;25.55;465;fii;23.41;9.15;27.03;9.14;50.72;ESTAVEL
2019-02-15;1550188800000;NVHO11.SA;29.4;29.4;29.2;29.2;25.29;8;fii;23.43;7.94;27.05;7.93;49.15;ESTAVEL
2019-02-18;1550448000000;NVHO11.SA;27.35;29.31;27.35;29.2;25.29;105;fii;23.45;7.85;27.08;7.84;49.15;ESTAVEL
2019-02-19;1550534400000;NVHO11.SA;29.19;29.45;28.82;29.0;25.11;207;fii;23.47;6.99;27.1;7.01;47.97;ESTAVEL
2019-02-20;1550620800000;NVHO11.SA;28.5;29.0;28.0;28.7;24.85;237;fii;23.48;5.81;27.12;5.83;46.23;ESTAVEL
2019-02-21;1550707200000;NVHO11.SA;28.69;28.7;26.9;28.45;24.64;236;fii;23.5;4.86;27.13;4.85;44.81;ESTAVEL
2019-02-22;1550793600000;NVHO11.SA;26.91;28.95;26.01;28.5;24.68;517;fii;23.51;4.97;27.15;4.98;45.16;ESTAVEL
2019-02-25;1551052800000;NVHO11.SA;28.4;28.55;27.71;28.55;24.72;186;fii;23.52;5.08;27.16;5.1;45.52;ESTAVEL
2019-02-26;1551139200000;NVHO11.SA;28.0;28.1;28.0;28.0;24.25;52;fii;23.53;3.05;27.17;3.04;41.98;ESTAVEL
