s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi
2023-04-06;1680739200000;OGHY11.SA;9.95;10.07;9.95;10.07;9.25;49;fii;;;;;
2023-04-10;1681084800000;OGHY11.SA;10.07;10.08;9.1;10.08;9.26;241;fii;;;;;
2023-04-11;1681171200000;OGHY11.SA;9.9;10.09;9.01;10.06;9.24;105;fii;;;;;
2023-04-12;1681257600000;OGHY11.SA;10.07;10.08;10.06;10.08;9.26;23;fii;;;;;
2023-04-13;1681344000000;OGHY11.SA;10.08;10.08;10.08;10.08;9.26;1;fii;;;;;
2023-04-14;1681430400000;OGHY11.SA;10.09;10.09;10.09;10.09;9.26;35;fii;;;;;
2023-04-17;1681689600000;OGHY11.SA;10.1;10.12;10.1;10.1;9.27;702;fii;;;;;
2023-04-18;1681776000000;OGHY11.SA;10.1;10.12;10.1;10.12;9.29;3;fii;;;;;
2023-04-19;1681862400000;OGHY11.SA;10.12;10.12;10.12;10.12;9.29;2;fii;;;;;
2023-04-20;1681948800000;OGHY11.SA;10.12;10.12;9.13;10.11;9.28;7;fii;;;;;
2023-04-24;1682294400000;OGHY11.SA;10.11;10.12;9.61;10.12;9.29;615;fii;;;;;
2023-04-25;1682380800000;OGHY11.SA;10.12;10.12;10.12;10.12;9.29;16;fii;;;;;
2023-04-26;1682467200000;OGHY11.SA;10.12;10.12;10.12;10.12;9.29;13;fii;;;;;
2023-04-27;1682553600000;OGHY11.SA;10.12;10.12;10.12;10.12;9.29;98;fii;;;;;
2023-04-28;1682640000000;OGHY11.SA;10.13;10.13;10.13;10.13;9.3;58;fii;;;;;72.73
2023-05-02;1682985600000;OGHY11.SA;10.01;10.01;9.9;9.97;9.27;139;fii;;;;;56.22
2023-05-03;1683072000000;OGHY11.SA;9.97;9.97;9.97;9.97;9.27;33;fii;;;;;56.22
2023-05-04;1683158400000;OGHY11.SA;9.97;9.97;9.91;9.97;9.27;49;fii;;;;;56.22
2023-05-05;1683244800000;OGHY11.SA;9.97;9.97;9.0;9.97;9.27;398;fii;;;;;56.22
2023-05-08;1683504000000;OGHY11.SA;9.97;9.97;9.97;9.97;9.27;4;fii;;;;;56.22
2023-05-09;1683590400000;OGHY11.SA;9.97;9.97;9.96;9.97;9.27;14;fii;;;;;56.22
2023-05-10;1683676800000;OGHY11.SA;9.97;9.97;9.75;9.97;9.27;489;fii;;;;;56.22
2023-05-11;1683763200000;OGHY11.SA;9.97;9.97;9.95;9.97;9.27;379;fii;;;;;56.22
2023-05-12;1683849600000;OGHY11.SA;9.97;9.97;9.97;9.97;9.27;28;fii;;;;;56.22
2023-05-15;1684108800000;OGHY11.SA;9.97;9.97;9.97;9.97;9.27;80;fii;;;;;56.22
2023-05-16;1684195200000;OGHY11.SA;9.97;9.97;9.75;9.97;9.27;181;fii;;;;;56.22
2023-05-17;1684281600000;OGHY11.SA;9.97;9.98;9.97;9.98;9.28;117;fii;;;;;62.61
2023-05-18;1684368000000;OGHY11.SA;9.98;9.98;9.98;9.98;9.28;12;fii;;;;;62.61
2023-05-19;1684454400000;OGHY11.SA;9.98;10.04;9.9;10.04;9.34;3919;fii;;;;;81.45
2023-05-22;1684713600000;OGHY11.SA;10.04;10.04;10.02;10.02;9.32;33;fii;;;;;68.98
2023-05-23;1684800000000;OGHY11.SA;10.03;10.03;10.03;10.03;9.33;37;fii;;;;;71.34
2023-05-24;1684886400000;OGHY11.SA;10.04;10.04;9.77;10.04;9.34;11;fii;;;;;73.51
2023-05-25;1684972800000;OGHY11.SA;10.04;10.06;9.9;10.06;9.36;43;fii;;;;;77.23
2023-05-26;1685059200000;OGHY11.SA;10.03;10.07;10.02;10.06;9.36;285;fii;;;;;77.23
2023-05-29;1685318400000;OGHY11.SA;10.06;10.06;10.05;10.06;9.36;8;fii;;;;;77.23
2023-05-30;1685404800000;OGHY11.SA;10.06;10.06;10.05;10.06;9.36;60;fii;;;;;77.23
2023-05-31;1685491200000;OGHY11.SA;9.85;10.06;9.85;10.06;9.36;44;fii;;;;;77.23
2023-06-01;1685577600000;OGHY11.SA;9.3;9.97;9.3;9.97;9.39;189;fii;;;;;82.56
2023-06-02;1685664000000;OGHY11.SA;9.96;9.96;9.95;9.95;9.38;47;fii;;;;;76.16
2023-06-05;1685923200000;OGHY11.SA;10.15;10.15;9.93;10.02;9.44;6;fii;;;;;84.11
2023-06-06;1686009600000;OGHY11.SA;10.02;10.02;10.02;10.02;9.44;25;fii;;;;;84.11
2023-06-07;1686096000000;OGHY11.SA;10.02;10.02;10.01;10.01;9.43;28;fii;;;;;79.02
2023-06-09;1686268800000;OGHY11.SA;10.01;10.02;10.0;10.02;9.44;17;fii;;;;;80.3
2023-06-12;1686528000000;OGHY11.SA;10.02;10.02;9.95;10.02;9.44;70;fii;;;;;80.3
2023-06-13;1686614400000;OGHY11.SA;10.02;10.02;9.99;10.02;9.44;14;fii;;;;;80.3
2023-06-14;1686700800000;OGHY11.SA;9.8;10.02;9.54;10.02;9.44;51;fii;;;;;80.3
2023-06-15;1686787200000;OGHY11.SA;9.98;10.02;9.98;10.02;9.44;159;fii;;;;;80.3
2023-06-16;1686873600000;OGHY11.SA;10.02;10.02;10.02;10.02;9.44;26;fii;;;;;80.3
2023-06-19;1687132800000;OGHY11.SA;10.02;10.02;10.01;10.02;9.44;147;fii;;;;;80.3
2023-06-20;1687219200000;OGHY11.SA;10.02;10.02;9.99;10.02;9.44;20;fii;;;;;80.3
2023-06-21;1687305600000;OGHY11.SA;10.02;10.03;9.98;10.03;9.45;2007;fii;;;;;82.27
2023-06-22;1687392000000;OGHY11.SA;10.03;10.03;9.98;10.03;9.45;84;fii;;;;;82.27
2023-06-23;1687478400000;OGHY11.SA;10.03;10.03;10.03;10.03;9.45;19;fii;;;;;82.27
2023-06-26;1687737600000;OGHY11.SA;10.0;10.03;9.59;10.03;9.45;41;fii;;;;;82.27
2023-06-27;1687824000000;OGHY11.SA;10.03;10.03;10.02;10.03;9.45;25;fii;;;;;82.27
2023-06-28;1687910400000;OGHY11.SA;10.03;10.03;10.03;10.03;9.45;421;fii;;;;;82.27
2023-06-29;1687996800000;OGHY11.SA;9.6;10.03;9.6;10.03;9.45;117;fii;;;;;82.27
2023-06-30;1688083200000;OGHY11.SA;10.03;10.03;10.02;10.03;9.45;85;fii;;;;;82.27
2023-07-03;1688342400000;OGHY11.SA;10.24;10.24;9.8;9.97;9.52;169;fii;;;;;92.16
2023-07-04;1688428800000;OGHY11.SA;9.97;9.97;9.4;9.97;9.52;145;fii;;;;;92.16
2023-07-05;1688515200000;OGHY11.SA;9.97;9.97;9.5;9.97;9.52;57;fii;;;;;92.16
