s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2023-03-09;1678320000000;OIAG11.SA;10.51;10.58;10.37;10.42;9.55;17534;fii;9.31;2.63;10.15;2.61;47.96;ESTAVEL
2023-03-10;1678406400000;OIAG11.SA;10.47;10.49;10.32;10.34;9.48;15832;fii;9.31;1.85;10.16;1.8;44.44;ESTAVEL
2023-03-13;1678665600000;OIAG11.SA;10.46;10.61;10.39;10.4;9.53;12077;fii;9.31;2.36;10.16;2.37;47.41;ESTAVEL
2023-03-14;1678752000000;OIAG11.SA;10.45;10.66;10.41;10.65;9.76;13094;fii;9.32;4.77;10.17;4.77;58.4;ESTAVEL
2023-03-15;1678838400000;OIAG11.SA;10.65;10.65;10.05;10.23;9.37;39449;fii;9.32;0.58;10.17;0.63;42.27;ESTAVEL
2023-03-16;1678924800000;OIAG11.SA;10.39;10.6;10.3;10.39;9.52;21245;fii;9.32;2.17;10.17;2.18;48.19;ESTAVEL
2023-03-17;1679011200000;OIAG11.SA;10.44;10.73;10.25;10.6;9.71;16193;fii;9.32;4.15;10.17;4.19;54.56;ESTAVEL
2023-03-20;1679270400000;OIAG11.SA;10.72;10.75;10.51;10.57;9.69;11372;fii;9.33;3.89;10.18;3.85;53.81;ESTAVEL
2023-03-21;1679356800000;OIAG11.SA;10.6;10.71;10.57;10.69;9.8;9658;fii;9.33;5.01;10.18;4.97;57.28;ESTAVEL
2023-03-22;1679443200000;OIAG11.SA;10.7;10.71;10.65;10.71;9.81;10721;fii;9.34;5.06;10.19;5.11;57.6;ESTAVEL
2023-03-23;1679529600000;OIAG11.SA;10.84;10.84;10.71;10.82;9.92;10057;fii;9.34;6.16;10.2;6.11;60.98;ESTAVEL
2023-03-24;1679616000000;OIAG11.SA;10.88;10.9;10.81;10.9;9.99;18475;fii;9.35;6.83;10.2;6.81;63.0;ESTAVEL
2023-03-27;1679875200000;OIAG11.SA;10.91;10.94;10.44;10.6;9.71;19978;fii;9.36;3.79;10.21;3.83;51.51;ESTAVEL
2023-03-28;1679961600000;OIAG11.SA;10.65;10.9;10.65;10.71;9.81;8145;fii;9.36;4.8;10.21;4.85;54.69;ESTAVEL
2023-03-29;1680048000000;OIAG11.SA;10.79;10.8;10.75;10.77;9.87;13259;fii;9.37;5.38;10.22;5.37;56.53;ESTAVEL
2023-03-30;1680134400000;OIAG11.SA;10.77;10.92;10.7;10.86;9.95;25072;fii;9.37;6.16;10.23;6.17;58.92;ESTAVEL
2023-03-31;1680220800000;OIAG11.SA;10.86;10.91;10.78;10.84;9.93;23835;fii;9.38;5.87;10.24;5.91;58.06;ESTAVEL
2023-04-03;1680480000000;OIAG11.SA;10.9;11.16;10.8;10.96;10.04;24637;fii;9.39;6.96;10.24;7.0;61.41;ESTAVEL
2023-04-04;1680566400000;OIAG11.SA;10.96;11.2;10.79;10.8;9.9;17641;fii;9.39;5.4;10.25;5.37;55.36;ESTAVEL
2023-04-05;1680652800000;OIAG11.SA;10.9;11.03;10.65;10.65;9.76;27073;fii;9.4;3.87;10.25;3.86;50.05;ESTAVEL
2023-04-06;1680739200000;OIAG11.SA;10.89;10.92;10.6;10.75;9.85;26685;fii;9.4;4.77;10.26;4.78;53.16;ESTAVEL
2023-04-10;1681084800000;OIAG11.SA;10.75;11.05;10.48;10.85;9.94;22016;fii;9.41;5.66;10.27;5.69;56.1;ESTAVEL
2023-04-11;1681171200000;OIAG11.SA;10.87;10.87;10.51;10.67;9.78;11301;fii;9.41;3.91;10.27;3.89;50.08;ESTAVEL
2023-04-12;1681257600000;OIAG11.SA;10.74;10.8;10.54;10.8;9.9;58891;fii;9.42;5.13;10.28;5.09;54.06;ESTAVEL
2023-04-13;1681344000000;OIAG11.SA;10.8;10.8;10.6;10.66;9.77;68901;fii;9.42;3.7;10.28;3.69;49.46;ESTAVEL
2023-04-14;1681430400000;OIAG11.SA;10.88;10.88;10.59;10.65;9.76;11044;fii;9.43;3.55;10.29;3.55;49.11;ESTAVEL
2023-04-17;1681689600000;OIAG11.SA;10.8;10.8;10.3;10.35;9.48;43837;fii;9.43;0.58;10.29;0.62;40.54;ESTAVEL
2023-04-18;1681776000000;OIAG11.SA;10.1;10.15;9.98;10.0;9.16;87496;fii;9.42;-2.79;10.28;-2.75;33.38;ESTAVEL
2023-04-19;1681862400000;OIAG11.SA;10.08;10.13;9.95;9.99;9.16;24261;fii;9.42;-2.76;10.28;-2.82;33.38;ESTAVEL
2023-04-20;1681948800000;OIAG11.SA;10.0;10.09;9.89;9.93;9.1;35034;fii;9.42;-3.36;10.28;-3.36;32.14;ESTAVEL
2023-04-24;1682294400000;OIAG11.SA;9.94;10.0;9.69;9.82;9.0;42763;fii;9.41;-4.37;10.27;-4.39;30.14;ESTAVEL
2023-04-25;1682380800000;OIAG11.SA;9.83;9.98;9.69;9.73;8.92;26861;fii;9.41;-5.17;10.26;-5.21;28.6;SUBIR
2023-04-26;1682467200000;OIAG11.SA;9.73;9.73;9.6;9.63;8.83;38808;fii;9.4;-6.06;10.26;-6.12;26.94;SUBIR
2023-04-27;1682553600000;OIAG11.SA;9.64;9.64;9.56;9.56;8.76;42949;fii;9.39;-6.74;10.25;-6.73;25.69;SUBIR
