s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2022-12-28;1672185600000;OURE11.SA;80.4;80.69;79.98;80.62;70.84;609;fii;68.2;3.87;81.0;-0.46;55.82;ESTAVEL
2022-12-29;1672272000000;OURE11.SA;80.69;80.72;79.0;80.49;70.72;1552;fii;68.23;3.65;80.99;-0.62;54.43;ESTAVEL
2023-01-02;1672617600000;OURE11.SA;80.15;80.8;80.15;80.6;70.82;1050;fii;68.26;3.76;80.99;-0.48;55.43;ESTAVEL
2023-01-03;1672704000000;OURE11.SA;80.98;81.95;80.6;81.44;71.56;713;fii;68.29;4.78;80.99;0.55;62.04;ESTAVEL
2023-01-04;1672790400000;OURE11.SA;81.43;81.94;80.72;80.99;71.16;548;fii;68.33;4.15;80.99;-0.0;57.11;ESTAVEL
2023-01-05;1672876800000;OURE11.SA;81.9;81.9;81.05;81.26;71.4;756;fii;68.36;4.44;80.99;0.33;59.21;ESTAVEL
2023-01-06;1672963200000;OURE11.SA;81.26;81.95;81.1;81.51;71.62;1583;fii;68.4;4.71;81.0;0.63;61.08;ESTAVEL
2023-01-09;1673222400000;OURE11.SA;81.94;82.06;81.51;81.82;71.89;531;fii;68.44;5.04;81.01;1.0;63.31;ESTAVEL
2023-01-10;1673308800000;OURE11.SA;81.88;82.11;81.32;81.86;71.93;1192;fii;68.48;5.04;81.02;1.04;63.65;ESTAVEL
2023-01-11;1673395200000;OURE11.SA;81.85;82.11;81.8;81.98;72.03;953;fii;68.52;5.12;81.03;1.17;64.51;ESTAVEL
2023-01-12;1673481600000;OURE11.SA;82.1;82.11;81.93;82.11;72.14;802;fii;68.56;5.22;81.04;1.32;65.49;ESTAVEL
2023-01-13;1673568000000;OURE11.SA;82.11;83.0;82.11;82.7;72.66;2483;fii;68.61;5.91;81.06;2.02;69.72;ESTAVEL
2023-01-16;1673827200000;OURE11.SA;81.0;81.2;80.26;81.2;72.22;881;fii;68.65;5.2;81.06;0.17;62.71;ESTAVEL
2023-01-17;1673913600000;OURE11.SA;81.01;81.19;80.0;80.01;71.16;2335;fii;68.68;3.62;81.05;-1.28;49.74;ESTAVEL
2023-01-18;1674000000000;OURE11.SA;80.88;80.93;80.2;80.35;71.46;294;fii;68.71;4.01;81.04;-0.86;52.72;ESTAVEL
2023-01-19;1674086400000;OURE11.SA;80.8;80.8;78.0;78.03;69.4;6219;fii;68.72;1.0;81.01;-3.68;36.65;ESTAVEL
2023-01-20;1674172800000;OURE11.SA;78.98;79.72;78.9;78.93;70.2;1151;fii;68.73;2.14;80.99;-2.54;43.82;ESTAVEL
2023-01-23;1674432000000;OURE11.SA;79.77;79.77;78.01;78.01;69.38;2508;fii;68.74;0.93;80.95;-3.63;38.95;ESTAVEL
2023-01-24;1674518400000;OURE11.SA;78.83;78.84;76.95;76.96;68.45;3069;fii;68.74;-0.42;80.91;-4.88;34.3;ESTAVEL
2023-01-25;1674604800000;OURE11.SA;76.96;78.05;76.95;77.6;69.02;882;fii;68.74;0.41;80.87;-4.04;39.1;ESTAVEL
2023-01-26;1674691200000;OURE11.SA;77.72;77.88;77.51;77.81;69.2;779;fii;68.74;0.66;80.84;-3.74;40.58;ESTAVEL
2023-01-27;1674777600000;OURE11.SA;77.98;78.82;77.0;77.0;68.48;1966;fii;68.74;-0.38;80.79;-4.7;36.74;ESTAVEL
2023-01-30;1675036800000;OURE11.SA;77.05;78.59;76.97;76.98;68.47;2821;fii;68.74;-0.39;80.75;-4.67;36.69;ESTAVEL
2023-01-31;1675123200000;OURE11.SA;77.82;77.83;77.18;77.42;68.86;571;fii;68.74;0.18;80.71;-4.08;40.23;ESTAVEL
2023-02-01;1675209600000;OURE11.SA;77.74;78.98;77.51;78.26;69.6;680;fii;68.75;1.24;80.69;-3.01;46.37;ESTAVEL
2023-02-02;1675296000000;OURE11.SA;78.5;78.87;77.73;78.08;69.44;778;fii;68.76;0.99;80.66;-3.2;45.29;ESTAVEL
2023-02-03;1675382400000;OURE11.SA;78.09;78.87;77.53;77.76;69.16;1217;fii;68.76;0.58;80.63;-3.55;43.38;ESTAVEL
2023-02-06;1675641600000;OURE11.SA;77.76;78.8;77.76;78.8;70.08;840;fii;68.78;1.9;80.6;-2.24;50.72;ESTAVEL
2023-02-07;1675728000000;OURE11.SA;78.86;79.2;78.8;79.15;70.4;321;fii;68.79;2.33;80.59;-1.79;53.01;ESTAVEL
2023-02-08;1675814400000;OURE11.SA;79.79;79.8;78.78;79.2;70.44;543;fii;68.81;2.37;80.57;-1.7;53.3;ESTAVEL
2023-02-09;1675900800000;OURE11.SA;79.69;79.69;78.06;79.01;70.27;1355;fii;68.83;2.09;80.56;-1.92;51.83;ESTAVEL
2023-02-10;1675987200000;OURE11.SA;78.0;78.78;77.3;77.46;68.89;2011;fii;68.83;0.09;80.52;-3.8;41.76;ESTAVEL
2023-02-13;1676246400000;OURE11.SA;77.45;79.43;71.11;73.0;64.93;9260;fii;68.79;-5.61;80.44;-9.25;26.09;SUBIR
2023-02-14;1676332800000;OURE11.SA;74.49;76.75;73.2;74.21;66.0;7092;fii;68.76;-4.01;80.37;-7.66;33.36;ESTAVEL
2023-02-15;1676419200000;OURE11.SA;73.13;73.67;71.35;72.29;65.17;5244;fii;68.72;-5.16;80.28;-9.95;30.83;ESTAVEL
2023-02-16;1676505600000;OURE11.SA;72.29;73.24;72.29;73.24;66.03;1725;fii;68.69;-3.87;80.2;-8.68;36.23;ESTAVEL
2023-02-17;1676592000000;OURE11.SA;73.2;73.94;72.02;72.16;65.06;3989;fii;68.65;-5.22;80.12;-9.93;33.09;ESTAVEL
2023-02-22;1677024000000;OURE11.SA;73.87;73.87;72.1;73.3;66.08;1519;fii;68.62;-3.7;80.04;-8.42;39.08;ESTAVEL
2023-02-23;1677110400000;OURE11.SA;73.3;73.89;73.18;73.8;66.53;1430;fii;68.6;-3.01;79.97;-7.72;41.56;ESTAVEL
2023-02-24;1677196800000;OURE11.SA;73.85;75.94;73.85;75.94;68.46;1573;fii;68.59;-0.2;79.93;-4.99;50.82;ESTAVEL
2023-02-27;1677456000000;OURE11.SA;75.94;76.81;75.31;76.22;68.72;583;fii;68.6;0.18;79.89;-4.59;51.92;ESTAVEL
2023-02-28;1677542400000;OURE11.SA;76.2;77.06;75.69;76.94;69.36;668;fii;68.6;1.1;79.86;-3.65;54.62;ESTAVEL
2023-03-01;1677628800000;OURE11.SA;77.4;77.74;76.99;77.0;69.42;736;fii;68.61;1.18;79.82;-3.54;54.88;ESTAVEL
2023-03-02;1677715200000;OURE11.SA;76.99;77.14;74.28;74.4;67.07;3401;fii;68.6;-2.22;79.76;-6.73;44.33;ESTAVEL
2023-03-03;1677801600000;OURE11.SA;74.4;75.43;71.9;72.14;65.04;5595;fii;68.56;-5.13;79.68;-9.46;37.6;ESTAVEL
2023-03-06;1678060800000;OURE11.SA;72.14;73.1;72.11;72.12;65.02;2509;fii;68.52;-5.11;79.6;-9.4;37.54;ESTAVEL
2023-03-07;1678147200000;OURE11.SA;72.99;73.08;72.05;72.05;64.96;1990;fii;68.48;-5.14;79.52;-9.39;37.35;ESTAVEL
2023-03-08;1678233600000;OURE11.SA;72.05;73.08;71.86;72.59;65.44;1286;fii;68.45;-4.39;79.44;-8.63;40.02;ESTAVEL
2023-03-09;1678320000000;OURE11.SA;73.1;74.4;72.72;72.95;65.77;1411;fii;68.42;-3.87;79.37;-8.09;41.85;ESTAVEL
2023-03-10;1678406400000;OURE11.SA;73.49;74.36;73.0;73.79;66.52;2727;fii;68.4;-2.74;79.31;-6.96;45.9;ESTAVEL
2023-03-13;1678665600000;OURE11.SA;73.8;74.5;73.23;73.5;66.26;2208;fii;68.37;-3.09;79.25;-7.25;44.74;ESTAVEL
2023-03-14;1678752000000;OURE11.SA;74.45;74.48;73.9;74.43;67.1;1479;fii;68.36;-1.84;79.2;-6.02;49.22;ESTAVEL
2023-03-15;1678838400000;OURE11.SA;73.48;74.0;72.11;73.05;66.71;1391;fii;68.34;-2.39;79.13;-7.68;47.3;ESTAVEL
2023-03-16;1678924800000;OURE11.SA;73.05;73.47;71.12;71.12;64.95;3991;fii;68.31;-4.91;79.04;-10.02;39.77;ESTAVEL
2023-03-17;1679011200000;OURE11.SA;71.16;72.6;71.16;72.6;66.3;680;fii;68.28;-2.91;78.97;-8.07;46.77;ESTAVEL
2023-03-20;1679270400000;OURE11.SA;72.6;72.6;72.05;72.16;65.9;392;fii;68.26;-3.45;78.9;-8.54;45.1;ESTAVEL
2023-03-21;1679356800000;OURE11.SA;72.5;72.6;72.16;72.54;66.24;547;fii;68.24;-2.93;78.83;-7.98;46.84;ESTAVEL
2023-03-22;1679443200000;OURE11.SA;72.54;73.49;71.99;71.99;65.74;1265;fii;68.21;-3.62;78.76;-8.59;44.6;ESTAVEL
2023-03-23;1679529600000;OURE11.SA;72.75;72.75;72.0;72.43;66.14;510;fii;68.19;-3.0;78.69;-7.95;46.79;ESTAVEL
2023-03-24;1679616000000;OURE11.SA;72.76;73.39;72.44;73.39;67.02;489;fii;68.17;-1.69;78.63;-6.67;51.35;ESTAVEL
2023-03-27;1679875200000;OURE11.SA;73.4;73.4;72.39;73.29;66.93;514;fii;68.16;-1.81;78.57;-6.73;50.87;ESTAVEL
2023-03-28;1679961600000;OURE11.SA;73.49;73.49;72.51;73.39;67.02;421;fii;68.15;-1.66;78.52;-6.53;51.36;ESTAVEL
2023-03-29;1680048000000;OURE11.SA;73.4;73.4;71.8;72.9;66.57;1050;fii;68.13;-2.29;78.46;-7.08;48.74;ESTAVEL
2023-03-30;1680134400000;OURE11.SA;73.1;73.28;72.49;72.5;66.21;1005;fii;68.11;-2.79;78.39;-7.52;46.69;ESTAVEL
2023-03-31;1680220800000;OURE11.SA;72.5;75.48;72.5;72.68;66.37;1046;fii;68.09;-2.53;78.33;-7.22;47.74;ESTAVEL
2023-04-03;1680480000000;OURE11.SA;74.71;74.71;72.69;73.74;67.34;684;fii;68.08;-1.09;78.28;-5.8;53.7;ESTAVEL
2023-04-04;1680566400000;OURE11.SA;73.98;73.98;72.2;73.32;66.96;1356;fii;68.07;-1.63;78.23;-6.28;51.24;ESTAVEL
2023-04-05;1680652800000;OURE11.SA;73.32;74.13;72.0;73.21;66.86;1488;fii;68.06;-1.76;78.18;-6.35;50.58;ESTAVEL
