s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2000-10-31;972950400000;PATI3.SA;0.25;0.25;0.25;0.25;0.18;0;stock;0.17;6.92;0.23;7.15;96.63;ESTAVEL
2000-11-01;973036800000;PATI3.SA;0.25;0.25;0.25;0.25;0.18;0;stock;0.17;6.84;0.23;7.06;96.63;ESTAVEL
2000-11-02;973123200000;PATI3.SA;0.25;0.25;0.25;0.25;0.18;0;stock;0.17;6.75;0.23;6.97;96.63;ESTAVEL
2000-11-03;973209600000;PATI3.SA;0.25;0.25;0.25;0.25;0.18;0;stock;0.17;6.67;0.23;6.89;96.63;ESTAVEL
2000-11-06;973468800000;PATI3.SA;0.25;0.25;0.25;0.25;0.18;0;stock;0.17;6.59;0.23;6.8;96.63;ESTAVEL
2000-11-07;973555200000;PATI3.SA;0.25;0.25;0.25;0.25;0.18;0;stock;0.17;6.51;0.23;6.72;96.63;ESTAVEL
2000-11-08;973641600000;PATI3.SA;0.25;0.25;0.25;0.25;0.18;0;stock;0.17;6.43;0.23;6.64;96.63;ESTAVEL
2000-11-09;973728000000;PATI3.SA;0.25;0.25;0.25;0.25;0.18;0;stock;0.17;6.35;0.23;6.56;96.63;ESTAVEL
2000-11-10;973814400000;PATI3.SA;0.25;0.25;0.25;0.25;0.18;0;stock;0.17;6.27;0.23;6.48;96.63;ESTAVEL
2000-11-13;974073600000;PATI3.SA;0.25;0.25;0.25;0.25;0.18;0;stock;0.17;6.2;0.23;6.4;96.63;ESTAVEL
2000-11-14;974160000000;PATI3.SA;0.25;0.25;0.25;0.25;0.18;0;stock;0.17;6.12;0.24;6.32;96.63;ESTAVEL
2000-11-15;974246400000;PATI3.SA;0.25;0.25;0.25;0.25;0.18;0;stock;0.17;6.05;0.24;6.25;96.63;ESTAVEL
