s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2003-01-31;1043971200000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;1000;stock;0.89;-5.57;4.0;-4.95;0.0;SUBIR
2003-02-03;1044230400000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.89;-5.51;4.0;-4.91;0.0;SUBIR
2003-02-04;1044316800000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.89;-5.46;3.99;-4.86;0.0;SUBIR
2003-02-05;1044403200000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.89;-5.41;3.99;-4.81;0.0;SUBIR
2003-02-06;1044489600000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.89;-5.36;3.99;-4.77;0.0;SUBIR
2003-02-07;1044576000000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.89;-5.31;3.99;-4.72;0.0;SUBIR
2003-02-10;1044835200000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.89;-5.26;3.99;-4.68;0.0;SUBIR
2003-02-11;1044921600000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.89;-5.21;3.98;-4.63;0.0;SUBIR
2003-02-12;1045008000000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.89;-5.16;3.98;-4.59;0.0;SUBIR
2003-02-13;1045094400000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.89;-5.11;3.98;-4.54;0.0;SUBIR
2003-02-14;1045180800000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.88;-5.06;3.98;-4.5;0.0;SUBIR
2003-02-17;1045440000000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.88;-5.01;3.98;-4.46;0.0;SUBIR
2003-02-18;1045526400000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.88;-4.97;3.98;-4.42;0.0;SUBIR
2003-02-19;1045612800000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.88;-4.92;3.97;-4.37;0.0;SUBIR
2003-02-20;1045699200000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.88;-4.87;3.97;-4.33;0.0;SUBIR
2003-02-21;1045785600000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.88;-4.83;3.97;-4.29;0.0;SUBIR
2003-02-24;1046044800000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.88;-4.78;3.97;-4.25;0.0;SUBIR
2003-02-25;1046131200000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.88;-4.73;3.97;-4.21;0.0;SUBIR
2003-02-26;1046217600000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.88;-4.69;3.97;-4.17;0.0;SUBIR
2003-02-27;1046304000000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.88;-4.64;3.96;-4.13;0.0;SUBIR
2003-02-28;1046390400000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.88;-4.6;3.96;-4.09;0.0;SUBIR
2003-03-03;1046649600000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.88;-4.56;3.96;-4.05;0.0;SUBIR
2003-03-04;1046736000000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.88;-4.51;3.96;-4.01;0.0;SUBIR
2003-03-05;1046822400000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.88;-4.47;3.96;-3.97;0.0;SUBIR
2003-03-06;1046908800000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.88;-4.43;3.96;-3.93;0.0;SUBIR
2003-03-07;1046995200000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.88;-4.38;3.95;-3.9;0.0;SUBIR
2003-03-10;1047254400000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.88;-4.34;3.95;-3.86;0.0;SUBIR
2003-03-11;1047340800000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.88;-4.3;3.95;-3.82;0.0;SUBIR
2003-03-12;1047427200000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.88;-4.26;3.95;-3.79;0.0;SUBIR
2003-03-13;1047513600000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.88;-4.22;3.95;-3.75;0.0;SUBIR
2003-03-14;1047600000000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.88;-4.18;3.95;-3.71;0.0;SUBIR
2003-03-17;1047859200000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.88;-4.14;3.95;-3.68;0.0;SUBIR
2003-03-18;1047945600000;PEAB3.SA;3.8;3.8;3.8;3.8;0.84;0;stock;0.88;-4.1;3.94;-3.64;0.0;SUBIR
