s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;ticker_type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2000-10-06;970790400000;PETR4.SA;6.47;6.47;6.47;6.47;1.71;37315200;stock;1.64;4.48;6.21;4.23;43.95;ESTAVEL
2000-10-09;971049600000;PETR4.SA;6.49;6.49;6.49;6.49;1.71;26342400;stock;1.64;4.43;6.21;4.5;43.95;ESTAVEL
2000-10-10;971136000000;PETR4.SA;6.61;6.61;6.61;6.61;1.74;40163200;stock;1.64;6.18;6.22;6.35;49.22;ESTAVEL
2000-10-11;971222400000;PETR4.SA;6.62;6.62;6.62;6.62;1.75;30969600;stock;1.64;6.71;6.22;6.44;50.87;ESTAVEL
2000-10-12;971308800000;PETR4.SA;6.62;6.62;6.62;6.62;1.75;0;stock;1.64;6.63;6.22;6.36;50.87;ESTAVEL
2000-10-13;971395200000;PETR4.SA;6.7;6.7;6.7;6.7;1.77;33702400;stock;1.64;7.75;6.23;7.55;54.33;ESTAVEL
2000-10-16;971654400000;PETR4.SA;6.46;6.46;6.46;6.46;1.7;61683200;stock;1.64;3.45;6.23;3.65;42.94;ESTAVEL
2000-10-17;971740800000;PETR4.SA;6.19;6.19;6.19;6.19;1.63;30995200;stock;1.64;-0.8;6.23;-0.67;35.04;ESTAVEL
2000-10-18;971827200000;PETR4.SA;6.25;6.25;6.25;6.25;1.65;97750400;stock;1.64;0.41;6.23;0.29;38.52;ESTAVEL
2000-10-19;971913600000;PETR4.SA;6.35;6.35;6.35;6.35;1.67;55462400;stock;1.64;1.61;6.23;1.87;41.88;ESTAVEL
2000-10-20;972000000000;PETR4.SA;6.25;6.25;6.25;6.25;1.65;26928000;stock;1.64;0.39;6.23;0.26;39.55;ESTAVEL
2000-10-23;972259200000;PETR4.SA;5.99;5.99;5.99;5.99;1.58;39004800;stock;1.64;-3.83;6.23;-3.87;32.71;ESTAVEL
2000-10-24;972345600000;PETR4.SA;5.99;5.99;5.99;5.99;1.58;0;stock;1.64;-3.79;6.23;-3.82;32.71;ESTAVEL
2000-10-25;972432000000;PETR4.SA;5.72;5.72;5.72;5.72;1.51;54582400;stock;1.64;-7.97;6.22;-8.07;27.24;SUBIR
2000-10-26;972518400000;PETR4.SA;6.11;6.11;6.11;6.11;1.61;48233600;stock;1.64;-1.85;6.22;-1.79;42.12;ESTAVEL
2000-10-27;972604800000;PETR4.SA;6.17;6.17;6.17;6.17;1.63;45820800;stock;1.64;-0.63;6.22;-0.81;44.57;ESTAVEL
2000-10-30;972864000000;PETR4.SA;6.34;6.34;6.34;6.34;1.67;25900800;stock;1.64;1.79;6.22;1.9;49.18;ESTAVEL
2000-10-31;972950400000;PETR4.SA;6.33;6.33;6.33;6.33;1.67;44307200;stock;1.64;1.77;6.22;1.72;49.18;ESTAVEL
2000-11-01;973036800000;PETR4.SA;6.4;6.4;6.4;6.4;1.69;31068800;stock;1.64;2.96;6.23;2.81;51.53;ESTAVEL
2000-11-02;973123200000;PETR4.SA;6.4;6.4;6.4;6.4;1.69;0;stock;1.64;2.92;6.23;2.78;51.53;ESTAVEL
2000-11-03;973209600000;PETR4.SA;6.26;6.26;6.26;6.26;1.65;31468800;stock;1.64;0.48;6.23;0.52;46.55;ESTAVEL
2000-11-06;973468800000;PETR4.SA;6.4;6.4;6.4;6.4;1.69;26361600;stock;1.64;2.88;6.23;2.74;51.59;ESTAVEL
2000-11-07;973555200000;PETR4.SA;6.53;6.53;6.53;6.53;1.72;33436800;stock;1.64;4.65;6.23;4.77;55.01;ESTAVEL
2000-11-08;973641600000;PETR4.SA;6.44;6.44;6.44;6.44;1.7;34857600;stock;1.64;3.4;6.24;3.29;52.35;ESTAVEL
2000-11-09;973728000000;PETR4.SA;6.25;6.25;6.25;6.25;1.65;52691200;stock;1.64;0.35;6.24;0.24;46.33;ESTAVEL
2000-11-10;973814400000;PETR4.SA;6.27;6.27;6.27;6.27;1.65;33510400;stock;1.64;0.35;6.24;0.55;46.33;ESTAVEL
2000-11-13;974073600000;PETR4.SA;6.35;6.35;6.35;6.35;1.67;29878400;stock;1.64;1.55;6.24;1.81;49.05;ESTAVEL
