s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;ticker_type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2021-07-08;1625702400000;PETZ3.SA;23.95;24.83;23.56;24.81;24.64;2523597;stock;21.53;14.42;21.7;14.33;55.66;ESTAVEL
2021-07-12;1626048000000;PETZ3.SA;24.85;24.98;24.09;24.48;24.31;3278009;stock;21.57;12.72;21.73;12.65;52.14;ESTAVEL
2021-07-13;1626134400000;PETZ3.SA;24.46;24.62;23.93;24.03;23.87;5040274;stock;21.59;10.55;21.76;10.44;47.8;ESTAVEL
2021-07-14;1626220800000;PETZ3.SA;24.18;24.35;23.78;23.87;23.71;3633852;stock;21.62;9.68;21.78;9.58;46.28;ESTAVEL
2021-07-15;1626307200000;PETZ3.SA;23.88;24.15;23.67;23.89;23.73;3693426;stock;21.64;9.65;21.81;9.56;46.51;ESTAVEL
2021-07-16;1626393600000;PETZ3.SA;23.96;24.3;23.44;23.44;23.28;2515473;stock;21.66;7.48;21.83;7.4;42.18;ESTAVEL
2021-07-19;1626652800000;PETZ3.SA;23.44;23.51;22.78;23.32;23.16;3158558;stock;21.68;6.84;21.84;6.77;41.09;ESTAVEL
2021-07-20;1626739200000;PETZ3.SA;23.28;23.46;22.88;23.08;22.92;1837386;stock;21.69;5.67;21.86;5.6;38.9;ESTAVEL
2021-07-21;1626825600000;PETZ3.SA;23.08;23.27;22.57;22.83;22.68;3117538;stock;21.7;4.51;21.87;4.4;36.8;ESTAVEL
2021-07-22;1626912000000;PETZ3.SA;22.98;23.35;22.79;23.33;23.17;2562210;stock;21.72;6.68;21.88;6.61;43.52;ESTAVEL
2021-07-23;1626998400000;PETZ3.SA;23.25;23.51;23.02;23.51;23.35;1582438;stock;21.74;7.42;21.9;7.34;45.8;ESTAVEL
2021-07-26;1627257600000;PETZ3.SA;23.43;23.47;22.73;23.02;22.87;3141508;stock;21.75;5.15;21.91;5.04;41.04;ESTAVEL
2021-07-27;1627344000000;PETZ3.SA;22.95;22.99;22.1;22.41;22.26;3119243;stock;21.76;2.32;21.92;2.23;35.93;ESTAVEL
2021-07-28;1627430400000;PETZ3.SA;22.31;22.63;22.14;22.31;22.16;2650369;stock;21.76;1.84;21.92;1.76;35.16;ESTAVEL
2021-07-29;1627516800000;PETZ3.SA;22.22;22.55;21.97;22.39;22.24;2647761;stock;21.77;2.18;21.93;2.1;36.34;ESTAVEL
2021-07-30;1627603200000;PETZ3.SA;22.27;23.49;22.11;22.77;22.62;6870239;stock;21.78;3.88;21.94;3.78;41.76;ESTAVEL
2021-08-02;1627862400000;PETZ3.SA;23.22;23.71;23.08;23.54;23.38;5162132;stock;21.79;7.28;21.96;7.21;50.78;ESTAVEL
2021-08-03;1627948800000;PETZ3.SA;24.93;25.52;24.51;24.87;24.7;12106990;stock;21.83;13.17;21.99;13.1;61.84;ESTAVEL
2021-08-04;1628035200000;PETZ3.SA;24.71;26.02;24.71;25.47;25.29;8625885;stock;21.87;15.66;22.03;15.62;65.56;ESTAVEL
2021-08-05;1628121600000;PETZ3.SA;25.47;26.09;25.22;25.82;25.65;6236080;stock;21.91;17.08;22.07;16.98;67.63;ESTAVEL
2021-08-06;1628208000000;PETZ3.SA;26.04;26.31;25.58;26.27;26.09;3687609;stock;21.95;18.84;22.12;18.77;70.01;CAIR
2021-08-09;1628467200000;PETZ3.SA;26.24;27.11;26.11;26.72;26.54;3039209;stock;22.01;20.61;22.17;20.52;72.26;CAIR
2021-08-10;1628553600000;PETZ3.SA;26.9;27.22;26.16;26.16;25.98;4723446;stock;22.05;17.82;22.21;17.76;65.67;ESTAVEL
2021-08-11;1628640000000;PETZ3.SA;26.06;26.1;25.01;25.92;25.75;6221738;stock;22.09;16.56;22.26;16.46;63.12;ESTAVEL
2021-08-12;1628726400000;PETZ3.SA;25.87;26.31;25.21;25.41;25.23;2785064;stock;22.13;14.03;22.29;13.99;57.68;ESTAVEL
2021-08-13;1628812800000;PETZ3.SA;25.41;25.77;25.08;25.58;25.41;3309501;stock;22.16;14.65;22.33;14.57;59.0;ESTAVEL
2021-08-16;1629072000000;PETZ3.SA;25.57;26.14;24.95;25.27;25.09;4424971;stock;22.2;13.04;22.36;13.01;55.68;ESTAVEL
2021-08-17;1629158400000;PETZ3.SA;25.2;26.3;24.34;26.2;26.02;10039730;stock;22.24;17.01;22.4;16.95;62.31;ESTAVEL
2021-08-18;1629244800000;PETZ3.SA;26.19;26.62;25.7;25.85;25.68;5194125;stock;22.28;15.28;22.44;15.19;58.84;ESTAVEL
2021-08-19;1629331200000;PETZ3.SA;25.66;26.91;25.32;26.91;26.73;7431183;stock;22.33;19.73;22.49;19.65;65.28;ESTAVEL
2021-08-20;1629417600000;PETZ3.SA;26.62;27.94;26.62;27.83;27.64;6716488;stock;22.38;23.48;22.55;23.42;69.7;ESTAVEL
2021-08-23;1629676800000;PETZ3.SA;27.84;27.96;27.2;27.32;27.13;4859444;stock;22.44;20.92;22.6;20.87;64.72;ESTAVEL
2021-08-24;1629763200000;PETZ3.SA;27.56;27.93;27.31;27.56;27.37;4659659;stock;22.49;21.69;22.66;21.64;65.95;ESTAVEL
2021-08-25;1629849600000;PETZ3.SA;27.65;28.58;27.6;28.27;28.07;7526864;stock;22.55;24.47;22.72;24.43;69.32;ESTAVEL
2021-08-26;1629936000000;PETZ3.SA;28.27;28.7;26.84;27.42;27.23;6708765;stock;22.6;20.47;22.77;20.42;61.47;ESTAVEL
2021-08-27;1630022400000;PETZ3.SA;27.48;28.07;27.21;27.67;27.48;5756374;stock;22.66;21.28;22.82;21.23;62.82;ESTAVEL
2021-08-30;1630281600000;PETZ3.SA;27.52;27.58;26.14;26.92;26.74;8300331;stock;22.7;17.79;22.87;17.71;56.51;ESTAVEL
2021-08-31;1630368000000;PETZ3.SA;26.91;27.62;26.07;26.4;26.22;6894309;stock;22.74;15.3;22.91;15.24;52.52;ESTAVEL
2021-09-01;1630454400000;PETZ3.SA;26.46;27.01;25.53;25.58;25.41;6735343;stock;22.77;11.59;22.94;11.52;46.96;ESTAVEL
2021-09-02;1630540800000;PETZ3.SA;25.84;26.36;25.45;25.97;25.8;5953652;stock;22.8;13.14;22.97;13.06;49.72;ESTAVEL
2021-09-03;1630627200000;PETZ3.SA;26.3;27.29;26.01;26.52;26.34;15602637;stock;22.84;15.31;23.01;15.26;53.34;ESTAVEL
2021-09-06;1630886400000;PETZ3.SA;26.52;27.06;26.16;26.53;26.35;3660630;stock;22.88;15.16;23.05;15.11;53.41;ESTAVEL
2021-09-08;1631059200000;PETZ3.SA;26.34;26.41;25.33;25.5;25.32;4039641;stock;22.91;10.53;23.08;10.51;46.08;ESTAVEL
2021-09-09;1631145600000;PETZ3.SA;25.38;27.57;25.23;26.9;26.72;4367402;stock;22.95;16.43;23.12;16.37;55.1;ESTAVEL
2021-09-10;1631232000000;PETZ3.SA;27.02;27.02;25.98;26.37;26.19;4651033;stock;22.98;13.95;23.15;13.9;51.58;ESTAVEL
2021-09-13;1631491200000;PETZ3.SA;26.87;26.96;25.89;25.91;25.74;3878870;stock;23.01;11.84;23.18;11.77;48.74;ESTAVEL
2021-09-14;1631577600000;PETZ3.SA;26.05;27.2;25.99;26.92;26.74;4581931;stock;23.05;15.99;23.22;15.92;54.71;ESTAVEL
2021-09-15;1631664000000;PETZ3.SA;26.87;27.18;26.48;26.82;26.64;3778576;stock;23.09;15.36;23.26;15.29;54.04;ESTAVEL
2021-09-16;1631750400000;PETZ3.SA;26.68;26.91;26.29;26.72;26.54;2140073;stock;23.13;14.74;23.3;14.68;53.32;ESTAVEL
2021-09-17;1631836800000;PETZ3.SA;26.61;26.82;26.21;26.66;26.48;3414108;stock;23.17;14.3;23.34;14.24;52.87;ESTAVEL
2021-09-20;1632096000000;PETZ3.SA;26.22;26.53;25.18;25.43;25.25;4953821;stock;23.19;8.88;23.36;8.87;44.56;ESTAVEL
