s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2020-12-04;1607040000000;PRNR3.SA;9.26;9.35;9.22;9.33;8.82;106500;stock;9.01;-2.11;9.54;-2.15;51.3;ESTAVEL
2020-12-07;1607299200000;PRNR3.SA;9.35;9.35;9.16;9.19;8.68;94900;stock;9.01;-3.62;9.53;-3.58;48.19;ESTAVEL
2020-12-08;1607385600000;PRNR3.SA;9.26;9.26;9.13;9.13;8.63;103200;stock;9.0;-4.13;9.53;-4.16;47.09;ESTAVEL
2020-12-09;1607472000000;PRNR3.SA;9.13;9.16;9.03;9.03;8.53;112000;stock;9.0;-5.19;9.52;-5.16;44.89;ESTAVEL
2020-12-10;1607558400000;PRNR3.SA;9.05;9.13;8.97;9.05;8.55;102600;stock;8.99;-4.91;9.52;-4.89;45.44;ESTAVEL
2020-12-11;1607644800000;PRNR3.SA;9.05;9.12;8.98;9.03;8.53;75200;stock;8.99;-5.08;9.51;-5.05;44.96;ESTAVEL
2020-12-14;1607904000000;PRNR3.SA;9.21;9.21;8.97;8.98;8.49;133800;stock;8.98;-5.46;9.5;-5.51;43.95;ESTAVEL
2020-12-15;1607990400000;PRNR3.SA;8.98;9.09;8.96;8.96;8.47;105800;stock;8.97;-5.62;9.5;-5.66;43.43;ESTAVEL
2020-12-16;1608076800000;PRNR3.SA;9.07;9.07;8.93;8.93;8.44;113900;stock;8.97;-5.89;9.49;-5.91;42.61;ESTAVEL
2020-12-17;1608163200000;PRNR3.SA;8.94;9.12;8.94;9.0;8.5;141300;stock;8.96;-5.17;9.49;-5.12;44.85;ESTAVEL
2020-12-18;1608249600000;PRNR3.SA;9.0;9.09;8.96;8.96;8.47;91300;stock;8.96;-5.44;9.48;-5.48;43.93;ESTAVEL
2020-12-21;1608508800000;PRNR3.SA;8.93;8.98;8.71;8.71;8.23;250500;stock;8.95;-8.04;9.47;-8.03;37.31;ESTAVEL
