s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2023-05-30;1685404800000;RBIF11.SA;93.0;97.89;92.05;97.2;90.96;1022;fii;94.18;-3.42;100.64;-3.42;47.0;ESTAVEL
2023-05-31;1685491200000;RBIF11.SA;92.0;98.99;92.0;98.97;92.62;456;fii;94.16;-1.64;100.62;-1.64;51.81;ESTAVEL
2023-06-02;1685664000000;RBIF11.SA;97.64;97.64;92.07;92.61;86.67;1720;fii;94.08;-7.87;100.53;-7.88;38.37;ESTAVEL
2023-06-05;1685923200000;RBIF11.SA;94.0;95.2;92.01;93.5;88.79;590;fii;94.02;-5.56;100.45;-6.92;43.95;ESTAVEL
2023-06-06;1686009600000;RBIF11.SA;95.62;95.62;92.01;94.4;89.65;254;fii;93.97;-4.59;100.38;-5.96;46.08;ESTAVEL
2023-06-07;1686096000000;RBIF11.SA;94.4;95.25;92.0;92.0;87.37;267;fii;93.89;-6.94;100.28;-8.26;41.56;ESTAVEL
2023-06-09;1686268800000;RBIF11.SA;94.41;94.41;92.01;94.3;89.55;5;fii;93.84;-4.57;100.22;-5.9;46.92;ESTAVEL
2023-06-12;1686528000000;RBIF11.SA;94.27;94.27;91.58;93.3;88.6;48;fii;93.78;-5.52;100.14;-6.83;44.99;ESTAVEL
2023-06-13;1686614400000;RBIF11.SA;93.0;93.98;93.0;93.96;89.23;96;fii;93.73;-4.8;100.07;-6.1;46.56;ESTAVEL
2023-06-14;1686700800000;RBIF11.SA;93.0;93.97;93.0;93.97;89.24;11;fii;93.68;-4.74;100.0;-6.03;46.59;ESTAVEL
2023-06-15;1686787200000;RBIF11.SA;93.3;93.97;92.7;92.71;88.04;114;fii;93.61;-5.95;99.91;-7.21;43.82;ESTAVEL
2023-06-16;1686873600000;RBIF11.SA;92.11;93.88;92.11;93.88;89.15;25;fii;93.56;-4.72;99.85;-5.98;46.96;ESTAVEL
2023-06-19;1687132800000;RBIF11.SA;93.88;93.88;93.74;93.8;89.08;45;fii;93.51;-4.74;99.78;-5.99;46.78;ESTAVEL
2023-06-20;1687219200000;RBIF11.SA;93.87;93.92;93.86;93.86;89.13;323;fii;93.46;-4.64;99.71;-5.87;46.93;ESTAVEL
2023-06-21;1687305600000;RBIF11.SA;93.85;93.87;93.85;93.86;89.13;80;fii;93.41;-4.59;99.65;-5.81;46.93;ESTAVEL
