s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2019-02-25;1551052800000;RBRR11.SA;106.84;106.85;106.0;106.0;87.85;13957;fii;84.74;3.67;102.25;3.67;45.55;ESTAVEL
2019-02-26;1551139200000;RBRR11.SA;106.5;106.8;106.0;106.8;88.51;8829;fii;84.78;4.4;102.3;4.39;50.29;ESTAVEL
2019-02-27;1551225600000;RBRR11.SA;106.8;106.85;106.0;106.74;88.46;12299;fii;84.82;4.29;102.35;4.28;49.94;ESTAVEL
2019-02-28;1551312000000;RBRR11.SA;106.77;107.3;106.33;107.3;88.92;12096;fii;84.87;4.77;102.41;4.77;53.21;ESTAVEL
2019-03-01;1551398400000;RBRR11.SA;107.49;108.92;107.3;108.2;89.67;9641;fii;84.93;5.59;102.48;5.58;58.02;ESTAVEL
2019-03-06;1551830400000;RBRR11.SA;108.68;109.0;108.3;109.0;90.33;7348;fii;84.99;6.29;102.55;6.29;61.75;ESTAVEL
2019-03-07;1551916800000;RBRR11.SA;108.8;109.31;108.25;109.26;90.55;10348;fii;85.05;6.46;102.63;6.46;62.93;ESTAVEL
2019-03-08;1552003200000;RBRR11.SA;109.3;109.96;107.95;108.05;89.54;18729;fii;85.1;5.21;102.69;5.22;54.59;ESTAVEL
2019-03-11;1552262400000;RBRR11.SA;108.9;109.45;108.05;108.85;90.21;10552;fii;85.16;5.93;102.76;5.93;58.52;ESTAVEL
2019-03-12;1552348800000;RBRR11.SA;109.0;109.32;108.8;108.8;90.17;11910;fii;85.22;5.81;102.83;5.81;58.19;ESTAVEL
2019-03-13;1552435200000;RBRR11.SA;109.14;109.89;109.0;109.89;91.07;9564;fii;85.28;6.78;102.91;6.78;63.13;ESTAVEL
2019-03-14;1552521600000;RBRR11.SA;109.24;110.98;107.0;109.58;90.81;9804;fii;85.35;6.4;102.98;6.4;60.9;ESTAVEL
2019-03-15;1552608000000;RBRR11.SA;109.53;110.35;107.3;109.38;90.65;12610;fii;85.41;6.14;103.06;6.14;59.5;ESTAVEL
2019-03-18;1552867200000;RBRR11.SA;109.38;110.98;109.27;110.98;91.97;8783;fii;85.48;7.59;103.15;7.59;66.36;ESTAVEL
2019-03-19;1552953600000;RBRR11.SA;110.99;110.99;110.5;110.97;91.96;9176;fii;85.55;7.49;103.23;7.49;66.27;ESTAVEL
2019-03-20;1553040000000;RBRR11.SA;110.98;110.99;108.61;108.84;90.2;14281;fii;85.61;5.37;103.3;5.37;52.53;ESTAVEL
2019-03-21;1553126400000;RBRR11.SA;106.0;108.0;105.4;105.4;87.35;24660;fii;85.63;2.01;103.32;2.01;38.58;ESTAVEL
2019-03-22;1553212800000;RBRR11.SA;105.69;105.93;105.5;105.65;87.56;17796;fii;85.65;2.23;103.35;2.23;39.84;ESTAVEL
2019-03-25;1553472000000;RBRR11.SA;105.64;105.7;105.4;105.7;87.6;16725;fii;85.67;2.25;103.37;2.25;40.1;ESTAVEL
2019-03-26;1553558400000;RBRR11.SA;105.7;105.7;105.0;105.28;87.25;11053;fii;85.69;1.82;103.4;1.82;38.57;ESTAVEL
2019-03-27;1553644800000;RBRR11.SA;105.0;105.15;104.0;104.65;86.73;24795;fii;85.7;1.2;103.41;1.2;36.34;ESTAVEL
2019-03-28;1553731200000;RBRR11.SA;105.47;105.47;104.0;104.0;86.19;19784;fii;85.7;0.57;103.42;0.56;34.14;ESTAVEL
2019-03-29;1553817600000;RBRR11.SA;104.0;104.45;103.2;103.9;86.11;29760;fii;85.71;0.47;103.42;0.46;33.82;ESTAVEL
2019-04-01;1554076800000;RBRR11.SA;104.0;104.5;103.52;104.1;86.27;27711;fii;85.71;0.65;103.43;0.65;35.15;ESTAVEL
2019-04-02;1554163200000;RBRR11.SA;103.99;104.18;103.53;104.17;86.33;25483;fii;85.72;0.71;103.44;0.71;35.68;ESTAVEL
2019-04-03;1554249600000;RBRR11.SA;104.17;104.7;103.82;103.84;86.06;25725;fii;85.73;0.39;103.44;0.39;34.33;ESTAVEL
2019-04-04;1554336000000;RBRR11.SA;103.8;104.7;103.62;103.62;85.87;23636;fii;85.73;0.17;103.44;0.17;33.38;ESTAVEL
2019-04-05;1554422400000;RBRR11.SA;104.01;104.82;103.71;104.76;86.82;15752;fii;85.74;1.26;103.46;1.26;42.05;ESTAVEL
2019-04-08;1554681600000;RBRR11.SA;104.8;105.46;104.68;105.25;87.22;15110;fii;85.76;1.71;103.48;1.71;45.28;ESTAVEL
2019-04-09;1554768000000;RBRR11.SA;105.3;105.7;105.0;105.42;87.36;11167;fii;85.77;1.85;103.5;1.86;46.4;ESTAVEL
2019-04-10;1554854400000;RBRR11.SA;105.24;105.3;104.51;104.95;86.98;10968;fii;85.79;1.39;103.52;1.39;43.77;ESTAVEL
2019-04-11;1554940800000;RBRR11.SA;105.18;106.49;105.02;106.3;88.09;8580;fii;85.81;2.65;103.55;2.66;52.28;ESTAVEL
2019-04-12;1555027200000;RBRR11.SA;106.3;106.77;105.96;106.5;88.26;8175;fii;85.84;2.82;103.58;2.82;53.45;ESTAVEL
2019-04-15;1555286400000;RBRR11.SA;106.49;106.49;105.06;105.96;87.81;9310;fii;85.86;2.27;103.61;2.27;49.98;ESTAVEL
2019-04-16;1555372800000;RBRR11.SA;105.9;106.8;105.16;105.9;87.76;9059;fii;85.88;2.19;103.63;2.19;49.59;ESTAVEL
2019-04-17;1555459200000;RBRR11.SA;106.0;106.7;105.01;105.95;87.8;4746;fii;85.9;2.21;103.66;2.21;49.92;ESTAVEL
2019-04-18;1555545600000;RBRR11.SA;106.0;106.5;105.01;106.47;88.23;9756;fii;85.93;2.68;103.69;2.68;53.48;ESTAVEL
2019-04-22;1555891200000;RBRR11.SA;106.4;106.4;105.01;105.2;87.18;10133;fii;85.94;1.44;103.7;1.44;45.07;ESTAVEL
2019-04-23;1555977600000;RBRR11.SA;105.69;105.75;104.5;105.44;87.38;11818;fii;85.96;1.65;103.72;1.66;46.78;ESTAVEL
2019-04-24;1556064000000;RBRR11.SA;105.24;105.75;104.62;105.02;87.03;10494;fii;85.97;1.23;103.74;1.24;44.18;ESTAVEL
2019-04-25;1556150400000;RBRR11.SA;105.5;106.9;105.02;105.98;87.83;20155;fii;85.99;2.14;103.76;2.14;50.9;ESTAVEL
2019-04-26;1556236800000;RBRR11.SA;106.01;107.2;105.51;107.2;88.84;10396;fii;86.02;3.28;103.8;3.28;57.81;ESTAVEL
2019-04-29;1556496000000;RBRR11.SA;107.2;107.85;106.53;107.7;89.25;8031;fii;86.06;3.71;103.84;3.72;60.26;ESTAVEL
2019-04-30;1556582400000;RBRR11.SA;107.63;107.98;107.1;107.96;89.47;9740;fii;86.09;3.92;103.89;3.92;61.54;ESTAVEL
2019-05-02;1556755200000;RBRR11.SA;108.0;109.0;107.98;108.97;90.31;9943;fii;86.14;4.84;103.94;4.84;66.07;ESTAVEL
2019-05-03;1556841600000;RBRR11.SA;108.7;109.89;108.23;109.89;91.07;8832;fii;86.19;5.66;104.01;5.66;69.55;ESTAVEL
2019-05-06;1557100800000;RBRR11.SA;109.89;109.9;108.0;109.74;90.94;13184;fii;86.25;5.44;104.07;5.45;68.26;ESTAVEL
2019-05-07;1557187200000;RBRR11.SA;109.0;109.7;108.59;109.14;90.45;7212;fii;86.29;4.82;104.12;4.82;63.47;ESTAVEL
2019-05-08;1557273600000;RBRR11.SA;109.1;109.1;107.5;108.8;90.17;7137;fii;86.33;4.44;104.17;4.44;60.85;ESTAVEL
2019-05-09;1557360000000;RBRR11.SA;108.87;108.87;107.2;107.99;89.49;9704;fii;86.37;3.62;104.22;3.62;54.91;ESTAVEL
2019-05-10;1557446400000;RBRR11.SA;107.99;108.2;106.8;108.0;89.5;5017;fii;86.4;3.59;104.26;3.59;54.98;ESTAVEL
2019-05-13;1557705600000;RBRR11.SA;107.77;107.77;104.61;105.86;87.73;10253;fii;86.42;1.52;104.27;1.52;42.47;ESTAVEL
2019-05-14;1557792000000;RBRR11.SA;105.86;108.25;105.86;107.5;89.09;9557;fii;86.44;3.06;104.31;3.06;51.58;ESTAVEL
