s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2001-05-10;989452800000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.57;-0.29;162.57;-0.29;0.0;SUBIR
2001-05-11;989539200000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.56;-0.28;162.56;-0.28;0.0;SUBIR
2001-05-14;989798400000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.56;-0.28;162.56;-0.28;0.0;SUBIR
2001-05-15;989884800000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.55;-0.28;162.55;-0.28;0.0;SUBIR
2001-05-16;989971200000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.55;-0.27;162.55;-0.27;0.0;SUBIR
2001-05-17;990057600000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.54;-0.27;162.54;-0.27;0.0;SUBIR
2001-05-18;990144000000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.54;-0.27;162.54;-0.27;0.0;SUBIR
2001-05-21;990403200000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.53;-0.27;162.53;-0.27;0.0;SUBIR
2001-05-22;990489600000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.53;-0.26;162.53;-0.26;0.0;SUBIR
2001-05-23;990576000000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.52;-0.26;162.52;-0.26;0.0;SUBIR
2001-05-24;990662400000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.52;-0.26;162.52;-0.26;0.0;SUBIR
2001-05-25;990748800000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.51;-0.25;162.51;-0.25;0.0;SUBIR
2001-05-28;991008000000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.51;-0.25;162.51;-0.25;0.0;SUBIR
2001-05-29;991094400000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.5;-0.25;162.5;-0.25;0.0;SUBIR
2001-05-30;991180800000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.5;-0.24;162.5;-0.24;0.0;SUBIR
2001-05-31;991267200000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.49;-0.24;162.49;-0.24;0.0;SUBIR
2001-06-01;991353600000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.49;-0.24;162.49;-0.24;0.0;SUBIR
2001-06-04;991612800000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.48;-0.24;162.48;-0.24;0.0;SUBIR
2001-06-05;991699200000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.48;-0.23;162.48;-0.23;0.0;SUBIR
2001-06-06;991785600000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.48;-0.23;162.48;-0.23;0.0;SUBIR
2001-06-07;991872000000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.47;-0.23;162.47;-0.23;0.0;SUBIR
2001-06-08;991958400000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.47;-0.23;162.47;-0.23;0.0;SUBIR
2001-06-11;992217600000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.46;-0.22;162.46;-0.22;0.0;SUBIR
2001-06-12;992304000000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.46;-0.22;162.46;-0.22;0.0;SUBIR
2001-06-13;992390400000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.46;-0.22;162.46;-0.22;0.0;SUBIR
2001-06-14;992476800000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.45;-0.22;162.45;-0.22;0.0;SUBIR
2001-06-15;992563200000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.45;-0.21;162.45;-0.21;0.0;SUBIR
2001-06-18;992822400000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.44;-0.21;162.44;-0.21;0.0;SUBIR
2001-06-19;992908800000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.44;-0.21;162.44;-0.21;0.0;SUBIR
2001-06-20;992995200000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.44;-0.21;162.44;-0.21;0.0;SUBIR
2001-06-21;993081600000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.43;-0.2;162.43;-0.2;0.0;SUBIR
2001-06-22;993168000000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.43;-0.2;162.43;-0.2;0.0;SUBIR
2001-06-25;993427200000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.43;-0.2;162.43;-0.2;0.0;SUBIR
2001-06-26;993513600000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.42;-0.2;162.42;-0.2;0.0;SUBIR
2001-06-27;993600000000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.42;-0.2;162.42;-0.2;0.0;SUBIR
2001-06-28;993686400000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.41;-0.19;162.41;-0.19;0.0;SUBIR
2001-06-29;993772800000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.41;-0.19;162.41;-0.19;0.0;SUBIR
2001-07-02;994032000000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.41;-0.19;162.41;-0.19;0.0;SUBIR
2001-07-03;994118400000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.4;-0.19;162.4;-0.19;0.0;SUBIR
2001-07-04;994204800000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.4;-0.19;162.4;-0.19;0.0;SUBIR
2001-07-05;994291200000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.4;-0.18;162.4;-0.18;0.0;SUBIR
2001-07-06;994377600000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.39;-0.18;162.39;-0.18;0.0;SUBIR
2001-07-09;994636800000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.39;-0.18;162.39;-0.18;0.0;SUBIR
2001-07-10;994723200000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.39;-0.18;162.39;-0.18;0.0;SUBIR
2001-07-11;994809600000;RCSL3.SA;162.1;162.1;162.1;162.1;162.1;0;stock;162.38;-0.18;162.38;-0.18;0.0;SUBIR
