s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2022-03-30;1648598400000;RECR11.SA;100.2;101.0;100.14;101.0;83.41;45124;fii;83.06;0.42;100.59;0.41;63.0;ESTAVEL
2022-03-31;1648684800000;RECR11.SA;100.99;101.6;100.71;101.58;83.88;64055;fii;83.07;0.97;100.6;0.98;67.22;ESTAVEL
2022-04-01;1648771200000;RECR11.SA;101.59;102.29;101.59;102.05;84.27;47247;fii;83.09;1.42;100.61;1.43;70.25;ESTAVEL
2022-04-04;1649030400000;RECR11.SA;101.73;103.18;101.68;101.87;84.13;110697;fii;83.1;1.24;100.63;1.23;67.83;ESTAVEL
2022-04-05;1649116800000;RECR11.SA;101.8;102.44;101.8;102.05;84.28;49778;fii;83.11;1.41;100.64;1.4;69.06;ESTAVEL
2022-04-06;1649203200000;RECR11.SA;101.8;101.8;100.69;101.1;83.49;71318;fii;83.12;0.45;100.65;0.45;56.73;ESTAVEL
2022-04-07;1649289600000;RECR11.SA;101.06;101.79;100.74;101.71;83.99;52476;fii;83.13;1.04;100.66;1.04;61.43;ESTAVEL
2022-04-08;1649376000000;RECR11.SA;99.76;100.01;99.31;99.82;83.55;76919;fii;83.13;0.5;100.65;-0.83;55.7;ESTAVEL
2022-04-11;1649635200000;RECR11.SA;99.98;99.99;99.5;99.6;83.37;65668;fii;83.13;0.28;100.64;-1.03;53.5;ESTAVEL
2022-04-12;1649721600000;RECR11.SA;99.62;100.39;99.62;99.75;83.49;45820;fii;83.14;0.42;100.63;-0.87;54.78;ESTAVEL
2022-04-13;1649808000000;RECR11.SA;99.75;100.2;99.6;99.74;83.49;61809;fii;83.14;0.42;100.62;-0.87;54.78;ESTAVEL
2022-04-14;1649894400000;RECR11.SA;99.89;100.38;99.7;99.71;83.46;103738;fii;83.15;0.38;100.61;-0.89;54.35;ESTAVEL
2022-04-18;1650240000000;RECR11.SA;99.98;100.25;99.41;99.52;83.3;90312;fii;83.15;0.18;100.6;-1.07;51.98;ESTAVEL
2022-04-19;1650326400000;RECR11.SA;99.84;99.89;99.57;99.85;83.58;45575;fii;83.15;0.52;100.59;-0.73;55.62;ESTAVEL
2022-04-20;1650412800000;RECR11.SA;99.85;99.98;99.8;99.98;83.69;47367;fii;83.16;0.64;100.58;-0.6;57.0;ESTAVEL
2022-04-22;1650585600000;RECR11.SA;99.97;100.04;99.8;99.99;83.7;47885;fii;83.16;0.64;100.57;-0.58;57.13;ESTAVEL
2022-04-25;1650844800000;RECR11.SA;100.05;100.08;99.85;99.94;83.65;47924;fii;83.17;0.58;100.57;-0.62;56.22;ESTAVEL
2022-04-26;1650931200000;RECR11.SA;99.94;99.99;99.8;99.8;83.54;42618;fii;83.17;0.44;100.56;-0.75;54.15;ESTAVEL
2022-04-27;1651017600000;RECR11.SA;99.82;100.0;99.62;100.0;83.7;58446;fii;83.18;0.63;100.55;-0.55;56.64;ESTAVEL
2022-04-28;1651104000000;RECR11.SA;100.0;100.05;99.33;99.99;83.7;54857;fii;83.19;0.62;100.55;-0.55;56.64;ESTAVEL
2022-04-29;1651190400000;RECR11.SA;100.03;101.11;100.03;100.5;84.12;53326;fii;83.2;1.11;100.55;-0.05;62.8;ESTAVEL
2022-05-02;1651449600000;RECR11.SA;100.09;101.0;100.0;100.45;84.08;46749;fii;83.21;1.05;100.54;-0.09;61.9;ESTAVEL
2022-05-03;1651536000000;RECR11.SA;100.45;100.86;100.0;100.69;84.28;44832;fii;83.22;1.28;100.55;0.14;64.63;ESTAVEL
2022-05-04;1651622400000;RECR11.SA;100.5;100.5;99.6;99.98;83.69;66841;fii;83.22;0.56;100.54;-0.56;52.64;ESTAVEL
2022-05-05;1651708800000;RECR11.SA;99.98;100.45;99.61;100.38;84.02;94944;fii;83.23;0.95;100.54;-0.16;57.4;ESTAVEL
2022-05-06;1651795200000;RECR11.SA;100.35;100.35;99.75;100.02;83.72;77085;fii;83.24;0.58;100.53;-0.51;52.26;ESTAVEL
2022-05-09;1652054400000;RECR11.SA;98.61;98.98;98.52;98.52;83.72;83813;fii;83.24;0.57;100.51;-1.98;52.26;ESTAVEL
2022-05-10;1652140800000;RECR11.SA;98.64;98.8;98.18;98.4;83.62;54731;fii;83.25;0.45;100.49;-2.08;50.51;ESTAVEL
2022-05-11;1652227200000;RECR11.SA;98.58;98.85;98.21;98.4;83.62;61856;fii;83.25;0.44;100.46;-2.05;50.51;ESTAVEL
2022-05-12;1652313600000;RECR11.SA;98.2;98.47;97.6;97.63;82.97;77939;fii;83.25;-0.33;100.43;-2.79;40.33;ESTAVEL
2022-05-13;1652400000000;RECR11.SA;98.0;98.98;98.0;98.71;83.88;55485;fii;83.25;0.75;100.41;-1.7;54.23;ESTAVEL
