s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2020-02-14;1581638400000;RECT11.SA;102.91;103.7;102.81;103.0;87.05;45861;fii;88.33;-1.44;104.51;-1.45;40.01;ESTAVEL
2020-02-17;1581897600000;RECT11.SA;103.0;103.0;102.4;102.4;86.54;33585;fii;88.31;-2.0;104.49;-2.0;38.22;ESTAVEL
2020-02-18;1581984000000;RECT11.SA;102.6;102.96;102.36;102.87;86.94;34311;fii;88.29;-1.53;104.47;-1.53;40.47;ESTAVEL
2020-02-19;1582070400000;RECT11.SA;102.88;103.33;102.61;103.25;87.26;30755;fii;88.28;-1.15;104.45;-1.15;42.28;ESTAVEL
2020-02-20;1582156800000;RECT11.SA;103.32;104.0;103.0;103.29;87.29;13556;fii;88.27;-1.11;104.44;-1.1;42.46;ESTAVEL
2020-02-21;1582243200000;RECT11.SA;103.63;104.1;103.62;104.1;87.98;16435;fii;88.26;-0.32;104.44;-0.32;46.51;ESTAVEL
2020-02-26;1582675200000;RECT11.SA;104.1;104.29;103.52;103.65;87.6;22450;fii;88.26;-0.74;104.43;-0.74;44.65;ESTAVEL
2020-02-27;1582761600000;RECT11.SA;103.7;104.45;103.0;103.0;87.05;36169;fii;88.24;-1.35;104.41;-1.35;42.02;ESTAVEL
2020-02-28;1582848000000;RECT11.SA;103.0;103.9;102.75;103.8;87.72;18055;fii;88.24;-0.58;104.4;-0.58;46.17;ESTAVEL
2020-03-02;1583107200000;RECT11.SA;103.9;104.5;103.8;104.4;88.23;16690;fii;88.24;-0.01;104.4;-0.0;49.16;ESTAVEL
2020-03-03;1583193600000;RECT11.SA;104.42;104.93;104.33;104.4;88.23;24275;fii;88.24;-0.01;104.4;-0.0;49.16;ESTAVEL
2020-03-04;1583280000000;RECT11.SA;104.5;104.5;103.99;104.3;88.15;16818;fii;88.23;-0.1;104.4;-0.1;48.67;ESTAVEL
2020-03-05;1583366400000;RECT11.SA;104.4;104.86;104.2;104.2;88.06;9298;fii;88.23;-0.2;104.4;-0.19;48.09;ESTAVEL
2020-03-06;1583452800000;RECT11.SA;104.4;104.67;103.4;104.31;88.16;17690;fii;88.23;-0.08;104.4;-0.09;48.82;ESTAVEL
2020-03-09;1583712000000;RECT11.SA;103.7;103.7;99.01;101.57;85.84;29720;fii;88.2;-2.68;104.37;-2.68;36.09;ESTAVEL
2020-03-10;1583798400000;RECT11.SA;102.47;104.4;102.21;103.28;87.29;22895;fii;88.19;-1.03;104.36;-1.03;45.63;ESTAVEL
2020-03-11;1583884800000;RECT11.SA;103.55;103.8;101.0;101.77;86.01;22697;fii;88.17;-2.45;104.33;-2.45;39.96;ESTAVEL
2020-03-12;1583971200000;RECT11.SA;101.5;101.5;96.0;99.5;84.09;27216;fii;88.12;-4.58;104.27;-4.58;33.28;ESTAVEL
2020-03-13;1584057600000;RECT11.SA;99.51;101.9;99.51;100.4;84.85;19551;fii;88.09;-3.68;104.23;-3.67;37.72;ESTAVEL
2020-03-16;1584316800000;RECT11.SA;98.7;99.0;95.9;99.0;83.67;21750;fii;88.04;-4.96;104.17;-4.96;33.94;ESTAVEL
2020-03-17;1584403200000;RECT11.SA;99.0;99.5;96.21;96.45;81.51;15680;fii;87.96;-7.34;104.08;-7.33;28.35;SUBIR
2020-03-18;1584489600000;RECT11.SA;95.0;95.0;85.22;85.76;72.48;18507;fii;87.79;-17.44;103.88;-17.44;16.27;SUBIR
2020-03-19;1584576000000;RECT11.SA;85.76;85.76;69.04;84.5;71.41;20469;fii;87.61;-18.49;103.66;-18.49;15.43;SUBIR
2020-03-20;1584662400000;RECT11.SA;85.5;94.0;84.0;84.34;71.28;13234;fii;87.43;-18.47;103.45;-18.47;15.33;SUBIR
