s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2022-02-18;1645142400000;RECV3.SA;21.17;21.54;20.48;20.48;19.48;684600;stock;16.85;15.63;17.71;15.63;51.88;ESTAVEL
2022-02-21;1645401600000;RECV3.SA;21.0;21.65;20.93;21.14;20.11;1220600;stock;16.88;19.1;17.75;19.09;56.84;ESTAVEL
2022-02-22;1645488000000;RECV3.SA;21.37;21.8;20.3;20.35;19.36;972400;stock;16.91;14.47;17.78;14.45;50.21;ESTAVEL
2022-02-23;1645574400000;RECV3.SA;20.38;21.2;20.19;20.7;19.69;1986500;stock;16.94;16.2;17.81;16.2;52.82;ESTAVEL
2022-02-24;1645660800000;RECV3.SA;21.0;21.35;20.24;20.3;19.31;1905200;stock;16.97;13.78;17.84;13.77;49.59;ESTAVEL
2022-02-25;1645747200000;RECV3.SA;20.52;21.03;20.31;20.66;19.65;1279800;stock;17.0;15.57;17.88;15.58;52.39;ESTAVEL
2022-03-02;1646179200000;RECV3.SA;21.2;22.72;21.2;22.59;21.49;1279200;stock;17.05;26.02;17.93;26.0;64.03;ESTAVEL
2022-03-03;1646265600000;RECV3.SA;22.91;23.48;22.03;22.42;21.33;1209900;stock;17.1;24.72;17.98;24.69;62.6;ESTAVEL
2022-03-04;1646352000000;RECV3.SA;22.34;22.59;21.81;22.23;21.14;716600;stock;17.15;23.28;18.03;23.31;60.86;ESTAVEL
2022-03-07;1646611200000;RECV3.SA;22.92;23.11;21.27;21.6;20.55;848500;stock;17.19;19.57;18.07;19.54;55.68;ESTAVEL
2022-03-08;1646697600000;RECV3.SA;21.78;22.48;21.36;21.85;20.78;2111600;stock;17.23;20.62;18.11;20.64;57.21;ESTAVEL
2022-03-09;1646784000000;RECV3.SA;21.95;21.95;20.8;21.31;20.27;1651000;stock;17.26;17.43;18.15;17.42;52.85;ESTAVEL
2022-03-10;1646870400000;RECV3.SA;21.18;21.82;21.13;21.5;20.45;445000;stock;17.3;18.22;18.19;18.22;54.18;ESTAVEL
2022-03-11;1646956800000;RECV3.SA;21.63;21.75;20.57;20.65;19.64;799200;stock;17.32;13.37;18.21;13.38;47.68;ESTAVEL
2022-03-14;1647216000000;RECV3.SA;20.5;20.69;19.0;19.36;18.41;926700;stock;17.34;6.19;18.23;6.22;39.86;ESTAVEL
2022-03-15;1647302400000;RECV3.SA;18.74;20.06;18.74;20.06;19.08;1050900;stock;17.36;9.93;18.25;9.93;45.14;ESTAVEL
2022-03-16;1647388800000;RECV3.SA;20.25;20.5;19.54;19.8;18.83;611700;stock;17.37;8.39;18.26;8.41;43.6;ESTAVEL
2022-03-17;1647475200000;RECV3.SA;19.92;20.93;19.89;20.81;19.79;717400;stock;17.4;13.74;18.29;13.76;50.56;ESTAVEL
2022-03-18;1647561600000;RECV3.SA;21.02;22.05;20.63;22.05;20.97;749700;stock;17.44;20.24;18.34;20.26;57.51;ESTAVEL
2022-03-21;1647820800000;RECV3.SA;22.13;22.57;21.88;22.14;21.06;1025300;stock;17.48;20.48;18.38;20.47;57.99;ESTAVEL
2022-03-22;1647907200000;RECV3.SA;22.14;24.34;22.14;23.85;22.69;3165000;stock;17.54;29.37;18.44;29.34;65.64;ESTAVEL
