s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2021-10-11;1633910400000;RELG11.SA;86.0;86.98;85.8;86.0;85.15;637;fii;91.36;-6.8;92.28;-6.8;35.28;ESTAVEL
2021-10-13;1634083200000;RELG11.SA;86.99;86.99;85.9;86.85;85.99;5900;fii;91.3;-5.82;92.21;-5.82;45.04;ESTAVEL
2021-10-14;1634169600000;RELG11.SA;86.85;87.0;86.32;86.93;86.07;685;fii;91.24;-5.67;92.15;-5.67;45.88;ESTAVEL
2021-10-15;1634256000000;RELG11.SA;86.99;87.52;86.9;87.21;86.35;784;fii;91.18;-5.3;92.1;-5.31;48.82;ESTAVEL
2021-10-18;1634515200000;RELG11.SA;87.51;89.66;85.81;86.81;85.95;986;fii;91.13;-5.68;92.04;-5.68;45.05;ESTAVEL
2021-10-19;1634601600000;RELG11.SA;87.49;88.17;86.51;86.72;85.86;1492;fii;91.06;-5.72;91.97;-5.71;44.23;ESTAVEL
2021-10-20;1634688000000;RELG11.SA;86.72;87.08;86.1;86.76;85.9;952;fii;91.01;-5.61;91.92;-5.61;44.71;ESTAVEL
2021-10-21;1634774400000;RELG11.SA;87.3;87.62;85.02;86.49;85.63;1393;fii;90.94;-5.84;91.85;-5.84;42.05;ESTAVEL
2021-10-22;1634860800000;RELG11.SA;86.47;86.47;84.11;84.99;84.15;1673;fii;90.87;-7.39;91.78;-7.39;31.12;ESTAVEL
2021-10-25;1635120000000;RELG11.SA;85.16;85.16;83.67;84.0;83.17;1487;fii;90.78;-8.38;91.69;-8.38;26.26;SUBIR
2021-10-26;1635206400000;RELG11.SA;83.9;83.9;83.51;83.52;82.69;725;fii;90.69;-8.82;91.59;-8.82;24.26;SUBIR
2021-10-27;1635292800000;RELG11.SA;83.9;84.55;81.63;81.7;80.89;2473;fii;90.58;-10.7;91.48;-10.69;18.55;SUBIR
2021-10-28;1635379200000;RELG11.SA;82.03;82.27;80.02;80.99;80.19;9824;fii;90.46;-11.35;91.36;-11.35;16.88;SUBIR
2021-10-29;1635465600000;RELG11.SA;81.06;81.3;77.05;77.06;76.3;4875;fii;90.3;-15.5;91.2;-15.51;10.99;SUBIR
2021-11-01;1635724800000;RELG11.SA;80.22;81.24;79.0;79.86;79.07;1886;fii;90.17;-12.31;91.07;-12.31;29.79;SUBIR
2021-11-03;1635897600000;RELG11.SA;80.41;80.41;79.57;79.66;78.87;2195;fii;90.05;-12.41;90.95;-12.41;29.31;SUBIR
2021-11-04;1635984000000;RELG11.SA;81.18;83.07;78.88;79.0;78.22;1963;fii;89.91;-13.0;90.81;-13.01;27.74;SUBIR
2021-11-05;1636070400000;RELG11.SA;79.9;79.9;78.98;79.68;78.89;2373;fii;89.79;-12.14;90.69;-12.14;31.8;ESTAVEL
2021-11-08;1636329600000;RELG11.SA;79.9;79.9;77.24;78.3;77.53;7635;fii;89.65;-13.52;90.55;-13.53;28.32;SUBIR
2021-11-09;1636416000000;RELG11.SA;77.51;77.94;75.99;76.01;75.26;3254;fii;89.49;-15.9;90.38;-15.9;23.67;SUBIR
2021-11-10;1636502400000;RELG11.SA;76.01;76.55;75.9;76.05;75.3;2576;fii;89.33;-15.71;90.22;-15.71;23.91;SUBIR
2021-11-11;1636588800000;RELG11.SA;76.05;76.1;74.37;75.41;74.66;7640;fii;89.17;-16.27;90.06;-16.27;22.7;SUBIR
2021-11-12;1636675200000;RELG11.SA;75.43;76.21;75.41;75.6;74.85;1861;fii;89.01;-15.91;89.9;-15.9;23.93;SUBIR
2021-11-16;1637020800000;RELG11.SA;75.6;75.99;75.0;75.48;74.73;1614;fii;88.85;-15.89;89.74;-15.89;23.67;SUBIR
2021-11-17;1637107200000;RELG11.SA;75.49;75.49;74.9;75.13;74.39;1673;fii;88.69;-16.12;89.57;-16.13;22.92;SUBIR
2021-11-18;1637193600000;RELG11.SA;75.13;75.56;73.43;73.5;72.77;4732;fii;88.51;-17.78;89.4;-17.78;19.71;SUBIR
2021-11-19;1637280000000;RELG11.SA;74.1;74.1;71.29;72.75;72.03;5739;fii;88.33;-18.45;89.21;-18.45;18.44;SUBIR
2021-11-22;1637539200000;RELG11.SA;72.75;74.05;72.5;72.77;72.05;1282;fii;88.15;-18.26;89.03;-18.26;18.59;SUBIR
2021-11-23;1637625600000;RELG11.SA;72.77;75.0;72.53;73.2;72.48;2390;fii;87.97;-17.61;88.85;-17.62;21.98;SUBIR
2021-11-24;1637712000000;RELG11.SA;73.21;74.65;73.2;73.32;72.59;918;fii;87.8;-17.33;88.68;-17.32;22.86;SUBIR
2021-11-25;1637798400000;RELG11.SA;73.32;74.46;73.25;74.01;73.28;721;fii;87.64;-16.39;88.52;-16.39;28.34;SUBIR
2021-11-26;1637884800000;RELG11.SA;74.1;74.1;72.6;73.01;72.29;1093;fii;87.47;-17.36;88.35;-17.36;25.54;SUBIR
2021-11-29;1638144000000;RELG11.SA;71.5;71.5;69.0;69.54;68.85;7792;fii;87.27;-21.1;88.14;-21.1;18.64;SUBIR
2021-11-30;1638230400000;RELG11.SA;69.54;70.36;69.5;70.0;69.31;2301;fii;87.07;-20.4;87.94;-20.4;21.68;SUBIR
2021-12-01;1638316800000;RELG11.SA;71.5;71.5;69.73;70.0;69.31;1819;fii;86.87;-20.22;87.74;-20.22;21.68;SUBIR
2021-12-02;1638403200000;RELG11.SA;74.32;74.32;70.61;72.85;72.13;5069;fii;86.71;-16.82;87.58;-16.82;38.15;ESTAVEL
2021-12-03;1638489600000;RELG11.SA;72.95;72.96;71.7;71.75;71.04;2568;fii;86.54;-17.91;87.4;-17.91;35.08;ESTAVEL
2021-12-06;1638748800000;RELG11.SA;72.29;72.8;72.14;72.31;71.59;2156;fii;86.38;-17.12;87.24;-17.11;37.8;ESTAVEL
