s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2022-12-22;1671667200000;RURA11.SA;10.25;10.35;10.21;10.34;9.61;87990;fii;9.58;0.32;10.31;0.3;55.78;ESTAVEL
2022-12-23;1671753600000;RURA11.SA;10.34;10.4;10.22;10.4;9.66;53247;fii;9.58;0.83;10.31;0.88;58.0;ESTAVEL
2022-12-26;1672012800000;RURA11.SA;10.4;10.48;10.3;10.3;9.57;36555;fii;9.58;-0.11;10.31;-0.09;52.86;ESTAVEL
2022-12-27;1672099200000;RURA11.SA;10.4;10.4;10.21;10.25;9.53;48095;fii;9.58;-0.52;10.31;-0.57;50.71;ESTAVEL
2022-12-28;1672185600000;RURA11.SA;10.25;10.3;10.25;10.28;9.55;40571;fii;9.58;-0.31;10.31;-0.28;51.76;ESTAVEL
2022-12-29;1672272000000;RURA11.SA;10.28;10.36;10.23;10.36;9.63;50692;fii;9.58;0.52;10.31;0.49;55.84;ESTAVEL
2023-01-02;1672617600000;RURA11.SA;10.34;10.34;10.09;10.15;9.43;76379;fii;9.58;-1.55;10.31;-1.53;45.49;ESTAVEL
2023-01-03;1672704000000;RURA11.SA;10.16;10.23;10.11;10.11;9.39;56162;fii;9.58;-1.95;10.31;-1.89;43.74;ESTAVEL
2023-01-04;1672790400000;RURA11.SA;10.14;10.35;10.1;10.3;9.57;68433;fii;9.58;-0.07;10.31;-0.05;52.57;ESTAVEL
2023-01-05;1672876800000;RURA11.SA;10.32;10.32;10.23;10.23;9.51;18838;fii;9.58;-0.68;10.3;-0.72;49.77;ESTAVEL
2023-01-06;1672963200000;RURA11.SA;10.24;10.3;10.24;10.3;9.57;39429;fii;9.58;-0.06;10.3;-0.04;52.49;ESTAVEL
2023-01-09;1673222400000;RURA11.SA;10.33;10.34;10.15;10.16;9.44;72835;fii;9.57;-1.4;10.3;-1.38;46.59;ESTAVEL
2023-01-10;1673308800000;RURA11.SA;10.26;10.32;10.15;10.31;9.58;74048;fii;9.57;0.06;10.3;0.07;52.75;ESTAVEL
2023-01-11;1673395200000;RURA11.SA;10.31;10.33;10.25;10.31;9.58;30724;fii;9.57;0.06;10.3;0.07;52.75;ESTAVEL
2023-01-12;1673481600000;RURA11.SA;10.31;10.34;10.21;10.25;9.53;72056;fii;9.57;-0.45;10.3;-0.51;50.35;ESTAVEL
2023-01-13;1673568000000;RURA11.SA;10.27;10.33;10.25;10.3;9.57;48173;fii;9.57;-0.04;10.3;-0.02;52.22;ESTAVEL
2023-01-16;1673827200000;RURA11.SA;10.3;10.35;10.28;10.32;9.59;70378;fii;9.57;0.17;10.3;0.17;53.18;ESTAVEL
2023-01-17;1673913600000;RURA11.SA;10.32;10.35;10.23;10.31;9.58;55291;fii;9.57;0.07;10.3;0.07;52.61;ESTAVEL
2023-01-18;1674000000000;RURA11.SA;10.3;10.35;10.25;10.33;9.6;96457;fii;9.57;0.27;10.3;0.26;53.67;ESTAVEL
2023-01-19;1674086400000;RURA11.SA;10.35;10.49;10.33;10.37;9.64;83123;fii;9.57;0.68;10.3;0.65;55.8;ESTAVEL
2023-01-20;1674172800000;RURA11.SA;10.49;10.5;10.38;10.39;9.66;30798;fii;9.58;0.88;10.3;0.83;56.87;ESTAVEL
2023-01-23;1674432000000;RURA11.SA;10.39;10.59;10.35;10.57;9.82;49810;fii;9.58;2.52;10.31;2.55;64.3;ESTAVEL
2023-01-24;1674518400000;RURA11.SA;10.58;10.63;10.34;10.39;9.66;68697;fii;9.58;0.84;10.31;0.79;54.24;ESTAVEL
2023-01-25;1674604800000;RURA11.SA;10.49;10.52;10.35;10.44;9.7;78181;fii;9.58;1.24;10.31;1.26;56.09;ESTAVEL
2023-01-26;1674691200000;RURA11.SA;10.5;10.58;10.39;10.5;9.76;48125;fii;9.58;1.85;10.31;1.82;58.78;ESTAVEL
2023-01-27;1674777600000;RURA11.SA;10.5;10.5;10.2;10.34;9.61;194147;fii;9.58;0.28;10.31;0.27;50.45;ESTAVEL
2023-01-30;1675036800000;RURA11.SA;10.34;10.49;10.3;10.41;9.67;63688;fii;9.58;0.9;10.31;0.94;53.3;ESTAVEL
2023-01-31;1675123200000;RURA11.SA;10.42;10.65;10.39;10.43;9.69;171317;fii;9.59;1.09;10.31;1.12;54.25;ESTAVEL
2023-02-01;1675209600000;RURA11.SA;10.33;10.45;10.12;10.4;9.66;182093;fii;9.59;0.77;10.32;0.82;52.53;ESTAVEL
2023-02-02;1675296000000;RURA11.SA;10.4;10.6;10.37;10.38;9.65;112372;fii;9.59;0.66;10.32;0.62;51.94;ESTAVEL
2023-02-03;1675382400000;RURA11.SA;10.49;10.6;10.41;10.58;9.83;97774;fii;9.59;2.51;10.32;2.53;60.53;ESTAVEL
2023-02-06;1675641600000;RURA11.SA;10.59;10.59;10.42;10.54;9.79;94747;fii;9.59;2.07;10.32;2.12;58.05;ESTAVEL
2023-02-07;1675728000000;RURA11.SA;10.57;10.59;10.42;10.49;9.75;90445;fii;9.59;1.63;10.32;1.61;55.59;ESTAVEL
2023-02-08;1675814400000;RURA11.SA;10.5;10.56;10.31;10.34;9.61;151219;fii;9.59;0.17;10.32;0.16;47.94;ESTAVEL
