s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2020-02-04;1580774400000;SBFG3.SA;42.84;44.49;42.8;44.0;43.01;2134900;stock;26.64;61.44;27.25;61.45;69.7;ESTAVEL
2020-02-05;1580860800000;SBFG3.SA;43.5;43.94;42.52;43.34;42.37;2731900;stock;26.82;57.97;27.44;57.95;66.2;ESTAVEL
2020-02-06;1580947200000;SBFG3.SA;45.21;49.71;45.21;49.71;48.59;6803000;stock;27.07;79.49;27.69;79.5;77.84;CAIR
2020-02-07;1581033600000;SBFG3.SA;51.01;54.09;46.7;46.73;45.68;8429100;stock;27.28;67.42;27.91;67.42;66.33;ESTAVEL
2020-02-10;1581292800000;SBFG3.SA;46.72;49.19;46.51;47.99;46.91;2911200;stock;27.51;70.53;28.14;70.53;68.45;ESTAVEL
2020-02-11;1581379200000;SBFG3.SA;49.0;49.75;48.08;48.23;47.15;2189100;stock;27.73;70.01;28.37;70.0;68.87;ESTAVEL
2020-02-12;1581465600000;SBFG3.SA;48.73;49.14;47.05;47.99;46.91;1198300;stock;27.95;67.82;28.59;67.83;67.91;ESTAVEL
2020-02-13;1581552000000;SBFG3.SA;47.04;48.82;45.88;47.0;45.94;1557300;stock;28.16;63.16;28.8;63.17;64.04;ESTAVEL
2020-02-14;1581638400000;SBFG3.SA;47.68;47.81;46.26;47.4;46.33;954600;stock;28.36;63.34;29.02;63.36;64.9;ESTAVEL
2020-02-17;1581897600000;SBFG3.SA;47.46;49.0;46.97;49.0;47.9;907700;stock;28.59;67.57;29.24;67.56;68.22;ESTAVEL
2020-02-18;1581984000000;SBFG3.SA;48.7;49.6;48.1;49.01;47.91;1138300;stock;28.8;66.33;29.47;66.32;68.24;ESTAVEL
2020-02-19;1582070400000;SBFG3.SA;49.45;50.94;49.14;50.93;49.78;2000400;stock;29.04;71.41;29.71;71.42;71.91;CAIR
2020-02-20;1582156800000;SBFG3.SA;51.18;51.69;50.21;50.21;49.08;1003500;stock;29.27;67.69;29.94;67.69;68.71;ESTAVEL
2020-02-21;1582243200000;SBFG3.SA;49.66;51.32;48.56;50.51;49.37;811000;stock;29.5;67.38;30.17;67.4;69.32;ESTAVEL
2020-02-26;1582675200000;SBFG3.SA;47.15;48.45;46.01;47.9;46.82;987000;stock;29.69;57.69;30.37;57.7;58.54;ESTAVEL
2020-02-27;1582761600000;SBFG3.SA;47.0;47.57;44.5;44.7;43.7;1773000;stock;29.85;46.41;30.54;46.39;48.58;ESTAVEL
2020-02-28;1582848000000;SBFG3.SA;43.51;44.48;40.56;43.59;42.61;3154200;stock;29.99;42.07;30.68;42.07;45.65;ESTAVEL
2020-03-02;1583107200000;SBFG3.SA;44.1;47.45;44.1;47.0;45.94;1962800;stock;30.17;52.26;30.87;52.27;54.63;ESTAVEL
2020-03-03;1583193600000;SBFG3.SA;47.88;49.75;46.3;48.39;47.3;2101900;stock;30.36;55.78;31.06;55.78;57.71;ESTAVEL
2020-03-04;1583280000000;SBFG3.SA;49.84;50.44;47.31;48.15;47.07;1380400;stock;30.55;54.07;31.25;54.06;57.0;ESTAVEL
2020-03-05;1583366400000;SBFG3.SA;47.99;47.99;43.2;44.59;43.59;1378200;stock;30.7;42.0;31.4;41.99;47.56;ESTAVEL
2020-03-06;1583452800000;SBFG3.SA;41.0;43.95;39.8;43.28;42.31;1754400;stock;30.83;37.25;31.54;37.24;44.63;ESTAVEL
2020-03-09;1583712000000;SBFG3.SA;38.0;39.71;35.16;35.16;34.37;2155800;stock;30.87;11.35;31.58;11.35;31.62;ESTAVEL
2020-03-10;1583798400000;SBFG3.SA;39.29;40.48;36.59;40.0;39.1;1991900;stock;30.96;26.3;31.67;26.3;42.39;ESTAVEL
2020-03-11;1583884800000;SBFG3.SA;37.81;39.1;32.61;35.32;34.53;2211100;stock;31.0;11.4;31.71;11.38;36.42;ESTAVEL
2020-03-12;1583971200000;SBFG3.SA;28.89;32.89;23.5;31.27;30.57;1655000;stock;30.99;-1.36;31.71;-1.37;32.19;ESTAVEL
2020-03-13;1584057600000;SBFG3.SA;36.0;36.93;30.5;33.56;32.81;2426800;stock;31.01;5.8;31.73;5.78;36.67;ESTAVEL
2020-03-16;1584316800000;SBFG3.SA;27.8;31.8;27.46;27.46;26.84;1420100;stock;30.97;-13.33;31.68;-13.32;30.83;ESTAVEL
2020-03-17;1584403200000;SBFG3.SA;28.19;28.43;24.31;27.0;26.39;4197400;stock;30.92;-14.64;31.63;-14.63;30.43;ESTAVEL
2020-03-18;1584489600000;SBFG3.SA;25.0;25.0;15.7;18.0;17.6;5032100;stock;30.77;-42.8;31.48;-42.81;23.99;SUBIR
2020-03-19;1584576000000;SBFG3.SA;15.97;22.2;14.73;20.44;19.98;3933800;stock;30.65;-34.81;31.35;-34.81;28.41;SUBIR
2020-03-20;1584662400000;SBFG3.SA;23.0;26.99;21.05;22.35;21.85;4389300;stock;30.55;-28.48;31.25;-28.49;31.77;ESTAVEL
2020-03-23;1584921600000;SBFG3.SA;22.0;23.86;20.0;21.67;21.18;2404900;stock;30.45;-30.44;31.15;-30.43;31.2;ESTAVEL
2020-03-24;1585008000000;SBFG3.SA;23.71;24.8;21.7;23.81;23.27;2869200;stock;30.37;-23.38;31.07;-23.36;35.08;ESTAVEL
2020-03-25;1585094400000;SBFG3.SA;23.86;27.5;23.3;26.42;25.83;2938400;stock;30.32;-14.81;31.02;-14.82;39.57;ESTAVEL
2020-03-26;1585180800000;SBFG3.SA;26.0;30.05;25.54;29.38;28.72;1725800;stock;30.3;-5.22;31.0;-5.22;44.26;ESTAVEL
2020-03-27;1585267200000;SBFG3.SA;28.2;28.86;26.3;26.32;25.73;2024100;stock;30.25;-14.95;30.95;-14.95;40.74;ESTAVEL
2020-03-30;1585526400000;SBFG3.SA;26.52;27.87;25.71;26.16;25.57;1330700;stock;30.2;-15.33;30.89;-15.33;40.55;ESTAVEL
2020-03-31;1585612800000;SBFG3.SA;26.37;26.46;23.33;24.06;23.52;1663000;stock;30.13;-21.93;30.82;-21.93;38.15;ESTAVEL
2020-04-01;1585699200000;SBFG3.SA;22.4;22.62;21.0;21.0;20.53;2313200;stock;30.02;-31.62;30.71;-31.62;34.9;ESTAVEL
2020-04-02;1585785600000;SBFG3.SA;21.35;21.95;20.05;21.05;20.58;2890000;stock;29.92;-31.21;30.61;-31.22;35.0;ESTAVEL
2020-04-03;1585872000000;SBFG3.SA;21.22;21.22;19.0;19.5;19.06;2202300;stock;29.8;-36.04;30.49;-36.03;33.33;ESTAVEL
2020-04-06;1586131200000;SBFG3.SA;21.59;24.47;20.86;23.01;22.49;4954700;stock;29.72;-24.33;30.4;-24.32;40.26;ESTAVEL
2020-04-07;1586217600000;SBFG3.SA;25.5;26.39;25.0;25.2;24.63;4003700;stock;29.66;-16.97;30.35;-16.96;44.16;ESTAVEL
2020-04-08;1586304000000;SBFG3.SA;25.2;26.21;24.71;25.62;25.04;2362000;stock;29.61;-15.45;30.3;-15.43;44.9;ESTAVEL
2020-04-09;1586390400000;SBFG3.SA;26.24;26.75;25.25;25.62;25.04;1841100;stock;29.56;-15.3;30.24;-15.29;44.9;ESTAVEL
