s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2021-08-03;1627948800000;SEQL3.SA;22.31;23.38;21.61;22.22;22.22;923700;stock;24.66;-9.91;24.66;-9.91;32.1;ESTAVEL
2021-08-04;1628035200000;SEQL3.SA;22.68;22.68;21.53;21.99;21.99;916400;stock;24.63;-10.73;24.63;-10.73;30.83;ESTAVEL
2021-08-05;1628121600000;SEQL3.SA;22.21;22.26;21.39;21.5;21.5;520600;stock;24.6;-12.59;24.6;-12.59;28.25;SUBIR
2021-08-06;1628208000000;SEQL3.SA;21.64;22.08;21.18;22.05;22.05;1382200;stock;24.57;-10.25;24.57;-10.25;34.83;ESTAVEL
2021-08-09;1628467200000;SEQL3.SA;22.05;22.13;21.27;21.8;21.8;1011200;stock;24.54;-11.15;24.54;-11.15;33.33;ESTAVEL
2021-08-10;1628553600000;SEQL3.SA;22.04;22.43;21.36;21.88;21.88;2118200;stock;24.51;-10.71;24.51;-10.71;34.31;ESTAVEL
2021-08-11;1628640000000;SEQL3.SA;21.7;21.8;21.32;21.7;21.7;545000;stock;24.47;-11.33;24.47;-11.33;33.14;ESTAVEL
2021-08-12;1628726400000;SEQL3.SA;21.57;21.71;20.38;21.35;21.35;1113000;stock;24.44;-12.63;24.44;-12.63;30.92;ESTAVEL
2021-08-13;1628812800000;SEQL3.SA;21.47;21.47;19.92;20.05;20.05;1571100;stock;24.39;-17.79;24.39;-17.79;24.41;SUBIR
2021-08-16;1629072000000;SEQL3.SA;19.9;19.91;18.02;18.31;18.31;2990100;stock;24.32;-24.71;24.32;-24.71;18.72;SUBIR
2021-08-17;1629158400000;SEQL3.SA;18.44;19.35;17.5;19.19;19.19;2490100;stock;24.26;-20.9;24.26;-20.9;27.87;SUBIR
2021-08-18;1629244800000;SEQL3.SA;19.19;20.52;18.35;19.32;19.32;2547800;stock;24.2;-20.18;24.2;-20.18;29.14;SUBIR
2021-08-19;1629331200000;SEQL3.SA;19.16;20.27;18.67;20.27;20.27;1162400;stock;24.16;-16.1;24.16;-16.1;37.76;ESTAVEL
2021-08-20;1629417600000;SEQL3.SA;20.08;20.18;19.64;19.86;19.86;913000;stock;24.11;-17.63;24.11;-17.63;35.74;ESTAVEL
2021-08-23;1629676800000;SEQL3.SA;19.87;20.5;19.65;20.25;20.25;1071300;stock;24.07;-15.86;24.07;-15.86;39.08;ESTAVEL
2021-08-24;1629763200000;SEQL3.SA;20.45;20.6;19.85;20.15;20.15;3193400;stock;24.02;-16.13;24.02;-16.13;38.53;ESTAVEL
2021-08-25;1629849600000;SEQL3.SA;20.49;21.29;20.44;21.0;21.0;2394500;stock;23.99;-12.46;23.99;-12.46;45.58;ESTAVEL
2021-08-26;1629936000000;SEQL3.SA;20.93;21.75;20.7;21.49;21.49;1711400;stock;23.96;-10.32;23.96;-10.32;49.19;ESTAVEL
