s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2015-05-26;1432598400000;SHPH11.SA;635.0;635.0;635.0;635.0;573.3;0;fii;527.38;8.71;584.15;8.71;61.97;ESTAVEL
2015-05-27;1432684800000;SHPH11.SA;635.0;635.0;635.0;635.0;573.3;0;fii;527.91;8.6;584.73;8.6;61.97;ESTAVEL
2015-05-28;1432771200000;SHPH11.SA;590.01;590.03;590.01;590.03;532.7;16;fii;527.97;0.9;584.79;0.9;44.05;ESTAVEL
2015-05-29;1432857600000;SHPH11.SA;590.03;590.03;590.03;590.03;532.7;0;fii;528.02;0.89;584.85;0.89;44.05;ESTAVEL
2015-06-01;1433116800000;SHPH11.SA;595.0;619.0;595.0;619.0;558.85;118;fii;528.37;5.77;585.24;5.77;53.99;ESTAVEL
2015-06-02;1433203200000;SHPH11.SA;619.0;619.0;619.0;619.0;558.85;0;fii;528.72;5.7;585.63;5.7;53.99;ESTAVEL
2015-06-03;1433289600000;SHPH11.SA;619.0;619.0;619.0;619.0;558.85;0;fii;529.06;5.63;586.01;5.63;53.99;ESTAVEL
2015-06-05;1433462400000;SHPH11.SA;602.0;615.0;602.0;615.0;555.24;4;fii;529.36;4.89;586.34;4.89;52.38;ESTAVEL
2015-06-08;1433721600000;SHPH11.SA;605.0;605.0;605.0;605.0;546.21;16;fii;529.55;3.15;586.55;3.15;48.5;ESTAVEL
2015-06-09;1433808000000;SHPH11.SA;605.0;605.0;605.0;605.0;546.21;0;fii;529.74;3.11;586.76;3.11;48.5;ESTAVEL
2015-06-10;1433894400000;SHPH11.SA;609.0;609.0;609.0;609.0;549.82;1;fii;529.97;3.75;587.01;3.75;50.21;ESTAVEL
2015-06-11;1433980800000;SHPH11.SA;605.0;605.0;605.0;605.0;546.21;1;fii;530.15;3.03;587.22;3.03;48.47;ESTAVEL
2015-06-12;1434067200000;SHPH11.SA;609.0;609.0;609.0;609.0;549.82;5;fii;530.38;3.67;587.46;3.67;50.32;ESTAVEL
2015-06-15;1434326400000;SHPH11.SA;611.0;611.0;595.0;595.0;537.18;163;fii;530.45;1.27;587.55;1.27;44.33;ESTAVEL
2015-06-16;1434412800000;SHPH11.SA;600.0;609.0;595.0;609.0;549.82;184;fii;530.67;3.61;587.79;3.61;50.66;ESTAVEL
2015-06-17;1434499200000;SHPH11.SA;610.0;610.0;610.0;610.0;550.72;141;fii;530.9;3.73;588.04;3.73;51.08;ESTAVEL
2015-06-18;1434585600000;SHPH11.SA;610.0;610.0;610.0;610.0;550.72;0;fii;531.12;3.69;588.29;3.69;51.08;ESTAVEL
2015-06-19;1434672000000;SHPH11.SA;609.0;610.0;608.0;610.0;550.72;209;fii;531.34;3.65;588.53;3.65;51.08;ESTAVEL
2015-06-22;1434931200000;SHPH11.SA;610.0;610.0;610.0;610.0;550.72;0;fii;531.56;3.6;588.77;3.61;51.08;ESTAVEL
2015-06-23;1435017600000;SHPH11.SA;595.0;610.0;593.0;593.0;535.38;250;fii;531.6;0.71;588.82;0.71;42.64;ESTAVEL
2015-06-24;1435104000000;SHPH11.SA;593.0;593.0;593.0;593.0;535.38;0;fii;531.64;0.7;588.86;0.7;42.64;ESTAVEL
2015-06-25;1435190400000;SHPH11.SA;593.0;593.0;593.0;593.0;535.38;312;fii;531.69;0.69;588.91;0.69;42.64;ESTAVEL
2015-06-26;1435276800000;SHPH11.SA;593.0;593.0;593.0;593.0;535.38;0;fii;531.73;0.69;588.96;0.69;42.64;ESTAVEL
2015-06-29;1435536000000;SHPH11.SA;609.0;609.0;609.0;609.0;549.82;117;fii;531.93;3.36;589.18;3.36;52.57;ESTAVEL
2015-06-30;1435622400000;SHPH11.SA;609.0;609.0;609.0;609.0;549.82;0;fii;532.13;3.32;589.4;3.33;52.57;ESTAVEL
2015-07-01;1435708800000;SHPH11.SA;600.0;605.0;592.0;592.0;534.47;152;fii;532.15;0.44;589.43;0.44;43.32;ESTAVEL
2015-07-02;1435795200000;SHPH11.SA;595.0;595.0;595.0;595.0;537.18;25;fii;532.21;0.93;589.49;0.93;45.16;ESTAVEL
2015-07-03;1435881600000;SHPH11.SA;592.0;605.0;592.0;605.0;546.21;52;fii;532.36;2.6;589.66;2.6;50.86;ESTAVEL
2015-07-06;1436140800000;SHPH11.SA;600.0;600.0;600.0;600.0;541.7;14;fii;532.47;1.73;589.78;1.73;48.17;ESTAVEL
2015-07-07;1436227200000;SHPH11.SA;600.0;609.0;600.0;609.0;549.82;117;fii;532.66;3.22;589.99;3.22;53.0;ESTAVEL
2015-07-08;1436313600000;SHPH11.SA;609.0;609.0;609.0;609.0;549.82;0;fii;532.85;3.18;590.2;3.19;53.0;ESTAVEL
2015-07-10;1436486400000;SHPH11.SA;601.0;611.0;601.0;611.0;551.63;12;fii;533.06;3.48;590.43;3.48;54.1;ESTAVEL
2015-07-13;1436745600000;SHPH11.SA;605.0;605.0;601.0;601.0;542.6;21;fii;533.16;1.77;590.55;1.77;48.03;ESTAVEL
2015-07-14;1436832000000;SHPH11.SA;601.0;611.0;600.0;611.0;551.63;113;fii;533.37;3.42;590.77;3.42;53.63;ESTAVEL
2015-07-15;1436918400000;SHPH11.SA;601.0;601.0;600.0;600.0;541.7;16;fii;533.46;1.55;590.87;1.54;47.56;ESTAVEL
2015-07-16;1437004800000;SHPH11.SA;600.01;605.0;600.0;600.02;541.71;75;fii;533.55;1.53;590.98;1.53;47.57;ESTAVEL
2015-07-17;1437091200000;SHPH11.SA;600.0;611.0;600.0;610.0;550.72;45;fii;533.74;3.18;591.18;3.18;53.15;ESTAVEL
2015-07-20;1437350400000;SHPH11.SA;610.0;610.0;610.0;610.0;550.72;0;fii;533.92;3.15;591.39;3.15;53.15;ESTAVEL
2015-07-21;1437436800000;SHPH11.SA;611.0;611.0;611.0;611.0;551.63;4;fii;534.12;3.28;591.61;3.28;53.73;ESTAVEL
2015-07-22;1437523200000;SHPH11.SA;601.01;611.0;601.0;611.0;551.63;56;fii;534.31;3.24;591.82;3.24;53.73;ESTAVEL
2015-07-23;1437609600000;SHPH11.SA;600.01;600.01;600.0;600.0;541.7;97;fii;534.39;1.37;591.91;1.37;46.48;ESTAVEL
2015-07-24;1437696000000;SHPH11.SA;600.0;600.0;600.0;600.0;541.7;0;fii;534.47;1.35;592.0;1.35;46.48;ESTAVEL
2015-07-27;1437955200000;SHPH11.SA;590.0;590.0;590.0;590.0;532.67;6;fii;534.45;-0.33;591.97;-0.33;40.69;ESTAVEL
2015-07-28;1438041600000;SHPH11.SA;605.0;605.0;591.0;591.0;533.57;148;fii;534.44;-0.16;591.96;-0.16;41.48;ESTAVEL
2015-07-29;1438128000000;SHPH11.SA;590.0;599.0;590.0;599.0;540.79;64;fii;534.51;1.17;592.04;1.18;47.46;ESTAVEL
2015-07-30;1438214400000;SHPH11.SA;600.0;607.0;600.0;607.0;548.02;93;fii;534.66;2.5;592.2;2.5;52.68;ESTAVEL
2015-07-31;1438300800000;SHPH11.SA;607.0;607.0;607.0;607.0;548.02;0;fii;534.8;2.47;592.36;2.47;52.68;ESTAVEL
2015-08-03;1438560000000;SHPH11.SA;607.0;607.0;607.0;607.0;548.02;0;fii;534.95;2.44;592.52;2.44;52.68;ESTAVEL
2015-08-04;1438646400000;SHPH11.SA;600.0;608.99;600.0;608.0;548.92;63;fii;535.1;2.58;592.69;2.58;53.4;ESTAVEL
