s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2021-07-14;1626220800000;SIMH3.SA;15.48;15.85;15.35;15.76;13.84;1761200;stock;9.56;44.84;10.9;44.54;82.01;CAIR
2021-07-15;1626307200000;SIMH3.SA;15.78;16.08;15.55;15.93;13.99;2031600;stock;9.61;45.63;10.96;45.33;83.12;CAIR
2021-07-16;1626393600000;SIMH3.SA;16.07;16.24;15.74;16.1;14.15;2097200;stock;9.66;46.5;11.02;46.09;84.24;CAIR
2021-07-19;1626652800000;SIMH3.SA;15.87;16.28;15.67;16.09;14.14;1733600;stock;9.71;45.62;11.08;45.24;83.87;CAIR
2021-07-20;1626739200000;SIMH3.SA;16.13;16.56;16.03;16.44;14.45;1331600;stock;9.76;47.99;11.14;47.58;85.96;CAIR
2021-07-21;1626825600000;SIMH3.SA;16.51;16.66;16.25;16.56;14.55;2100400;stock;9.82;48.18;11.2;47.84;86.56;CAIR
2021-07-22;1626912000000;SIMH3.SA;16.6;17.14;16.57;16.88;14.83;2336400;stock;9.88;50.16;11.27;49.83;88.1;CAIR
2021-07-23;1626998400000;SIMH3.SA;16.91;17.12;16.76;16.95;14.89;1638000;stock;9.93;49.9;11.33;49.59;88.41;CAIR
2021-07-26;1627257600000;SIMH3.SA;17.05;17.05;16.53;16.83;14.78;2481600;stock;9.99;47.97;11.39;47.71;84.12;CAIR
2021-07-27;1627344000000;SIMH3.SA;16.77;16.89;16.39;16.44;14.45;2064800;stock;10.04;43.94;11.45;43.57;72.73;CAIR
2021-07-28;1627430400000;SIMH3.SA;16.51;17.09;16.07;16.46;14.47;2514800;stock;10.09;43.42;11.51;43.03;72.97;CAIR
2021-07-29;1627516800000;SIMH3.SA;16.53;17.62;16.53;17.25;15.16;2772000;stock;10.15;49.41;11.57;49.06;79.61;CAIR
2021-07-30;1627603200000;SIMH3.SA;17.23;17.66;17.01;17.41;15.3;3096400;stock;10.2;49.93;11.64;49.59;80.65;CAIR
2021-08-02;1627862400000;SIMH3.SA;17.66;17.89;17.36;17.48;15.36;2371200;stock;10.26;49.66;11.7;49.34;81.09;CAIR
2021-08-03;1627948800000;SIMH3.SA;17.41;17.42;16.89;17.12;15.05;2934400;stock;10.32;45.88;11.77;45.51;71.9;CAIR
2021-08-04;1628035200000;SIMH3.SA;17.12;17.25;16.64;16.66;14.64;2526800;stock;10.37;41.23;11.82;40.94;61.91;ESTAVEL
2021-08-05;1628121600000;SIMH3.SA;16.68;16.99;16.3;16.49;14.49;2394400;stock;10.41;39.16;11.87;38.88;58.7;ESTAVEL
2021-08-06;1628208000000;SIMH3.SA;16.76;16.77;16.27;16.48;14.48;1368800;stock;10.46;38.46;11.93;38.19;58.48;ESTAVEL
2021-08-09;1628467200000;SIMH3.SA;16.7;17.0;16.52;16.91;14.86;2046000;stock;10.51;41.43;11.98;41.14;63.96;ESTAVEL
2021-08-10;1628553600000;SIMH3.SA;17.05;17.22;16.55;16.55;14.54;2372400;stock;10.55;37.79;12.03;37.55;57.12;ESTAVEL
2021-08-11;1628640000000;SIMH3.SA;16.6;16.99;15.74;16.28;14.31;2475500;stock;10.59;35.07;12.08;34.77;52.76;ESTAVEL
2021-08-12;1628726400000;SIMH3.SA;15.93;17.44;15.92;16.4;14.41;3135500;stock;10.64;35.47;12.13;35.22;54.39;ESTAVEL
2021-08-13;1628812800000;SIMH3.SA;16.5;16.55;15.2;15.85;13.93;3924100;stock;10.67;30.51;12.17;30.24;46.16;ESTAVEL
2021-08-16;1629072000000;SIMH3.SA;15.74;15.74;13.57;14.34;12.6;13348800;stock;10.7;17.81;12.19;17.6;31.79;ESTAVEL
2021-08-17;1629158400000;SIMH3.SA;13.8;14.35;13.1;14.35;12.61;8565600;stock;10.72;17.67;12.22;17.45;31.96;ESTAVEL
2021-08-18;1629244800000;SIMH3.SA;14.2;14.78;13.92;14.4;12.65;4097800;stock;10.74;17.8;12.24;17.63;32.69;ESTAVEL
2021-08-19;1629331200000;SIMH3.SA;13.9;14.95;13.59;14.8;13.01;3476900;stock;10.76;20.87;12.27;20.61;39.02;ESTAVEL
2021-08-20;1629417600000;SIMH3.SA;14.73;15.03;14.39;14.9;13.09;2372100;stock;10.79;21.33;12.3;21.14;40.36;ESTAVEL
2021-08-23;1629676800000;SIMH3.SA;14.94;15.33;14.7;15.02;13.2;2188300;stock;10.82;22.04;12.33;21.82;42.25;ESTAVEL
2021-08-24;1629763200000;SIMH3.SA;15.46;15.57;15.1;15.37;13.51;1671100;stock;10.85;24.57;12.36;24.32;47.3;ESTAVEL
2021-08-25;1629849600000;SIMH3.SA;15.37;15.89;15.25;15.6;13.71;2197600;stock;10.88;26.04;12.4;25.81;50.32;ESTAVEL
2021-08-26;1629936000000;SIMH3.SA;15.55;15.78;15.06;15.21;13.37;2719800;stock;10.9;22.6;12.43;22.36;45.54;ESTAVEL
2021-08-27;1630022400000;SIMH3.SA;15.35;16.28;15.1;16.2;14.24;3268000;stock;10.94;30.14;12.47;29.89;56.83;ESTAVEL
2021-08-30;1630281600000;SIMH3.SA;16.2;16.6;15.41;15.48;13.6;2805400;stock;10.97;23.96;12.51;23.79;48.81;ESTAVEL
2021-08-31;1630368000000;SIMH3.SA;15.48;15.58;14.47;14.85;13.05;3411000;stock;10.99;18.7;12.53;18.51;43.18;ESTAVEL
2021-09-01;1630454400000;SIMH3.SA;14.85;15.24;14.38;14.87;13.07;3503600;stock;11.02;18.64;12.56;18.42;43.43;ESTAVEL
2021-09-02;1630540800000;SIMH3.SA;14.87;14.91;14.04;14.18;12.46;3412000;stock;11.03;12.94;12.57;12.77;37.84;ESTAVEL
2021-09-03;1630627200000;SIMH3.SA;14.3;14.45;13.87;14.0;12.3;4738000;stock;11.05;11.35;12.59;11.2;36.51;ESTAVEL
2021-09-06;1630886400000;SIMH3.SA;13.91;14.48;13.91;14.41;12.66;1056500;stock;11.06;14.42;12.61;14.27;41.49;ESTAVEL
2021-09-08;1631059200000;SIMH3.SA;14.31;14.6;13.6;13.69;12.03;2519000;stock;11.07;8.62;12.62;8.46;36.15;ESTAVEL
2021-09-09;1631145600000;SIMH3.SA;13.42;14.4;13.31;14.0;12.3;3080700;stock;11.09;10.93;12.64;10.79;39.73;ESTAVEL
2021-09-10;1631232000000;SIMH3.SA;14.54;14.65;13.78;14.09;12.38;3029300;stock;11.1;11.51;12.65;11.36;40.79;ESTAVEL
2021-09-13;1631491200000;SIMH3.SA;14.19;15.0;14.07;14.81;13.01;2477700;stock;11.12;16.96;12.68;16.83;48.47;ESTAVEL
