s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2009-10-19;1255910400000;TAEE3.SA;10.33;10.33;10.33;10.33;3.83;0;stock;3.69;3.75;10.33;0.0;100.0;ESTAVEL
2009-10-20;1255996800000;TAEE3.SA;10.33;10.33;10.33;10.33;3.83;0;stock;3.69;3.72;10.33;0.0;100.0;ESTAVEL
2009-10-21;1256083200000;TAEE3.SA;10.33;10.33;10.33;10.33;3.83;0;stock;3.69;3.68;10.33;0.0;100.0;ESTAVEL
2009-10-22;1256169600000;TAEE3.SA;10.33;10.33;10.33;10.33;3.83;0;stock;3.7;3.64;10.33;0.0;100.0;ESTAVEL
2009-10-23;1256256000000;TAEE3.SA;10.33;10.33;10.33;10.33;3.83;0;stock;3.7;3.6;10.33;0.0;100.0;ESTAVEL
2009-10-26;1256515200000;TAEE3.SA;10.33;10.33;10.33;10.33;3.83;0;stock;3.7;3.56;10.33;0.0;100.0;ESTAVEL
2009-10-27;1256601600000;TAEE3.SA;10.33;10.33;10.33;10.33;3.83;0;stock;3.7;3.53;10.33;0.0;100.0;ESTAVEL
2009-10-28;1256688000000;TAEE3.SA;10.33;10.33;10.33;10.33;3.83;0;stock;3.7;3.49;10.33;0.0;100.0;ESTAVEL
2009-10-29;1256774400000;TAEE3.SA;10.33;10.33;10.33;10.33;3.83;0;stock;3.7;3.46;10.33;0.0;100.0;ESTAVEL
2009-10-30;1256860800000;TAEE3.SA;10.33;10.33;10.33;10.33;3.83;0;stock;3.7;3.42;10.33;0.0;100.0;ESTAVEL
2009-11-03;1257206400000;TAEE3.SA;10.33;10.33;10.33;10.33;3.83;0;stock;3.7;3.38;10.33;0.0;100.0;ESTAVEL
2009-11-04;1257292800000;TAEE3.SA;10.33;10.33;10.33;10.33;3.83;0;stock;3.71;3.35;10.33;0.0;100.0;ESTAVEL
2009-11-05;1257379200000;TAEE3.SA;10.33;10.33;10.33;10.33;3.83;0;stock;3.71;3.31;10.33;0.0;100.0;ESTAVEL
2009-11-06;1257465600000;TAEE3.SA;10.33;10.33;10.33;10.33;3.83;0;stock;3.71;3.28;10.33;0.0;100.0;ESTAVEL
2009-11-09;1257724800000;TAEE3.SA;10.33;10.33;10.33;10.33;3.83;0;stock;3.71;3.25;10.33;0.0;100.0;ESTAVEL
2009-11-10;1257811200000;TAEE3.SA;10.33;10.33;10.33;10.33;3.83;0;stock;3.71;3.21;10.33;0.0;100.0;ESTAVEL
2009-11-11;1257897600000;TAEE3.SA;10.33;10.33;10.33;10.33;3.83;0;stock;3.71;3.18;10.33;0.0;100.0;ESTAVEL
