s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2000-10-06;970790400000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.27;-6.69;3.11;-6.65;42.46;ESTAVEL
2000-10-09;971049600000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.27;-6.62;3.1;-6.58;42.46;ESTAVEL
2000-10-10;971136000000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.27;-6.55;3.1;-6.51;42.46;ESTAVEL
2000-10-11;971222400000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.27;-6.48;3.1;-6.44;42.46;ESTAVEL
2000-10-12;971308800000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.27;-6.41;3.1;-6.37;42.46;ESTAVEL
2000-10-13;971395200000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.26;-6.34;3.1;-6.3;42.46;ESTAVEL
2000-10-16;971654400000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.26;-6.27;3.09;-6.23;42.46;ESTAVEL
2000-10-17;971740800000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.26;-6.21;3.09;-6.17;42.46;ESTAVEL
2000-10-18;971827200000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.26;-6.14;3.09;-6.1;42.46;ESTAVEL
2000-10-19;971913600000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.26;-6.08;3.09;-6.04;42.46;ESTAVEL
2000-10-20;972000000000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.26;-6.01;3.08;-5.97;42.46;ESTAVEL
2000-10-23;972259200000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.25;-5.95;3.08;-5.91;42.46;ESTAVEL
2000-10-24;972345600000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.25;-5.88;3.08;-5.84;42.46;ESTAVEL
2000-10-25;972432000000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.25;-5.82;3.08;-5.78;42.46;ESTAVEL
2000-10-26;972518400000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.25;-5.76;3.08;-5.72;42.46;ESTAVEL
2000-10-27;972604800000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.25;-5.7;3.07;-5.66;42.46;ESTAVEL
2000-10-30;972864000000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.25;-5.64;3.07;-5.6;42.46;ESTAVEL
2000-10-31;972950400000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.25;-5.58;3.07;-5.54;42.46;ESTAVEL
2000-11-01;973036800000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.24;-5.52;3.07;-5.48;42.46;ESTAVEL
2000-11-02;973123200000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.24;-5.46;3.07;-5.42;42.46;ESTAVEL
2000-11-03;973209600000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.24;-5.4;3.06;-5.37;42.46;ESTAVEL
2000-11-06;973468800000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.24;-5.34;3.06;-5.31;42.46;ESTAVEL
2000-11-07;973555200000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.24;-5.29;3.06;-5.25;42.46;ESTAVEL
2000-11-08;973641600000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.24;-5.23;3.06;-5.2;42.46;ESTAVEL
2000-11-09;973728000000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.24;-5.18;3.06;-5.14;42.46;ESTAVEL
2000-11-10;973814400000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.23;-5.12;3.06;-5.09;42.46;ESTAVEL
2000-11-13;974073600000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.23;-5.07;3.05;-5.04;42.46;ESTAVEL
2000-11-14;974160000000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.23;-5.02;3.05;-4.98;42.46;ESTAVEL
2000-11-15;974246400000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.23;-4.96;3.05;-4.93;42.46;ESTAVEL
2000-11-16;974332800000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.23;-4.91;3.05;-4.88;42.46;ESTAVEL
2000-11-17;974419200000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.23;-4.86;3.05;-4.83;42.46;ESTAVEL
2000-11-20;974678400000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.23;-4.81;3.05;-4.78;42.46;ESTAVEL
2000-11-21;974764800000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.23;-4.76;3.04;-4.73;42.46;ESTAVEL
2000-11-22;974851200000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.22;-4.71;3.04;-4.68;42.46;ESTAVEL
2000-11-23;974937600000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.22;-4.66;3.04;-4.63;42.46;ESTAVEL
2000-11-24;975024000000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.22;-4.61;3.04;-4.58;42.46;ESTAVEL
2000-11-27;975283200000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.22;-4.56;3.04;-4.53;42.46;ESTAVEL
2000-11-28;975369600000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.22;-4.51;3.04;-4.48;42.46;ESTAVEL
2000-11-29;975456000000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.22;-4.47;3.03;-4.44;42.46;ESTAVEL
2000-11-30;975542400000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.22;-4.42;3.03;-4.39;42.46;ESTAVEL
2000-12-01;975628800000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.22;-4.37;3.03;-4.34;42.46;ESTAVEL
2000-12-04;975888000000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.22;-4.33;3.03;-4.3;42.46;ESTAVEL
2000-12-05;975974400000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.21;-4.28;3.03;-4.25;42.46;ESTAVEL
2000-12-06;976060800000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.21;-4.24;3.03;-4.21;42.46;ESTAVEL
2000-12-07;976147200000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.21;-4.19;3.03;-4.16;42.46;ESTAVEL
2000-12-08;976233600000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.21;-4.15;3.02;-4.12;42.46;ESTAVEL
2000-12-11;976492800000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.21;-4.11;3.02;-4.08;42.46;ESTAVEL
2000-12-12;976579200000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.21;-4.06;3.02;-4.04;42.46;ESTAVEL
2000-12-13;976665600000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.21;-4.02;3.02;-3.99;42.46;ESTAVEL
2000-12-14;976752000000;TASA4.SA;2.9;2.9;2.9;2.9;2.12;0;stock;2.21;-3.98;3.02;-3.95;42.46;ESTAVEL
