s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2007-11-22;1195689600000;TCSA3.SA;102.77;108.11;102.77;107.22;81.49;24669;stock;77.31;5.41;101.72;5.41;56.73;ESTAVEL
2007-11-23;1195776000000;TCSA3.SA;104.99;109.88;104.99;109.44;83.18;36021;stock;77.38;7.5;101.81;7.49;59.23;ESTAVEL
2007-11-26;1196035200000;TCSA3.SA;107.84;110.33;106.77;107.66;81.82;39707;stock;77.43;5.67;101.88;5.68;56.41;ESTAVEL
2007-11-27;1196121600000;TCSA3.SA;105.17;106.77;102.86;103.66;78.78;45709;stock;77.44;1.72;101.9;1.73;50.6;ESTAVEL
2007-11-28;1196208000000;TCSA3.SA;104.1;106.77;100.54;104.37;79.32;54205;stock;77.47;2.39;101.93;2.4;51.56;ESTAVEL
2007-11-29;1196294400000;TCSA3.SA;105.79;106.77;102.23;104.9;79.73;40303;stock;77.49;2.89;101.96;2.88;52.31;ESTAVEL
2007-11-30;1196380800000;TCSA3.SA;106.33;107.57;102.77;106.77;81.15;48024;stock;77.53;4.66;102.02;4.66;54.92;ESTAVEL
2007-12-03;1196640000000;TCSA3.SA;106.86;106.86;101.88;103.12;78.38;64624;stock;77.54;1.08;102.03;1.07;49.25;ESTAVEL
2007-12-04;1196726400000;TCSA3.SA;101.08;101.08;97.96;98.85;75.13;64736;stock;77.52;-3.08;101.99;-3.08;43.57;ESTAVEL
2007-12-05;1196812800000;TCSA3.SA;98.14;100.81;98.14;100.1;76.08;44697;stock;77.5;-1.83;101.97;-1.83;45.55;ESTAVEL
2007-12-06;1196899200000;TCSA3.SA;100.54;101.43;98.67;98.67;74.99;32435;stock;77.47;-3.2;101.93;-3.2;43.66;ESTAVEL
2007-12-07;1196985600000;TCSA3.SA;99.47;100.1;95.11;99.65;75.74;32660;stock;77.45;-2.21;101.91;-2.21;45.34;ESTAVEL
2007-12-10;1197244800000;TCSA3.SA;100.01;101.34;98.76;99.65;75.74;71435;stock;77.43;-2.19;101.88;-2.19;45.34;ESTAVEL
2007-12-11;1197331200000;TCSA3.SA;100.01;100.01;96.98;96.98;73.71;57813;stock;77.39;-4.76;101.83;-4.76;41.46;ESTAVEL
2007-12-12;1197417600000;TCSA3.SA;96.54;97.87;94.49;96.0;72.97;80168;stock;77.34;-5.65;101.76;-5.66;40.11;ESTAVEL
2007-12-13;1197504000000;TCSA3.SA;95.11;100.54;92.0;94.67;71.95;203572;stock;77.28;-6.9;101.68;-6.89;38.26;ESTAVEL
2007-12-14;1197590400000;TCSA3.SA;96.09;96.09;89.42;91.64;69.65;171114;stock;77.19;-9.77;101.57;-9.77;34.42;ESTAVEL
2007-12-17;1197849600000;TCSA3.SA;91.64;91.64;87.64;88.98;67.62;89406;stock;77.09;-12.28;101.43;-12.27;31.41;ESTAVEL
2007-12-18;1197936000000;TCSA3.SA;90.76;92.0;84.17;85.42;64.92;112929;stock;76.95;-15.63;101.25;-15.63;27.92;SUBIR
2007-12-19;1198022400000;TCSA3.SA;94.4;97.78;85.86;91.64;69.65;97633;stock;76.87;-9.39;101.14;-9.39;40.41;ESTAVEL
2007-12-20;1198108800000;TCSA3.SA;93.16;96.45;89.87;90.49;68.77;20443;stock;76.78;-10.43;101.02;-10.42;39.06;ESTAVEL
2007-12-21;1198195200000;TCSA3.SA;91.64;94.76;90.49;90.93;69.11;103949;stock;76.69;-9.89;100.91;-9.89;39.9;ESTAVEL
2007-12-26;1198627200000;TCSA3.SA;93.25;97.87;88.98;96.54;73.37;122640;stock;76.65;-4.28;100.86;-4.28;49.31;ESTAVEL
2007-12-27;1198713600000;TCSA3.SA;97.78;97.78;93.42;96.98;73.71;93205;stock;76.62;-3.8;100.81;-3.8;49.99;ESTAVEL
2007-12-28;1198800000000;TCSA3.SA;95.74;100.54;94.76;100.45;76.35;64815;stock;76.62;-0.35;100.81;-0.36;54.99;ESTAVEL
2008-01-02;1199232000000;TCSA3.SA;97.87;99.65;96.18;97.43;74.05;5001;stock;76.59;-3.32;100.77;-3.32;50.27;ESTAVEL
2008-01-03;1199318400000;TCSA3.SA;97.87;97.87;94.23;96.98;73.71;24782;stock;76.56;-3.72;100.73;-3.72;49.59;ESTAVEL
2008-01-04;1199404800000;TCSA3.SA;97.87;97.87;90.84;92.62;70.4;66782;stock;76.49;-7.96;100.64;-7.97;43.46;ESTAVEL
2008-01-07;1199664000000;TCSA3.SA;91.73;96.09;88.98;88.98;67.62;43023;stock;76.39;-11.48;100.51;-11.47;39.08;ESTAVEL
2008-01-08;1199750400000;TCSA3.SA;90.84;92.27;88.53;88.53;67.28;25254;stock;76.29;-11.81;100.38;-11.8;38.57;ESTAVEL
2008-01-09;1199836800000;TCSA3.SA;87.73;87.73;84.08;86.75;65.93;115526;stock;76.18;-13.45;100.23;-13.45;36.53;ESTAVEL
2008-01-10;1199923200000;TCSA3.SA;88.09;88.89;85.06;87.2;66.27;63185;stock;76.07;-12.88;100.08;-12.87;37.43;ESTAVEL
2008-01-11;1200009600000;TCSA3.SA;86.84;87.73;83.64;84.53;64.24;65186;stock;75.94;-15.4;99.91;-15.4;34.3;ESTAVEL
2008-01-14;1200268800000;TCSA3.SA;87.02;87.02;80.17;81.41;61.88;45506;stock;75.78;-18.34;99.71;-18.35;31.05;ESTAVEL
2008-01-15;1200355200000;TCSA3.SA;81.41;81.77;78.3;81.41;61.88;77133;stock;75.63;-18.18;99.51;-18.19;31.05;ESTAVEL
2008-01-16;1200441600000;TCSA3.SA;77.94;81.15;77.85;80.08;60.86;40910;stock;75.47;-19.35;99.29;-19.35;29.65;SUBIR
2008-01-17;1200528000000;TCSA3.SA;81.41;81.77;73.4;74.74;56.8;57071;stock;75.26;-24.53;99.02;-24.52;24.83;SUBIR
2008-01-18;1200614400000;TCSA3.SA;78.3;78.3;71.18;72.52;55.11;72255;stock;75.04;-26.56;98.73;-26.55;23.14;SUBIR
2008-01-21;1200873600000;TCSA3.SA;71.18;71.18;67.62;68.96;52.41;80201;stock;74.79;-29.92;98.41;-29.92;20.72;SUBIR
2008-01-22;1200960000000;TCSA3.SA;68.96;72.78;68.51;71.18;54.1;81662;stock;74.56;-27.45;98.11;-27.45;25.94;SUBIR
2008-01-23;1201046400000;TCSA3.SA;70.29;70.29;65.66;68.07;51.73;105512;stock;74.31;-30.39;97.78;-30.38;23.6;SUBIR
2008-01-24;1201132800000;TCSA3.SA;72.78;74.74;68.51;74.74;56.8;95093;stock;74.12;-23.37;97.53;-23.37;36.78;ESTAVEL
2008-01-28;1201478400000;TCSA3.SA;73.67;74.92;71.18;73.4;55.79;32008;stock;73.92;-24.53;97.26;-24.54;35.46;ESTAVEL
2008-01-29;1201564800000;TCSA3.SA;74.65;79.63;74.03;76.52;58.16;75031;stock;73.75;-21.14;97.04;-21.14;40.8;ESTAVEL
2008-01-30;1201651200000;TCSA3.SA;76.96;79.19;71.8;73.85;56.13;129237;stock;73.56;-23.69;96.79;-23.7;37.91;ESTAVEL
2008-01-31;1201737600000;TCSA3.SA;74.74;76.52;70.02;75.1;57.07;174856;stock;73.38;-22.23;96.55;-22.22;40.03;ESTAVEL
2008-02-01;1201824000000;TCSA3.SA;75.1;75.18;67.27;68.96;52.41;299947;stock;73.15;-28.35;96.25;-28.35;33.86;ESTAVEL
2008-02-06;1202256000000;TCSA3.SA;67.62;69.13;66.11;66.91;50.85;92429;stock;72.91;-30.26;95.93;-30.25;32.07;ESTAVEL
2008-02-07;1202342400000;TCSA3.SA;67.53;70.74;65.84;69.4;52.75;57600;stock;72.69;-27.43;95.64;-27.44;36.46;ESTAVEL
2008-02-08;1202428800000;TCSA3.SA;69.05;70.74;67.27;68.51;52.07;84045;stock;72.47;-28.15;95.35;-28.15;35.58;ESTAVEL
2008-02-11;1202688000000;TCSA3.SA;70.2;70.29;65.4;67.62;51.39;212833;stock;72.24;-28.86;95.05;-28.86;34.67;ESTAVEL
