s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2012-04-19;1334793600000;TECN3.SA;18.13;18.3;17.9;18.3;14.69;49900;stock;13.06;12.46;16.27;12.48;59.33;ESTAVEL
2012-04-20;1334880000000;TECN3.SA;18.29;18.29;17.54;17.7;14.21;115300;stock;13.08;8.68;16.29;8.69;50.03;ESTAVEL
2012-04-23;1335139200000;TECN3.SA;17.6;18.79;17.3;17.98;14.44;51500;stock;13.09;10.31;16.3;10.27;53.77;ESTAVEL
2012-04-24;1335225600000;TECN3.SA;18.05;18.24;17.85;18.11;14.54;28000;stock;13.11;10.93;16.33;10.93;55.33;ESTAVEL
2012-04-25;1335312000000;TECN3.SA;18.01;18.27;17.75;18.27;14.67;869500;stock;13.13;11.77;16.35;11.76;57.35;ESTAVEL
2012-04-26;1335398400000;TECN3.SA;18.26;18.3;17.91;18.3;14.69;29200;stock;13.14;11.77;16.37;11.79;57.67;ESTAVEL
2012-04-27;1335484800000;TECN3.SA;17.71;18.45;17.59;18.45;15.19;35900;stock;13.17;15.37;16.39;12.54;64.73;ESTAVEL
2012-04-30;1335744000000;TECN3.SA;18.45;18.95;18.25;18.95;15.6;34700;stock;13.19;18.23;16.42;15.39;69.26;ESTAVEL
2012-05-02;1335916800000;TECN3.SA;18.45;18.95;18.25;18.95;15.6;34700;stock;13.22;17.99;16.45;15.19;69.26;ESTAVEL
2012-05-03;1336003200000;TECN3.SA;18.5;18.9;18.28;18.7;15.39;258800;stock;13.25;16.19;16.48;13.49;64.35;ESTAVEL
2012-05-04;1336089600000;TECN3.SA;18.71;18.75;18.4;18.4;15.14;38200;stock;13.27;14.11;16.5;11.52;58.99;ESTAVEL
2012-05-07;1336348800000;TECN3.SA;18.45;18.45;18.22;18.35;15.1;15300;stock;13.29;13.63;16.52;11.08;58.16;ESTAVEL
2012-05-08;1336435200000;TECN3.SA;18.3;18.31;18.1;18.31;15.07;45300;stock;13.31;13.24;16.54;10.7;57.5;ESTAVEL
2012-05-09;1336521600000;TECN3.SA;18.32;18.34;18.01;18.09;14.89;33600;stock;13.33;11.73;16.56;9.25;53.59;ESTAVEL
2012-05-10;1336608000000;TECN3.SA;18.16;18.25;17.85;17.9;14.73;35400;stock;13.34;10.4;16.57;8.01;50.31;ESTAVEL
2012-05-11;1336694400000;TECN3.SA;17.91;18.17;17.84;17.84;14.68;32600;stock;13.36;9.9;16.59;7.55;49.3;ESTAVEL
2012-05-14;1336953600000;TECN3.SA;17.82;17.82;17.25;17.37;14.3;18200;stock;13.37;6.97;16.6;4.66;42.31;ESTAVEL
2012-05-15;1337040000000;TECN3.SA;17.44;17.44;16.6;17.2;14.16;68000;stock;13.38;5.86;16.6;3.6;40.06;ESTAVEL
2012-05-16;1337126400000;TECN3.SA;17.41;17.41;16.77;16.86;13.88;65200;stock;13.38;3.72;16.61;1.53;35.94;ESTAVEL
2012-05-17;1337212800000;TECN3.SA;16.86;16.89;16.37;16.51;13.59;114500;stock;13.38;1.53;16.6;-0.57;32.24;ESTAVEL
2012-05-18;1337299200000;TECN3.SA;16.51;16.6;16.0;16.45;13.54;34600;stock;13.39;1.15;16.6;-0.92;31.64;ESTAVEL
2012-05-21;1337558400000;TECN3.SA;16.45;16.45;16.45;16.45;13.54;0;stock;13.39;1.13;16.6;-0.91;31.64;ESTAVEL
2012-05-22;1337644800000;TECN3.SA;16.71;16.71;16.25;16.36;13.47;50200;stock;13.39;0.6;16.6;-1.44;30.71;ESTAVEL
2012-05-23;1337731200000;TECN3.SA;16.36;16.42;15.55;15.7;12.92;126900;stock;13.38;-3.47;16.59;-5.35;24.57;SUBIR
2012-05-24;1337817600000;TECN3.SA;15.5;16.2;15.25;16.2;13.33;63000;stock;13.38;-0.4;16.58;-2.32;35.0;ESTAVEL
2012-05-25;1337904000000;TECN3.SA;15.81;16.56;15.81;16.5;13.58;61800;stock;13.39;1.45;16.58;-0.5;40.41;ESTAVEL
2012-05-28;1338163200000;TECN3.SA;16.74;16.9;16.55;16.66;13.71;9100;stock;13.39;2.4;16.58;0.46;43.07;ESTAVEL
2012-05-29;1338249600000;TECN3.SA;16.66;16.76;16.47;16.59;13.65;152200;stock;13.39;1.93;16.58;0.04;42.13;ESTAVEL
2012-05-30;1338336000000;TECN3.SA;16.4;16.5;16.14;16.21;13.34;53800;stock;13.39;-0.38;16.58;-2.23;37.6;ESTAVEL
2012-05-31;1338422400000;TECN3.SA;16.25;16.84;15.7;16.84;13.86;93900;stock;13.4;3.46;16.58;1.55;47.75;ESTAVEL
2012-06-01;1338508800000;TECN3.SA;16.32;16.5;16.21;16.31;13.42;72300;stock;13.4;0.17;16.58;-1.63;41.59;ESTAVEL
2012-06-04;1338768000000;TECN3.SA;16.32;16.65;16.24;16.4;13.5;89800;stock;13.4;0.76;16.58;-1.07;43.03;ESTAVEL
2012-06-05;1338854400000;TECN3.SA;16.4;16.61;16.15;16.2;13.33;30100;stock;13.4;-0.5;16.57;-2.25;40.73;ESTAVEL
2012-06-06;1338940800000;TECN3.SA;16.49;17.13;16.45;16.7;13.75;29900;stock;13.4;2.6;16.57;0.75;48.11;ESTAVEL
2012-06-08;1339113600000;TECN3.SA;16.89;16.89;16.25;16.25;13.37;332000;stock;13.4;-0.23;16.57;-1.94;42.9;ESTAVEL
2012-06-11;1339372800000;TECN3.SA;16.06;16.7;16.06;16.19;13.33;213200;stock;13.4;-0.52;16.57;-2.28;42.38;ESTAVEL
2012-06-12;1339459200000;TECN3.SA;16.29;16.6;16.06;16.06;13.22;645800;stock;13.4;-1.33;16.56;-3.03;40.92;ESTAVEL
2012-06-13;1339545600000;TECN3.SA;16.11;16.71;15.96;16.07;13.23;1027200;stock;13.4;-1.24;16.56;-2.94;41.12;ESTAVEL
