s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2008-10-17;1224201600000;TELB4.SA;12.32;12.32;10.43;10.43;10.43;15761197;stock;24.01;-56.56;24.01;-56.56;35.56;ESTAVEL
2008-10-20;1224460800000;TELB4.SA;11.37;12.32;10.43;12.32;12.32;31602578;stock;23.88;-48.4;23.88;-48.4;46.01;ESTAVEL
2008-10-21;1224547200000;TELB4.SA;11.37;12.32;11.37;12.32;12.32;16166331;stock;23.74;-48.11;23.74;-48.11;46.01;ESTAVEL
2008-10-22;1224633600000;TELB4.SA;11.37;11.37;10.43;11.37;11.37;8250389;stock;23.6;-51.83;23.6;-51.83;42.03;ESTAVEL
2008-10-23;1224720000000;TELB4.SA;10.43;11.37;10.43;11.37;11.37;2304200;stock;23.46;-51.54;23.46;-51.54;42.03;ESTAVEL
2008-10-24;1224806400000;TELB4.SA;10.43;11.37;10.43;11.37;11.37;19612082;stock;23.32;-51.25;23.32;-51.25;42.03;ESTAVEL
2008-10-27;1225065600000;TELB4.SA;10.43;10.43;9.48;10.43;10.43;16165276;stock;23.18;-55.0;23.18;-55.0;37.98;ESTAVEL
2008-10-28;1225152000000;TELB4.SA;10.43;11.37;9.48;11.37;11.37;15839270;stock;23.04;-50.66;23.04;-50.66;43.82;ESTAVEL
2008-10-29;1225238400000;TELB4.SA;10.43;11.37;9.48;10.43;10.43;30184608;stock;22.9;-54.45;22.9;-54.45;39.78;ESTAVEL
2008-10-30;1225324800000;TELB4.SA;10.43;11.37;9.48;11.37;11.37;13871626;stock;22.77;-50.06;22.77;-50.06;45.21;ESTAVEL
2008-10-31;1225411200000;TELB4.SA;10.43;12.32;9.48;11.37;11.37;40517640;stock;22.64;-49.78;22.64;-49.78;45.21;ESTAVEL
