s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;ticker_type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2006-04-20;1145491200000;TIMS3.SA;8.66;8.88;8.6;8.8;5.92;685;stock;4.84;22.31;7.19;22.36;55.79;ESTAVEL
2006-04-21;1145577600000;TIMS3.SA;8.8;8.8;8.8;8.8;5.92;0;stock;4.85;22.0;7.21;22.05;55.79;ESTAVEL
2006-04-24;1145836800000;TIMS3.SA;8.8;8.8;8.59;8.7;5.86;64;stock;4.86;20.47;7.23;20.37;53.2;ESTAVEL
2006-04-25;1145923200000;TIMS3.SA;8.66;8.95;8.62;8.76;5.9;272;stock;4.88;21.0;7.25;20.91;54.71;ESTAVEL
2006-04-26;1146009600000;TIMS3.SA;8.85;8.87;8.7;8.72;5.87;128;stock;4.89;20.1;7.26;20.08;53.32;ESTAVEL
2006-04-27;1146096000000;TIMS3.SA;8.6;9.1;8.6;9.09;6.12;1302;stock;4.9;24.86;7.28;24.81;62.0;ESTAVEL
2006-04-28;1146182400000;TIMS3.SA;9.08;10.0;8.95;9.2;6.19;572;stock;4.92;25.91;7.3;25.95;64.02;ESTAVEL
2006-05-01;1146441600000;TIMS3.SA;9.2;9.2;9.2;9.2;6.19;0;stock;4.93;25.54;7.33;25.58;64.02;ESTAVEL
2006-05-02;1146528000000;TIMS3.SA;9.13;9.81;9.13;9.7;6.53;389;stock;4.95;31.95;7.35;31.91;72.3;ESTAVEL
2006-05-03;1146614400000;TIMS3.SA;9.8;9.89;9.55;9.85;6.63;568;stock;4.97;33.46;7.38;33.44;74.18;ESTAVEL
2006-05-04;1146700800000;TIMS3.SA;9.85;10.38;9.81;10.19;6.86;1190;stock;4.99;37.49;7.41;37.45;77.9;ESTAVEL
2006-05-05;1146787200000;TIMS3.SA;10.5;10.5;9.51;9.9;6.66;1080;stock;5.01;32.98;7.44;33.04;68.64;ESTAVEL
2006-05-08;1147046400000;TIMS3.SA;9.95;10.0;9.9;9.97;6.71;1021;stock;5.03;33.46;7.47;33.46;69.61;ESTAVEL
2006-05-09;1147132800000;TIMS3.SA;9.97;10.59;9.82;9.97;6.71;24337;stock;5.05;32.96;7.5;32.96;69.61;ESTAVEL
2006-05-10;1147219200000;TIMS3.SA;10.3;10.8;10.3;10.37;6.98;4626;stock;5.07;37.72;7.53;37.7;74.56;ESTAVEL
2006-05-11;1147305600000;TIMS3.SA;11.0;11.0;10.41;10.71;7.21;4095;stock;5.09;41.58;7.57;41.54;77.86;ESTAVEL
2006-05-12;1147392000000;TIMS3.SA;10.2;10.45;9.8;10.69;7.19;3672;stock;5.12;40.54;7.6;40.63;76.92;ESTAVEL
2006-05-15;1147651200000;TIMS3.SA;9.81;11.3;9.81;10.3;6.93;3462;stock;5.14;34.92;7.63;34.96;65.85;ESTAVEL
2006-05-16;1147737600000;TIMS3.SA;10.99;11.0;10.23;10.8;7.27;3049;stock;5.16;40.88;7.67;40.85;71.61;ESTAVEL
2006-05-17;1147824000000;TIMS3.SA;10.35;10.36;9.8;10.8;7.27;9278;stock;5.18;40.24;7.7;40.21;71.61;ESTAVEL
2006-05-18;1147910400000;TIMS3.SA;10.8;10.8;10.8;10.8;7.27;0;stock;5.21;39.61;7.74;39.58;71.61;ESTAVEL
2006-05-19;1147996800000;TIMS3.SA;10.8;10.8;10.8;10.8;7.27;0;stock;5.23;38.99;7.77;38.97;71.61;ESTAVEL
2006-05-22;1148256000000;TIMS3.SA;10.8;10.8;10.8;10.8;7.27;0;stock;5.25;38.39;7.81;38.37;71.61;ESTAVEL
