s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2013-02-21;1361404800000;UCAS3.SA;9.83;9.83;9.46;9.6;5.57;68500;stock;6.74;-17.41;11.72;-18.08;25.52;SUBIR
2013-02-22;1361491200000;UCAS3.SA;9.56;9.69;9.55;9.6;5.57;68400;stock;6.73;-17.24;11.69;-17.91;25.52;SUBIR
2013-02-25;1361750400000;UCAS3.SA;9.83;9.83;9.58;9.75;5.66;104800;stock;6.72;-15.75;11.67;-16.47;31.19;ESTAVEL
2013-02-26;1361836800000;UCAS3.SA;9.66;9.81;9.66;9.66;5.61;72200;stock;6.71;-16.34;11.65;-17.08;29.83;SUBIR
2013-02-27;1361923200000;UCAS3.SA;9.75;9.98;9.7;9.98;5.79;75000;stock;6.7;-13.52;11.63;-14.19;39.96;ESTAVEL
2013-02-28;1362009600000;UCAS3.SA;9.91;9.99;9.78;9.8;5.69;399700;stock;6.68;-14.87;11.61;-15.59;36.78;ESTAVEL
2013-03-01;1362096000000;UCAS3.SA;9.87;9.94;9.52;9.9;5.74;105000;stock;6.67;-13.98;11.59;-14.58;39.38;ESTAVEL
2013-03-04;1362355200000;UCAS3.SA;9.8;9.8;9.6;9.65;5.6;630000;stock;6.66;-15.92;11.57;-16.58;35.04;ESTAVEL
2013-03-05;1362441600000;UCAS3.SA;9.69;9.99;9.69;9.8;5.69;109800;stock;6.65;-14.43;11.55;-15.13;39.65;ESTAVEL
2013-03-06;1362528000000;UCAS3.SA;9.83;10.15;9.83;9.95;5.77;145200;stock;6.64;-13.1;11.53;-13.7;43.48;ESTAVEL
2013-03-07;1362614400000;UCAS3.SA;10.01;10.3;9.93;10.3;5.98;227000;stock;6.63;-9.83;11.52;-10.56;52.09;ESTAVEL
2013-03-08;1362700800000;UCAS3.SA;10.34;10.34;10.2;10.3;5.98;79900;stock;6.62;-9.73;11.5;-10.45;52.09;ESTAVEL
2013-03-11;1362960000000;UCAS3.SA;10.27;10.49;10.16;10.29;5.97;38900;stock;6.62;-9.78;11.49;-10.43;51.65;ESTAVEL
2013-03-12;1363046400000;UCAS3.SA;10.37;10.45;10.22;10.22;5.93;144400;stock;6.61;-10.28;11.47;-10.93;49.86;ESTAVEL
2013-03-13;1363132800000;UCAS3.SA;10.27;10.43;9.95;9.95;5.77;90100;stock;6.6;-12.58;11.46;-13.15;43.38;ESTAVEL
2013-03-14;1363219200000;UCAS3.SA;9.91;10.3;9.91;10.0;5.8;151900;stock;6.59;-12.0;11.44;-12.59;44.83;ESTAVEL
2013-03-15;1363305600000;UCAS3.SA;10.06;10.24;9.9;9.94;5.77;484900;stock;6.58;-12.34;11.42;-12.99;43.63;ESTAVEL
