s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2000-10-06;970790400000;VALE3.SA;3.58;3.58;3.5;3.58;1.64;676800;stock;1.67;-1.69;3.65;-1.89;43.42;ESTAVEL
2000-10-09;971049600000;VALE3.SA;3.58;3.58;3.58;3.58;1.64;4800;stock;1.67;-1.67;3.65;-1.87;43.42;ESTAVEL
2000-10-10;971136000000;VALE3.SA;3.58;3.58;3.58;3.58;1.64;0;stock;1.67;-1.65;3.65;-1.85;43.42;ESTAVEL
2000-10-11;971222400000;VALE3.SA;3.58;3.58;3.42;3.42;1.56;100800;stock;1.67;-6.38;3.64;-6.16;30.78;ESTAVEL
2000-10-12;971308800000;VALE3.SA;3.42;3.42;3.42;3.42;1.56;0;stock;1.67;-6.31;3.64;-6.1;30.78;ESTAVEL
2000-10-13;971395200000;VALE3.SA;3.42;3.5;3.42;3.5;1.6;163200;stock;1.66;-3.86;3.64;-3.86;40.78;ESTAVEL
2000-10-16;971654400000;VALE3.SA;3.5;3.5;3.46;3.46;1.58;19200;stock;1.66;-5.01;3.64;-4.9;37.83;ESTAVEL
2000-10-17;971740800000;VALE3.SA;3.46;3.46;3.42;3.42;1.56;67200;stock;1.66;-6.15;3.64;-5.94;35.11;ESTAVEL
2000-10-18;971827200000;VALE3.SA;3.38;3.38;3.29;3.33;1.52;235200;stock;1.66;-8.46;3.63;-8.33;30.39;ESTAVEL
2000-10-19;971913600000;VALE3.SA;3.47;3.47;3.33;3.36;1.54;1416000;stock;1.66;-7.18;3.63;-7.42;35.09;ESTAVEL
2000-10-20;972000000000;VALE3.SA;3.33;3.4;3.33;3.38;1.54;9480000;stock;1.66;-7.11;3.63;-6.8;35.09;ESTAVEL
2000-10-23;972259200000;VALE3.SA;3.38;3.38;3.29;3.29;1.51;1185600;stock;1.66;-8.82;3.62;-9.18;31.4;ESTAVEL
2000-10-24;972345600000;VALE3.SA;3.29;3.29;3.29;3.29;1.51;0;stock;1.65;-8.73;3.62;-9.09;31.4;ESTAVEL
