s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2023-04-18;1681776000000;VCRA11.SA;100.74;100.9;100.12;100.5;93.24;3823;fii;97.84;-4.7;105.45;-4.7;38.38;ESTAVEL
2023-04-19;1681862400000;VCRA11.SA;100.69;100.69;100.25;100.25;93.01;1566;fii;97.78;-4.88;105.39;-4.88;37.44;ESTAVEL
2023-04-20;1681948800000;VCRA11.SA;100.25;100.95;100.25;100.95;93.66;4237;fii;97.74;-4.17;105.34;-4.17;41.77;ESTAVEL
2023-04-24;1682294400000;VCRA11.SA;100.9;100.9;100.21;100.89;93.61;3170;fii;97.69;-4.18;105.29;-4.18;41.53;ESTAVEL
2023-04-25;1682380800000;VCRA11.SA;100.8;100.8;99.72;100.8;93.52;9185;fii;97.64;-4.22;105.24;-4.22;41.08;ESTAVEL
2023-04-26;1682467200000;VCRA11.SA;100.46;100.88;99.8;100.74;93.47;1619;fii;97.59;-4.23;105.19;-4.23;40.81;ESTAVEL
2023-04-27;1682553600000;VCRA11.SA;100.74;100.74;100.03;100.05;92.83;4067;fii;97.54;-4.83;105.13;-4.83;37.46;ESTAVEL
2023-04-28;1682640000000;VCRA11.SA;100.05;100.72;99.84;100.5;93.24;5267;fii;97.49;-4.36;105.08;-4.36;40.81;ESTAVEL
2023-05-02;1682985600000;VCRA11.SA;99.31;99.31;97.5;97.85;91.87;4158;fii;97.43;-5.7;104.99;-6.8;34.21;ESTAVEL
2023-05-03;1683072000000;VCRA11.SA;97.86;99.46;97.51;99.44;93.37;8467;fii;97.38;-4.12;104.93;-5.23;44.75;ESTAVEL
2023-05-04;1683158400000;VCRA11.SA;99.41;101.0;98.53;99.71;93.62;15155;fii;97.34;-3.82;104.87;-4.92;46.3;ESTAVEL
2023-05-05;1683244800000;VCRA11.SA;99.95;100.95;99.85;100.28;94.15;7661;fii;97.3;-3.24;104.82;-4.33;49.52;ESTAVEL
