s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2021-04-01;1617235200000;VIFI11.SA;88.33;88.41;87.5;88.1;74.67;4174;fii;79.67;-6.28;94.0;-6.27;34.24;ESTAVEL
2021-04-05;1617580800000;VIFI11.SA;88.41;88.49;85.99;87.08;73.81;10132;fii;79.6;-7.28;93.92;-7.28;29.98;SUBIR
2021-04-06;1617667200000;VIFI11.SA;87.1;87.99;86.5;87.2;73.91;3020;fii;79.54;-7.08;93.84;-7.08;31.05;ESTAVEL
2021-04-07;1617753600000;VIFI11.SA;87.01;88.0;86.6;86.6;73.4;10011;fii;79.47;-7.64;93.76;-7.63;28.64;SUBIR
2021-04-08;1617840000000;VIFI11.SA;87.0;88.05;86.77;87.96;74.55;5573;fii;79.41;-6.12;93.69;-6.12;39.97;ESTAVEL
2021-04-09;1617926400000;VIFI11.SA;87.69;89.0;87.54;88.49;75.0;5826;fii;79.36;-5.49;93.63;-5.49;43.74;ESTAVEL
2021-04-12;1618185600000;VIFI11.SA;88.49;88.88;87.55;87.57;74.22;7224;fii;79.3;-6.41;93.56;-6.4;39.15;ESTAVEL
2021-04-13;1618272000000;VIFI11.SA;87.61;88.08;87.1;87.1;73.83;4665;fii;79.24;-6.83;93.49;-6.83;37.06;ESTAVEL
2021-04-14;1618358400000;VIFI11.SA;87.18;87.87;87.03;87.57;74.22;2588;fii;79.18;-6.27;93.42;-6.26;40.48;ESTAVEL
2021-04-15;1618444800000;VIFI11.SA;87.86;87.9;86.6;86.75;73.53;9714;fii;79.12;-7.06;93.34;-7.07;36.68;ESTAVEL
2021-04-16;1618531200000;VIFI11.SA;87.46;87.79;86.75;87.33;74.02;4855;fii;79.06;-6.38;93.28;-6.38;40.93;ESTAVEL
2021-04-19;1618790400000;VIFI11.SA;87.32;87.67;86.5;86.5;73.32;8319;fii;79.0;-7.18;93.2;-7.19;37.1;ESTAVEL
2021-04-20;1618876800000;VIFI11.SA;86.5;88.19;86.5;86.93;73.68;6674;fii;78.94;-6.66;93.13;-6.66;40.2;ESTAVEL
2021-04-22;1619049600000;VIFI11.SA;87.04;87.9;86.65;86.85;73.61;8399;fii;78.88;-6.68;93.06;-6.67;39.79;ESTAVEL
2021-04-23;1619136000000;VIFI11.SA;87.0;88.28;86.66;88.15;74.72;9312;fii;78.83;-5.21;93.0;-5.22;48.72;ESTAVEL
2021-04-26;1619395200000;VIFI11.SA;88.14;89.6;88.14;88.9;75.35;3651;fii;78.79;-4.37;92.96;-4.36;52.98;ESTAVEL
2021-04-27;1619481600000;VIFI11.SA;88.9;91.8;88.9;91.65;77.68;7816;fii;78.78;-1.39;92.94;-1.39;64.68;ESTAVEL
2021-04-28;1619568000000;VIFI11.SA;91.65;91.7;88.3;89.48;75.84;5431;fii;78.74;-3.69;92.9;-3.68;53.38;ESTAVEL
2021-04-29;1619654400000;VIFI11.SA;89.48;89.9;88.13;88.57;75.07;8375;fii;78.7;-4.62;92.85;-4.61;49.49;ESTAVEL
2021-04-30;1619740800000;VIFI11.SA;88.56;90.96;88.22;88.7;75.18;15202;fii;78.66;-4.43;92.81;-4.43;50.05;ESTAVEL
2021-05-03;1620000000000;VIFI11.SA;88.3;88.83;88.17;88.76;75.23;3398;fii;78.62;-4.32;92.76;-4.31;50.32;ESTAVEL
