s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2000-10-06;970790400000;WHRL3.SA;0.8;0.8;0.8;0.8;0.26;0;stock;0.23;14.56;0.71;12.92;47.45;ESTAVEL
2000-10-09;971049600000;WHRL3.SA;0.8;0.8;0.8;0.8;0.26;0;stock;0.23;14.37;0.71;12.76;47.45;ESTAVEL
2000-10-10;971136000000;WHRL3.SA;0.8;0.8;0.8;0.8;0.26;0;stock;0.23;14.18;0.71;12.59;47.45;ESTAVEL
2000-10-11;971222400000;WHRL3.SA;0.8;0.8;0.8;0.8;0.26;0;stock;0.23;13.99;0.71;12.43;47.45;ESTAVEL
2000-10-12;971308800000;WHRL3.SA;0.8;0.8;0.8;0.8;0.26;0;stock;0.23;13.81;0.71;12.27;47.45;ESTAVEL
2000-10-13;971395200000;WHRL3.SA;0.8;0.8;0.8;0.8;0.26;0;stock;0.23;13.63;0.71;12.11;47.45;ESTAVEL
2000-10-16;971654400000;WHRL3.SA;0.8;0.8;0.8;0.8;0.26;0;stock;0.23;13.46;0.71;11.96;47.45;ESTAVEL
2000-10-17;971740800000;WHRL3.SA;0.8;0.8;0.8;0.8;0.26;0;stock;0.23;13.28;0.72;11.81;47.45;ESTAVEL
2000-10-18;971827200000;WHRL3.SA;0.8;0.8;0.8;0.8;0.26;0;stock;0.23;13.11;0.72;11.66;47.45;ESTAVEL
2000-10-19;971913600000;WHRL3.SA;0.8;0.8;0.8;0.8;0.26;0;stock;0.23;12.94;0.72;11.51;47.45;ESTAVEL
2000-10-20;972000000000;WHRL3.SA;0.79;0.79;0.79;0.79;0.25;50000;stock;0.23;8.49;0.72;9.99;26.12;SUBIR
2000-10-23;972259200000;WHRL3.SA;0.79;0.79;0.79;0.79;0.25;0;stock;0.23;8.39;0.72;9.86;26.12;SUBIR
2000-10-24;972345600000;WHRL3.SA;0.79;0.79;0.79;0.79;0.25;0;stock;0.23;8.29;0.72;9.74;26.12;SUBIR
2000-10-25;972432000000;WHRL3.SA;0.75;0.75;0.75;0.75;0.24;13000;stock;0.23;3.91;0.72;4.14;16.73;SUBIR
2000-10-26;972518400000;WHRL3.SA;0.75;0.75;0.75;0.75;0.24;0;stock;0.23;3.86;0.72;4.09;16.73;SUBIR
2000-10-27;972604800000;WHRL3.SA;0.75;0.75;0.75;0.75;0.24;0;stock;0.23;3.82;0.72;4.04;16.73;SUBIR
2000-10-30;972864000000;WHRL3.SA;0.75;0.75;0.75;0.75;0.24;0;stock;0.23;3.77;0.72;3.99;16.73;SUBIR
2000-10-31;972950400000;WHRL3.SA;0.77;0.77;0.77;0.77;0.25;3000;stock;0.23;8.0;0.72;6.68;43.87;ESTAVEL
2000-11-01;973036800000;WHRL3.SA;0.77;0.77;0.77;0.77;0.25;19000;stock;0.23;7.9;0.72;6.6;43.87;ESTAVEL
2000-11-02;973123200000;WHRL3.SA;0.77;0.77;0.77;0.77;0.25;0;stock;0.23;7.81;0.72;6.53;43.87;ESTAVEL
2000-11-03;973209600000;WHRL3.SA;0.77;0.77;0.77;0.77;0.25;0;stock;0.23;7.71;0.72;6.45;43.87;ESTAVEL
