s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2000-10-06;970790400000;WLMM4.SA;1208.0;1208.0;1208.0;1208.0;779.34;11875;stock;470.32;65.7;729.01;65.7;60.51;ESTAVEL
2000-10-09;971049600000;WLMM4.SA;1120.0;1120.0;1120.0;1120.0;722.57;1250;stock;473.22;52.69;733.51;52.69;52.2;ESTAVEL
2000-10-10;971136000000;WLMM4.SA;1296.0;1296.0;1296.0;1296.0;836.11;625;stock;477.38;75.14;739.96;75.14;63.11;ESTAVEL
2000-10-11;971222400000;WLMM4.SA;1120.0;1120.0;1120.0;1120.0;722.57;125;stock;480.19;50.48;744.31;50.47;50.66;ESTAVEL
2000-10-12;971308800000;WLMM4.SA;1120.0;1120.0;1120.0;1120.0;722.57;0;stock;482.96;49.61;748.61;49.61;50.66;ESTAVEL
2000-10-13;971395200000;WLMM4.SA;1200.0;1200.0;1200.0;1200.0;774.18;1875;stock;486.29;59.2;753.76;59.2;55.31;ESTAVEL
2000-10-16;971654400000;WLMM4.SA;1200.0;1200.0;1200.0;1200.0;774.18;0;stock;489.57;58.13;758.85;58.13;55.31;ESTAVEL
2000-10-17;971740800000;WLMM4.SA;1200.0;1200.0;1200.0;1200.0;774.18;0;stock;492.81;57.09;763.88;57.09;55.31;ESTAVEL
2000-10-18;971827200000;WLMM4.SA;1200.0;1200.0;1200.0;1200.0;774.18;0;stock;496.01;56.08;768.84;56.08;55.31;ESTAVEL
2000-10-19;971913600000;WLMM4.SA;1200.0;1200.0;1200.0;1200.0;774.18;125;stock;499.17;55.09;773.73;55.09;55.31;ESTAVEL
2000-10-20;972000000000;WLMM4.SA;1200.0;1200.0;1200.0;1200.0;774.18;0;stock;502.29;54.13;778.56;54.13;55.31;ESTAVEL
2000-10-23;972259200000;WLMM4.SA;1200.0;1200.0;1200.0;1200.0;774.18;0;stock;505.37;53.19;783.34;53.19;55.31;ESTAVEL
2000-10-24;972345600000;WLMM4.SA;1200.0;1200.0;1200.0;1200.0;774.18;0;stock;508.41;52.28;788.05;52.28;55.31;ESTAVEL
2000-10-25;972432000000;WLMM4.SA;1112.0;1120.0;1112.0;1120.0;722.57;1750;stock;510.83;41.45;791.8;41.45;47.25;ESTAVEL
2000-10-26;972518400000;WLMM4.SA;1104.0;1104.0;1104.0;1104.0;712.24;250;stock;513.1;38.81;795.32;38.81;45.82;ESTAVEL
