s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2020-12-07;1607299200000;XPCI11.SA;90.61;90.99;90.1;90.13;72.65;26737;fii;71.03;2.28;88.11;2.29;49.25;ESTAVEL
2020-12-08;1607385600000;XPCI11.SA;90.49;90.61;89.8;90.05;72.59;14133;fii;71.05;2.17;88.14;2.17;48.49;ESTAVEL
2020-12-09;1607472000000;XPCI11.SA;90.19;90.51;88.89;89.05;71.78;69827;fii;71.05;1.02;88.15;1.03;39.66;ESTAVEL
2020-12-10;1607558400000;XPCI11.SA;89.01;89.64;88.8;88.83;71.61;32852;fii;71.06;0.77;88.15;0.77;38.09;ESTAVEL
2020-12-11;1607644800000;XPCI11.SA;88.84;89.43;88.5;88.87;71.64;29889;fii;71.07;0.81;88.16;0.8;38.55;ESTAVEL
2020-12-14;1607904000000;XPCI11.SA;88.87;89.0;87.68;88.01;70.94;26474;fii;71.07;-0.18;88.16;-0.17;32.46;ESTAVEL
2020-12-15;1607990400000;XPCI11.SA;88.01;88.94;88.01;88.4;71.26;9869;fii;71.07;0.27;88.16;0.27;37.33;ESTAVEL
2020-12-16;1608076800000;XPCI11.SA;88.87;89.0;88.29;88.98;71.73;67391;fii;71.07;0.92;88.17;0.92;43.75;ESTAVEL
2020-12-17;1608163200000;XPCI11.SA;88.98;89.0;88.7;88.76;71.55;12470;fii;71.08;0.66;88.18;0.66;41.98;ESTAVEL
2020-12-18;1608249600000;XPCI11.SA;88.5;89.64;88.5;89.47;72.12;25608;fii;71.09;1.45;88.19;1.45;49.02;ESTAVEL
2020-12-21;1608508800000;XPCI11.SA;88.82;89.49;88.6;88.6;71.42;22004;fii;71.1;0.46;88.2;0.46;42.24;ESTAVEL
2020-12-22;1608595200000;XPCI11.SA;88.9;89.64;88.9;89.5;72.15;23514;fii;71.11;1.47;88.21;1.46;50.01;ESTAVEL
2020-12-23;1608681600000;XPCI11.SA;89.64;90.5;88.86;90.47;72.93;34005;fii;71.13;2.53;88.24;2.53;56.71;ESTAVEL
2020-12-28;1609113600000;XPCI11.SA;90.43;90.8;90.16;90.8;73.19;39062;fii;71.15;2.86;88.27;2.87;58.7;ESTAVEL
2020-12-29;1609200000000;XPCI11.SA;90.79;91.49;90.52;91.34;73.63;16504;fii;71.18;3.44;88.3;3.44;61.88;ESTAVEL
2020-12-30;1609286400000;XPCI11.SA;91.34;92.56;91.34;92.56;74.61;13417;fii;71.22;4.76;88.35;4.77;67.84;ESTAVEL
2021-01-04;1609718400000;XPCI11.SA;92.5;93.47;90.0;90.49;72.94;32101;fii;71.24;2.39;88.37;2.39;52.72;ESTAVEL
2021-01-05;1609804800000;XPCI11.SA;90.62;91.9;90.61;90.81;73.2;15196;fii;71.26;2.72;88.4;2.72;54.43;ESTAVEL
2021-01-06;1609891200000;XPCI11.SA;90.82;91.75;90.4;91.08;73.42;29660;fii;71.28;3.0;88.43;3.0;55.87;ESTAVEL
2021-01-07;1609977600000;XPCI11.SA;91.1;91.2;90.98;91.09;73.43;13665;fii;71.31;2.98;88.46;2.97;55.94;ESTAVEL
2021-01-08;1610064000000;XPCI11.SA;91.1;92.41;91.0;91.99;74.15;17008;fii;71.34;3.94;88.5;3.94;60.68;ESTAVEL
2021-01-11;1610323200000;XPCI11.SA;92.0;92.9;91.98;92.52;74.58;28177;fii;71.38;4.49;88.55;4.49;63.22;ESTAVEL
2021-01-12;1610409600000;XPCI11.SA;92.7;93.8;92.52;93.43;75.31;16177;fii;71.42;5.45;88.6;5.45;67.11;ESTAVEL
2021-01-13;1610496000000;XPCI11.SA;93.69;94.89;93.6;94.2;75.93;16904;fii;71.47;6.24;88.66;6.25;70.01;ESTAVEL
2021-01-14;1610582400000;XPCI11.SA;94.4;95.83;94.21;95.3;76.82;15923;fii;71.53;7.4;88.74;7.4;73.61;ESTAVEL
2021-01-15;1610668800000;XPCI11.SA;95.31;95.74;94.4;95.0;76.58;14936;fii;71.59;6.98;88.81;6.97;71.13;ESTAVEL
2021-01-18;1610928000000;XPCI11.SA;94.41;95.94;94.41;94.86;76.47;14225;fii;71.64;6.74;88.87;6.74;69.97;ESTAVEL
2021-01-19;1611014400000;XPCI11.SA;94.49;95.69;94.48;94.48;76.16;21332;fii;71.69;6.23;88.94;6.23;66.66;ESTAVEL
2021-01-20;1611100800000;XPCI11.SA;95.17;95.73;94.51;94.91;76.51;15495;fii;71.74;6.64;89.0;6.64;68.47;ESTAVEL
2021-01-21;1611187200000;XPCI11.SA;94.92;95.99;94.21;94.99;76.57;19974;fii;71.8;6.65;89.07;6.65;68.78;ESTAVEL
2021-01-22;1611273600000;XPCI11.SA;94.99;95.0;94.5;94.56;76.22;11191;fii;71.85;6.09;89.13;6.09;64.74;ESTAVEL
2021-01-26;1611619200000;XPCI11.SA;94.23;95.96;94.23;94.8;76.42;15947;fii;71.9;6.29;89.19;6.29;65.97;ESTAVEL
2021-01-27;1611705600000;XPCI11.SA;94.85;95.73;94.7;94.91;76.51;20258;fii;71.95;6.34;89.25;6.34;66.54;ESTAVEL
2021-01-28;1611792000000;XPCI11.SA;95.02;96.08;95.0;95.8;77.22;12618;fii;72.01;7.24;89.33;7.25;70.68;ESTAVEL
2021-01-29;1611878400000;XPCI11.SA;95.7;97.01;95.7;96.9;78.11;19316;fii;72.07;8.38;89.41;8.38;74.88;ESTAVEL
2021-02-01;1612137600000;XPCI11.SA;96.92;97.48;95.0;95.24;76.77;17754;fii;72.12;6.44;89.47;6.44;60.77;ESTAVEL
2021-02-02;1612224000000;XPCI11.SA;95.3;95.51;94.6;95.35;76.86;17091;fii;72.18;6.49;89.54;6.49;61.3;ESTAVEL
2021-02-03;1612310400000;XPCI11.SA;95.49;96.7;95.11;95.5;76.98;16834;fii;72.23;6.58;89.6;6.58;62.03;ESTAVEL
2021-02-04;1612396800000;XPCI11.SA;95.9;95.94;95.11;95.43;76.93;13495;fii;72.28;6.43;89.67;6.43;61.51;ESTAVEL
2021-02-05;1612483200000;XPCI11.SA;95.71;96.49;95.28;95.7;77.14;16117;fii;72.33;6.64;89.73;6.65;62.92;ESTAVEL
2021-02-08;1612742400000;XPCI11.SA;95.64;96.0;94.02;94.89;76.49;27349;fii;72.38;5.68;89.79;5.68;56.06;ESTAVEL
2021-02-09;1612828800000;XPCI11.SA;94.0;95.0;94.0;94.3;76.01;24353;fii;72.42;4.96;89.84;4.96;51.59;ESTAVEL
2021-02-10;1612915200000;XPCI11.SA;94.31;94.77;94.22;94.62;76.27;13254;fii;72.46;5.26;89.89;5.26;53.74;ESTAVEL
2021-02-11;1613001600000;XPCI11.SA;94.64;94.77;94.02;94.06;75.82;27689;fii;72.5;4.58;89.94;4.58;49.63;ESTAVEL
2021-02-12;1613088000000;XPCI11.SA;94.18;94.9;94.02;94.48;76.16;15118;fii;72.54;4.99;89.99;4.99;52.58;ESTAVEL
2021-02-17;1613520000000;XPCI11.SA;94.75;95.15;94.75;95.05;76.62;14349;fii;72.58;5.56;90.04;5.56;56.31;ESTAVEL
2021-02-18;1613606400000;XPCI11.SA;95.13;95.15;94.0;94.02;75.79;36935;fii;72.62;4.37;90.09;4.37;48.84;ESTAVEL
2021-02-19;1613692800000;XPCI11.SA;94.05;94.95;94.0;94.49;76.17;28243;fii;72.66;4.84;90.13;4.83;51.98;ESTAVEL
2021-02-22;1613952000000;XPCI11.SA;94.25;94.49;93.46;94.21;75.94;34341;fii;72.69;4.47;90.18;4.47;49.98;ESTAVEL
2021-02-23;1614038400000;XPCI11.SA;94.15;95.85;94.02;95.2;76.74;29203;fii;72.74;5.51;90.23;5.51;56.28;ESTAVEL
2021-02-24;1614124800000;XPCI11.SA;95.19;96.29;94.98;95.47;76.96;22710;fii;72.78;5.74;90.29;5.74;57.86;ESTAVEL
2021-02-25;1614211200000;XPCI11.SA;95.98;96.49;95.55;95.74;77.18;26804;fii;72.83;5.97;90.35;5.97;59.43;ESTAVEL
2021-02-26;1614297600000;XPCI11.SA;95.92;96.1;95.02;95.6;77.06;21321;fii;72.87;5.74;90.4;5.75;58.15;ESTAVEL
2021-03-01;1614556800000;XPCI11.SA;95.3;95.92;94.5;94.99;76.57;18125;fii;72.91;5.01;90.45;5.01;53.15;ESTAVEL
2021-03-02;1614643200000;XPCI11.SA;94.94;95.68;93.57;94.28;76.0;24473;fii;72.95;4.18;90.5;4.18;47.97;ESTAVEL
2021-03-03;1614729600000;XPCI11.SA;94.36;95.0;94.02;94.48;76.16;15938;fii;72.98;4.35;90.54;4.35;49.46;ESTAVEL
2021-03-04;1614816000000;XPCI11.SA;94.36;95.1;94.02;94.4;76.1;14535;fii;73.02;4.22;90.58;4.22;48.89;ESTAVEL
2021-03-05;1614902400000;XPCI11.SA;94.4;95.06;92.37;93.91;75.7;23567;fii;73.05;3.63;90.62;3.63;45.19;ESTAVEL
2021-03-08;1615161600000;XPCI11.SA;94.11;95.26;94.11;95.1;76.66;17829;fii;73.08;4.89;90.66;4.89;54.16;ESTAVEL
2021-03-09;1615248000000;XPCI11.SA;94.99;95.28;94.1;94.61;76.26;23017;fii;73.12;4.3;90.71;4.3;50.46;ESTAVEL
2021-03-10;1615334400000;XPCI11.SA;94.61;95.6;94.61;94.91;76.51;22325;fii;73.15;4.59;90.75;4.58;52.64;ESTAVEL
2021-03-11;1615420800000;XPCI11.SA;94.77;96.0;94.7;95.96;77.35;15547;fii;73.2;5.67;90.81;5.67;59.15;ESTAVEL
2021-03-12;1615507200000;XPCI11.SA;96.0;96.39;95.27;95.75;77.18;17927;fii;73.24;5.38;90.86;5.38;57.43;ESTAVEL
2021-03-15;1615766400000;XPCI11.SA;96.24;96.47;94.71;94.71;76.35;21838;fii;73.28;4.2;90.9;4.19;49.81;ESTAVEL
2021-03-16;1615852800000;XPCI11.SA;95.5;95.64;94.9;95.35;76.86;15078;fii;73.31;4.84;90.95;4.84;53.86;ESTAVEL
2021-03-17;1615939200000;XPCI11.SA;95.01;95.61;95.01;95.5;76.98;20725;fii;73.35;4.94;91.0;4.95;54.79;ESTAVEL
2021-03-18;1616025600000;XPCI11.SA;95.0;95.5;94.9;95.5;76.98;24749;fii;73.39;4.89;91.05;4.89;54.79;ESTAVEL
2021-03-19;1616112000000;XPCI11.SA;95.16;95.5;94.95;95.32;76.84;21634;fii;73.43;4.65;91.09;4.64;53.34;ESTAVEL
2021-03-22;1616371200000;XPCI11.SA;95.32;95.5;95.0;95.01;76.59;19990;fii;73.46;4.26;91.13;4.25;50.76;ESTAVEL
2021-03-23;1616457600000;XPCI11.SA;95.04;95.2;94.88;94.88;76.48;22358;fii;73.5;4.06;91.17;4.06;49.63;ESTAVEL
2021-03-24;1616544000000;XPCI11.SA;94.89;95.5;94.25;95.42;76.92;169015;fii;73.53;4.61;91.22;4.6;54.06;ESTAVEL
2021-03-25;1616630400000;XPCI11.SA;95.17;96.5;94.82;95.93;77.33;371169;fii;73.57;5.11;91.27;5.11;57.78;ESTAVEL
2021-03-26;1616716800000;XPCI11.SA;95.94;96.3;95.26;95.95;77.34;25086;fii;73.61;5.06;91.32;5.07;57.87;ESTAVEL
2021-03-29;1616976000000;XPCI11.SA;95.96;96.6;95.46;95.97;77.36;31455;fii;73.65;5.03;91.37;5.04;58.06;ESTAVEL
2021-03-30;1617062400000;XPCI11.SA;96.15;96.22;95.07;95.78;77.21;30624;fii;73.69;4.78;91.42;4.77;56.0;ESTAVEL
2021-03-31;1617148800000;XPCI11.SA;96.08;96.5;95.25;96.2;77.55;67913;fii;73.73;5.18;91.47;5.17;59.51;ESTAVEL
2021-04-01;1617235200000;XPCI11.SA;95.87;97.78;95.87;96.94;78.14;36358;fii;73.78;5.91;91.53;5.92;64.76;ESTAVEL
2021-04-05;1617580800000;XPCI11.SA;97.06;98.26;97.06;98.06;79.05;43406;fii;73.83;7.06;91.59;7.06;71.01;ESTAVEL
2021-04-06;1617667200000;XPCI11.SA;97.81;98.5;97.5;98.0;79.0;37326;fii;73.89;6.92;91.66;6.91;70.27;ESTAVEL
2021-04-07;1617753600000;XPCI11.SA;98.4;99.4;97.1;97.47;78.57;33939;fii;73.94;6.26;91.72;6.26;64.11;ESTAVEL
2021-04-08;1617840000000;XPCI11.SA;97.61;99.0;96.81;97.25;78.39;24169;fii;73.99;5.95;91.78;5.96;61.67;ESTAVEL
2021-04-09;1617926400000;XPCI11.SA;97.25;97.25;96.1;97.25;78.39;24494;fii;74.03;5.89;91.84;5.89;61.67;ESTAVEL
2021-04-12;1618185600000;XPCI11.SA;97.25;97.25;95.66;96.15;77.51;44192;fii;74.07;4.65;91.89;4.64;50.73;ESTAVEL
2021-04-13;1618272000000;XPCI11.SA;96.15;97.12;96.15;96.99;78.18;21104;fii;74.11;5.49;91.94;5.49;56.99;ESTAVEL
2021-04-14;1618358400000;XPCI11.SA;97.2;98.89;97.17;98.35;79.28;36069;fii;74.17;6.89;92.01;6.89;64.87;ESTAVEL
2021-04-15;1618444800000;XPCI11.SA;98.71;99.96;98.01;98.35;79.28;37483;fii;74.22;6.82;92.07;6.82;64.87;ESTAVEL
2021-04-16;1618531200000;XPCI11.SA;98.35;99.1;98.3;99.0;79.8;28140;fii;74.28;7.43;92.15;7.44;68.08;ESTAVEL
2021-04-19;1618790400000;XPCI11.SA;99.0;99.43;98.01;98.8;79.64;28671;fii;74.34;7.13;92.22;7.14;66.08;ESTAVEL
2021-04-20;1618876800000;XPCI11.SA;98.3;98.8;98.21;98.69;79.55;23271;fii;74.39;6.93;92.29;6.94;64.93;ESTAVEL
2021-04-22;1619049600000;XPCI11.SA;98.8;99.1;98.5;98.9;79.72;28786;fii;74.45;7.08;92.36;7.09;66.13;ESTAVEL
2021-04-23;1619136000000;XPCI11.SA;98.89;99.1;98.6;98.94;79.75;35620;fii;74.5;7.04;92.43;7.05;66.35;ESTAVEL
2021-04-26;1619395200000;XPCI11.SA;98.96;99.55;97.06;97.2;78.35;65617;fii;74.54;5.11;92.48;5.11;50.04;ESTAVEL
2021-04-27;1619481600000;XPCI11.SA;97.22;97.86;97.22;97.41;78.52;23808;fii;74.59;5.28;92.53;5.28;51.6;ESTAVEL
2021-04-28;1619568000000;XPCI11.SA;97.41;97.5;96.99;97.01;78.2;45170;fii;74.62;4.79;92.57;4.79;48.53;ESTAVEL
2021-04-29;1619654400000;XPCI11.SA;97.01;98.15;97.01;98.11;79.09;20835;fii;74.67;5.92;92.63;5.91;56.3;ESTAVEL
2021-04-30;1619740800000;XPCI11.SA;98.59;99.95;98.5;99.73;80.39;65271;fii;74.73;7.57;92.71;7.58;64.69;ESTAVEL
