s_open_time;open_time;ticker;open;high;low;close;adj_close;volume;type;ema_adj_close_200p;ema_adj_close_200p_diff;ema_close_200p;ema_close_200p_diff;rsi;previsao
2020-12-07;1607299200000;XPPR11.SA;82.98;82.98;81.81;82.08;72.52;61140;fii;75.97;-4.54;85.98;-4.54;38.62;ESTAVEL
2020-12-08;1607385600000;XPPR11.SA;81.86;82.29;81.5;81.9;72.36;29692;fii;75.93;-4.7;85.94;-4.7;38.06;ESTAVEL
2020-12-09;1607472000000;XPPR11.SA;81.9;81.9;80.01;80.38;71.02;29091;fii;75.87;-6.39;85.87;-6.4;33.65;ESTAVEL
2020-12-10;1607558400000;XPPR11.SA;80.63;81.27;79.61;80.5;71.12;28978;fii;75.82;-6.2;85.81;-6.19;34.27;ESTAVEL
2020-12-11;1607644800000;XPPR11.SA;80.53;80.96;79.9;79.97;70.66;18606;fii;75.76;-6.73;85.74;-6.74;32.77;ESTAVEL
2020-12-14;1607904000000;XPPR11.SA;80.0;80.49;79.37;79.5;70.24;22596;fii;75.7;-7.21;85.67;-7.21;31.42;ESTAVEL
2020-12-15;1607990400000;XPPR11.SA;79.5;80.34;79.49;80.0;70.68;19192;fii;75.64;-6.55;85.61;-6.55;34.46;ESTAVEL
2020-12-16;1608076800000;XPPR11.SA;80.0;80.65;79.51;80.45;71.08;22691;fii;75.59;-5.96;85.55;-5.96;37.19;ESTAVEL
2020-12-17;1608163200000;XPPR11.SA;80.39;80.65;79.8;80.01;70.69;24691;fii;75.53;-6.41;85.49;-6.41;35.63;ESTAVEL
2020-12-18;1608249600000;XPPR11.SA;80.21;80.6;79.9;80.38;71.02;18712;fii;75.48;-5.91;85.43;-5.91;38.0;ESTAVEL
2020-12-21;1608508800000;XPPR11.SA;80.38;80.4;79.2;79.93;70.62;25048;fii;75.42;-6.37;85.37;-6.37;36.26;ESTAVEL
2020-12-22;1608595200000;XPPR11.SA;79.93;80.65;79.93;80.64;71.25;35252;fii;75.38;-5.47;85.31;-5.48;40.85;ESTAVEL
2020-12-23;1608681600000;XPPR11.SA;80.64;80.65;80.46;80.64;71.25;46639;fii;75.33;-5.42;85.26;-5.42;40.85;ESTAVEL
2020-12-28;1609113600000;XPPR11.SA;80.65;81.9;80.64;81.2;71.74;24648;fii;75.29;-4.71;85.21;-4.71;44.46;ESTAVEL
2020-12-29;1609200000000;XPPR11.SA;81.23;82.02;81.23;81.8;72.27;16506;fii;75.26;-3.97;85.18;-3.96;48.15;ESTAVEL
2020-12-30;1609286400000;XPPR11.SA;81.98;83.07;81.3;81.66;72.15;26969;fii;75.22;-4.08;85.14;-4.08;47.38;ESTAVEL
2021-01-04;1609718400000;XPPR11.SA;81.09;81.69;80.5;80.97;71.54;21039;fii;75.18;-4.84;85.09;-4.84;43.58;ESTAVEL
2021-01-05;1609804800000;XPPR11.SA;80.98;81.95;80.97;81.7;72.18;19631;fii;75.15;-3.95;85.05;-3.94;48.27;ESTAVEL
2021-01-06;1609891200000;XPPR11.SA;81.71;81.97;80.65;81.01;71.57;17976;fii;75.11;-4.71;85.01;-4.7;44.48;ESTAVEL
2021-01-07;1609977600000;XPPR11.SA;81.17;81.84;80.7;80.92;71.5;17456;fii;75.06;-4.75;84.96;-4.76;44.05;ESTAVEL
2021-01-08;1610064000000;XPPR11.SA;80.92;81.9;80.44;80.66;71.27;23037;fii;75.02;-5.0;84.91;-5.01;42.6;ESTAVEL
2021-01-11;1610323200000;XPPR11.SA;80.5;80.66;80.29;80.35;70.99;21771;fii;74.98;-5.32;84.86;-5.32;40.84;ESTAVEL
2021-01-12;1610409600000;XPPR11.SA;80.27;80.89;79.9;80.0;70.68;28257;fii;74.93;-5.67;84.81;-5.67;38.92;ESTAVEL
2021-01-13;1610496000000;XPPR11.SA;80.14;80.54;79.08;79.25;70.02;28299;fii;74.87;-6.48;84.75;-6.48;35.13;ESTAVEL
2021-01-14;1610582400000;XPPR11.SA;79.68;80.5;79.5;79.95;70.64;25027;fii;74.83;-5.6;84.69;-5.6;40.94;ESTAVEL
2021-01-15;1610668800000;XPPR11.SA;80.01;80.9;80.01;80.4;71.04;23897;fii;74.79;-5.01;84.64;-5.01;44.4;ESTAVEL
2021-01-18;1610928000000;XPPR11.SA;80.4;81.15;79.95;81.01;71.57;27565;fii;74.75;-4.25;84.6;-4.25;48.69;ESTAVEL
2021-01-19;1611014400000;XPPR11.SA;80.42;81.04;80.2;80.74;71.34;24995;fii;74.71;-4.51;84.56;-4.52;47.0;ESTAVEL
2021-01-20;1611100800000;XPPR11.SA;80.74;81.05;80.21;80.46;71.09;23995;fii;74.67;-4.8;84.52;-4.8;45.16;ESTAVEL
2021-01-21;1611187200000;XPPR11.SA;80.6;80.69;79.63;80.27;70.92;22067;fii;74.63;-4.97;84.47;-4.97;43.9;ESTAVEL
2021-01-22;1611273600000;XPPR11.SA;80.26;80.6;79.89;79.89;70.59;63115;fii;74.59;-5.36;84.42;-5.36;41.48;ESTAVEL
2021-01-26;1611619200000;XPPR11.SA;79.95;80.38;79.5;79.8;70.51;44142;fii;74.54;-5.41;84.37;-5.41;40.9;ESTAVEL
2021-01-27;1611705600000;XPPR11.SA;79.8;80.03;79.17;79.3;70.06;41264;fii;74.49;-5.95;84.31;-5.94;37.66;ESTAVEL
2021-01-28;1611792000000;XPPR11.SA;79.89;80.3;79.51;80.24;70.89;19111;fii;74.45;-4.78;84.27;-4.78;46.12;ESTAVEL
2021-01-29;1611878400000;XPPR11.SA;80.24;81.0;80.08;80.61;71.22;27444;fii;74.42;-4.29;84.23;-4.29;49.08;ESTAVEL
2021-02-01;1612137600000;XPPR11.SA;80.2;80.2;78.81;78.9;69.71;28441;fii;74.36;-6.26;84.17;-6.26;38.63;ESTAVEL
2021-02-02;1612224000000;XPPR11.SA;79.11;79.98;78.6;79.64;70.36;33352;fii;74.32;-5.33;84.12;-5.32;44.14;ESTAVEL
2021-02-03;1612310400000;XPPR11.SA;79.95;79.95;79.28;79.85;70.55;16577;fii;74.28;-5.02;84.07;-5.02;45.68;ESTAVEL
